회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)에스피에이치,정규직,"['영업', '영업관리', '기술영업', '국내영업', 'B2B']","“Online 공간과 Offline 세상, 공간과 사람의 Story를 기술로 풀어냅니다.”
SPH(Story Place Human)는 2011년이후 한국내 유일한 Google Maps Premier Partner사로서 300여개 기업에게 구글맵, 위성영상 등 Location Intelligence 분야의 제품판매 및 구축개발 활동을 하고 있습니다.
또한 2019년 글로벌 No1 협업툴 먼데이닷컴의 한국총판으로 변화되는 조직의 업무혁신을 함께하는 Smart Work 서비스 S/W 제품판매와 컨설팅 사업을 하고 있습니다

현재 전직원 40명 2022년 매출 100억의 알차고 강한 기업을 지향하는 안정적인 벤처기업입니다.
Google과 먼데이닷컴으로 부터 Best Partner상을 받은 SPH는 2023년 함께할 멤버를 찾고 있습니다.
10여년의 기간동안 매년 꾸준히 성장해온 안정성과 스타트업과 같은 민첩하고 자율적인 분위기에서 열정적으로 성장할 분들의 많은 지원을 기대합니다.
",협업툴 시장 타겟 산업군 핵심 잠재 고객군 발굴 및 고객의 Needs 파악전화방문 세미나를 통해 고객을 컨텍하고 솔루션 제안 영업 활동을 수행먼데이닷컴 서비스를 명확히 전달 소구하기 위한 프레젠테이션을 만들고 발표고객의 요구사항을 충족하는 명확하고 효과적인 제안서 및 견적서 작성마케팅 기술지원엔지니어 그룹과의 영업 활동 협력과 커뮤니케이션,서류전형 > 1차면접 > 2차면접 > 최종합격,"• 동종업계 상위의 연봉수준(신입사원 연봉 3,500만원, 성과급 별도) 
• 매년초 한해의 성과 공유. 실적에 따른 인센티브 10년째 지급

• 근무시간: 아침 출근의 여유와 저녁이 있는 삶을 추구
• 일7시간 근무 : 오전10시 ~ 오후6시, 주35시간 근무(본사근무시)
• 매주 금요일 재택근무(재택은 집이 아니여도 됩니다)
• 매 3년근무시 1개월의 리프레쉬 휴가 지원

• 전직원 체크카드(법인카드) 제공, 기본 월25만원 한도
• 생일자는 30만원한도내 법인카드로 본인의 선물구입 
• 자기계발비 연간 120만원 지원, 운동, 외국어 등
• 지방 프로젝트시 1인1실, 실경비지원, 해외출장시 일비

• 휴가에는 사유를 묻지 않습니다
  구글캘린더에 입력하고 공유 후 자유롭게 사용합니다
• 여름휴가시 100만원의 휴가비를 지원합니다
• 매년초 전직원 해외단체리푸레쉬 여행(푸켓, 세부, 파타야 등)

• 대학병원급에서 정밀 건강검진(2년마다)
• 4대보험외 24시간 재해와 사고 지원되는 기업보험
• 청년내일채움공제, 재직자 내일채움공제 지원

• 최신사양의 맥북프로(또는 고사양 노트북)과 듀얼모니터 제공
• 효율적인 Tool로 모두가 업무를 투명하게 처리하고 커뮤니케이션
• 구성원 각자의 전문성과 자율을 중시하고 최대한의 권한을 줍니다","서울시 마포구 마포대로 92, 효성해링턴스퀘어 A동 3층",SaaS SW B2B SW 및 IT분야에 대해 흥미가 있고 알고 싶으신분원활한 의사소통과 피드백 공유를 통한 빠른 업무진행을 즐겨하시는분IT분야 SW분야 프리 세일즈 컨설팅 경험을 가진 1년이상 경력자세일즈 Pipeline을 관리하였고 Quota에 대한 목표와 성과 달성자컴퓨터공학 산업공학 경영 마케팅등 관련학과 졸업자신입 경력2년이내 SaaS 서비스 분야 경험자비지니스 영어회화 가능자   정기적으로 mondaycom 글로벌 본사와의 컨퍼런스콜Communication 스킬 스토리텔링 역량 소프트스킬이 강한 분Detail에 강하고 본인 업무를 계속 체크하며 셀프 피드백이 익숙하신 분,185
(주)컨슈머인텔리전스,정규직,"['영업기획', '영업', '영업관리', '바이럴마케팅', '광고영업', 'B2B영업', '솔루션영업', '인플루언서마케팅']","안녕하세요 리뷰쉐어팀입니다 😍

저희 리뷰쉐어는 광고대행사, 에이전시가 필요없는 콘텐츠 마케팅 산업을 만들기 위해, 
콘텐츠 수요자인 기업, 소상공인과 같은 사업자와, 콘텐츠 공급자인 리뷰어를 연결하는 직거래 플랫폼이에요!
https://reviewshare.io

✅ 현재까지의 성과
비즈니스 회원 수(콘텐츠 수요자) : 10,000+
리뷰어 회원 수(콘텐츠 공급자) : 110,000+
안드로이드 앱 다운로드 수 : 10,000+
iOS 앱 다운로드 수 : 10,000+
진행 프로젝트 수 : 30,000+
플랫폼 누적 매출액 : 30억원+",B2B 세일즈 매니저는 우리의 상품이 매력적으로 보일 수 있도록 지속적으로 상품을 기획개선하고 리드영업 기회를 발굴하며 잠재 고객과의 커뮤니케이션 통로를 구축하는 역할을 맡아요  또한 유선대면 미팅 등 을 통해 계약을 수주하며 확보된 고객이 이탈되지 않도록 그들의 요구사항들을 이해하고 내부 동료들과 공유하며 조율점을 찾아나가요 핵심 목표 Agency Service 신규 고객 확보 비즈니스 리텐션율Retention Rate,서류 및 포트폴리오 평가 → 1차 인터뷰 → 채용 여부 결정 ,"🏝️ 복지 및 혜택
#각자의 스타일에 맞게 유연하게 일해요.
재택 근무 : 최상의 업무 컨디션을 위해 화, 목요일 이틀은 전원 재택근무를 해요.
(신규 입사 멤버는 온보딩 및 인수인계를 위해 재택근무 최소화)
휴가 : Flex 앱을 통해 자유롭게 연, 월차를 반차 단위로 사용할 수 있어요. 휴가 사유는 따로 받지 않아요. 회사 업무에 문제가 없다면 당일에도 휴가, 반차를 다녀올 수 있어요.
시차 출퇴근제 : 8~10시 사이 편한 시간에 출근하고, 5~7시 사이에 퇴근할 수 있어요.

#즐거운 일터를 만들기 위해 다방면으로 지원해요.
Lunch Time : 점심은 무조건 법카로. 점심시간은 개인적인 할일까지 처리할 수 있는 1시간 30분을 제공해요.
Happy Holiday : 무거운 명절 선물 대신 풍성한 상여금으로 지급해 드려요.
Coffee, Snack : 회사 내에 구비되어있는 돌체구스토로 매일 맛있는 커피를 내려 마셔요. 또 커피와 함께 즐길 수 있는 간식 박스를 매달 제공하고 있어요.
Support : 멤버가 희망하는 경우에 한해, 청년 내일채움공제 또는 청년재직자 내일채움공제에 가입하고 있어요.
Growth : 온/오프라인 강의, 도서 등 자기 계발에 소요되는 비용을 아낌없이 지원해 드려요.
Work, Better : 집중할 수 있는 최적의 근무환경을 제공해요. (시디즈 의자, 듀얼모니터, 최신형 그램/맥북)","서울 서초구 서초대로48길 101, 3층",이런 분과 함께하고 싶어요 B2B 세일즈에 대한 높은 이해를 기반으로 아웃바운드 세일즈 비즈니스 고객 관리 경험이 있는 분을 찾고 있어요 목표 설정 및 관리 이에 따른 실행 전략 성과 분석까지 직접 주도한 경험이 있는 분을 찾고 있어요 타인과의 소통을 즐겨하고 새로운 사람과의 만남을 두려워하지 않는 분을 찾고 있어요 본인의 의견을 논리적으로 표현하고 동료의 피드백을 겸허히 수용할 수 있는 분을 찾고 있어요 Google Workspace Notion Slack 툴을 사용할 수 있는 분을 찾고 있어요 우대사항이런 분이라면 더욱 환영해요 리뷰쉐어 서비스를 이해하고 사업의 성장성을 공감하시는 분이라면 더 좋아요 스타트업 플랫폼에서 근무했던 경험이 있는 분이라면 더 좋아요,193
(주)리브스메드,정규직,"['영업', '국내영업', '의료기기', '매출분석']","“국내 순수기술을 가지고 세계적인 의료기기 기업으로 도약하는 기업, 리브스메드”

리브스메드는 세계 최초로 다관절 수술 디바이스인 아티센셜을 개발한 의료기기 기업입니다.
미국, 독일, 일본에 법인을 설립하였으며, 유럽 및 아시아 각국에 진출하였습니다.

리브스메드는 누구나 첨단 의료혜택을 누릴 수 있도록, 혁신적인 기술을 통해 지속적으로 발전해 나가고 있습니다.
예비 유니콘 1위로 선정된 리브스메드는 시리즈D 투자유치를 하였으며(누적 투자액 약 500억),
올해 코스닥 상장을 준비 중에 있습니다.

성장을 향해 도약하고 있는 리브스메드와 함께 성장을 이끌어갈 인재를 찾습니다.

수상내역
- 2018년 보건복지부 장관상 수상
- 2019년 레드닷 어워드 수상
- 2020년 중소벤처기업부, 예비 유니콘 1위 선정
- 2020년 수출유망중소기업 지정 (경기지방중소벤처기업청장)
- 2020년 수출프론티어기업 인증(경기도지사)
- 2021년 식약처, 외과수술기구 제 15호 혁신의료기기 지정
- 2021년 보건산업진흥원장 유공 표창 수상
- 2022년 보건복지부장관 유공 표창 수상
- 2023년 2023년 고용노동부 강소기업 선정

*포털사이트와 유튜브에 ""리브스메드""를 검색해봐주세요!", 서울수도권 지역 담당 영업 의료기기 영업 거래처 발굴 관리 매출 분석 수발주 관리 및 납품 진행,,"• 주 5일 (월~금) 10:00~19:00 (9시~18시 출근 가능)
• 종합건강검진 부분 지원, 동호회 지원
• 주차비 지원, 석식제공, 퇴근 시 택시 지원
• 계속적으로 신규 복지 개설 중","경기 성남시 분당구 판교로 700, D동 304호", 학사 이상 의료기기 영업 분야로 커리어패스를 가져가고 싶은 자 의료기기와 관련 있는 학과 졸업자 영업 관련 인턴 경력을 보유한 자,1045
대원씨티에스(주),계약직 (정규직 전환 가능),"['영업', '기술영업', 'B2B영업', 'B2B']",, 유통제품PC 및 주변기기 판촉활동 신규 고객 발굴 기존 거래처관리,"서류전형- 면접전형 - HR인터뷰 - 최종합격
※ 면접일정은 서류전형 합격자에 한해, 개별통보됩니다.			

- 채용포털 자체 접수
- 제출서류: 이력서, 자기소개서
- 제출기한: 2023년 8월 27일
	
- 입사지원서 양식 : https://docs.google.com/document/d/1X-t0WbaR_xTtzEqE5_j__WhzlEMkieCG/edit","- 신입사원 웰컴키트 지급
- 협력병원 할인적용
- '소노호텔 앤 리조트' 회원가 이용, 사내펜션 무료이용
- 건강검진 지원
- 사내 동호회 지원, 경조사 지원
- 성장지원(자기계발비, 체력단련비, 교육지원)
- 명절, 창립기념일 선물 지급
- 경조휴가 및 경조사 지원
- 다양한 포상제도
","서울 용산구 청파로 109, 나진전자월드빌딩 2층", 학력  전문대졸업 이상 경력  신입 해외여행출장에 결격 사유가 없는 분 컴퓨터활용능력 우수자,1047
(주)토페스,정규직,"['영업기획', '영업', '영업관리', '기술영업', '국내영업']","1984년 산업용 CCTV 전문기업으로 출범한 토페스는 발전소, 제철소, 화학단지 등

중화학 분야의 산업용 CCTV를 개발 공급하며 성장해 왔습니다.
1992년 부설연구소 설립, 국내 최초로 무인교통단속시스템 개발을 통하여 무인교통단속시스템 전문제조사로써의 면모를 구축해 왔습니다.

앞으로도 최첨단 단속시스템으로 교통 문화를 선도해 나아가고자 합니다.",학력  초대졸 이상 ,서류전형 > 1차면접 > 2차면접 > 최종합격,"지원금/보험
건강검진, 각종 경조사 지원, 단체 상해보험, 자녀학자금

급여제도
퇴직연금, 상여금, 장기근속자 포상, 우수사원포상, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험

선물
명절선물/귀향비, 생일선물/파티, 장기근속 선물

교육/생활
창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 교육비 지원, 사내동호회 운영, 식비 지원, 음료제공(차, 커피)

근무 환경
휴게실, 회의실, 사내 정원, 건물 내 경사로, 유니폼지급, 노트북, 사무용품 지급

조직문화
노조/노사협의회, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용

출퇴근
주차장제공, 회사차량 있음, 주 52시간제 준수

리프레시
연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가","경기 남양주시 화도읍 녹촌로106번길 31 (녹촌리,TOPES)",경력  무관 신입도 지원 가능우대사항 영업직수도권 및 영남지역컴퓨터시스템공학 전기전자공학 공학계열해당직무 근무 경험자 정보처리산업기사 등 관련 자격증 소지자,1067
(주)토페스,정규직,"['영업지원', '영업', '사업', '기술직']","1984년 산업용 CCTV 전문기업으로 출범한 토페스는 발전소, 제철소, 화학단지 등

중화학 분야의 산업용 CCTV를 개발 공급하며 성장해 왔습니다.
1992년 부설연구소 설립, 국내 최초로 무인교통단속시스템 개발을 통하여 무인교통단속시스템 전문제조사로써의 면모를 구축해 왔습니다.

앞으로도 최첨단 단속시스템으로 교통 문화를 선도해 나아가고자 합니다.",  관공서 지자체 대상 공공 SI기술영업2 ,서류전형 > 1차면접 > 최종합격,"지원금/보험
건강검진, 각종 경조사 지원, 단체 상해보험, 자녀학자금

급여제도
퇴직연금, 상여금, 장기근속자 포상, 우수사원포상, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험

선물
명절선물/귀향비, 생일선물/파티, 장기근속 선물

교육/생활
창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 교육비 지원, 사내동호회 운영, 식비 지원, 음료제공(차, 커피)

근무 환경
휴게실, 회의실, 사내 정원, 건물 내 경사로, 유니폼지급, 노트북, 사무용품 지급

조직문화
노조/노사협의회, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용

출퇴근
주차장제공, 회사차량 있음, 주 52시간제 준수

리프레시
연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가","경기 남양주시 화도읍 녹촌로106번길 31 (녹촌리,TOPES)",학력  대졸 이상 23년경력  관련업무 3년 이상관련학과 졸업자 전기공학 정보통신 등직무관련 자격증 보유자정보처리산업기사 정보통신기술자경력수첩초급ITS 사업실무 경력자 우대운전가능자,1068
(주)크리스틴컴퍼니,정규직,"['기획', '영업기획', '영업', '영업관리', 'MD', '국내영업']","신발을 좋아하고 패션에 관심있고 더 나아가 기술을 통해서 신발산업을 혁신할 분들을 모십니다! 
Anytime, Everywhere, Whatever, You Want

크리스틴컴퍼니는 2번의 성공적인 청년 창업 신화를 이루고 다양한 산업의 혁신 노하우를 쌓아온 이민봉 대표가 설립한 스타트업으로 30년동안 변하지 않던 우리나라 신발 산업을 기술을 통해서 혁신하고 새로운 산업으로 리드해나가고 있습니다.

오프라인 중심의 복잡한 신발 제조 공정을 빅데이터와 AI기술을 활용하여 온라인으로 간단하게 신발 제조를 의뢰할 수 있는 ""신플 플랫폼"", 디자이너들이 편리하게 디자인에 집중할 수 있도록 도와주는 ""슈즈 빅데이터 분석시스템 등을 개발하여 우리나라를 대표하는 슈즈 패션테크 기업으로 국내 뿐 아니라 글로벌 시장에서도 주목받고 있습니다.  

산업통상부 선정 국내 유일의 슈즈 패션테크 기업, 디자인진흥원 디자인 R&D기업, 팁스(TIPS) 등에서 선정되며 독점적인 기술력을 인정받고 있으며 트렌드 분석 기술력을 바탕으로 런칭한 자체 브랜드 ""크리스틴"" 은 패션 슈즈 브랜드 최초로 에비뉴엘 명품관에 입점하여 글로벌 브랜드들과 경쟁 펼치면서 빠르게 성장하고 있습니다. 

이러한 경쟁력으로 네이버, 아주IB투자 등 국내를 대표하는 기관들로부터 설립 3년만에 총 80억의 투자를 유치하면서 신발 분야 패션테크 기업 1위로 성장하고 있습니다. 

어떠한 학력을 가졌던, 어떠한 경력을 가졌던, 수치상의 화려한 스펙보다는 정말로 신발에 진심인 분, 우리나라 신발 산업이, 우리가 만든 신발 브랜드가 경쟁력 있는 기술로 혁신하여 글로벌 시장을 주도하는데 함께 해보고 싶은 팀원들을 기다리고 있습니다.

새로운 도약과 성장에 함께 하실 분들을 기다립니다.",자사의 온라인 신발 제조 전문 플랫폼 신플 을 통해서 신발을 생산할 패션 브랜드들을 발굴하고고객사 영업 및 관리 업무를 담당하게 됩니다 국내에서 활동중인 4만여개의 패션 브랜드를 대상으로 신발 생산 및 런칭에 대한 니즈를 발굴하고 생산 수주로 이끌어내는 영업을 진행합니다 팀원들과 함께 브랜드 영업 및 생산 관리에 대한 전반적인 일들을 담당하게 됩니다  국내외 패션 브랜드 신발 생산 니즈 발굴 및 패션 기업에 대한 B2B 영업 패션브랜드 대상 영업 기획 관리 신플 플랫폼 이용 브랜드 고객 관리 슈즈 시장조사 국내 외 패션 트렌드활동 브랜드 파악 고객사 생산 영업 전략 수립 및 관리 전반적인 영업 세일즈MD 업무,"[근무 형태]
정규직

[지원방법 및 채용 절차]
서류 접수 ＞ 직무 인터뷰 ＞ 리더 인터뷰 ＞ 최종 합격

1. 이력서 및 포트폴리오 접수
• 구체적인 본인 작업 기여도를 포함한 포트폴리오 및 이력서 제출

2. 직무 인터뷰
• 포트폴리오 리뷰 및 직무 인터뷰

3. 리더 인터뷰
• 크리스틴컴퍼니의 문화를 기반으로 인터뷰 진행

4. 최종 합격
• 처우협의와 입사일은 최종 합격 이후 개별적으로 협의하고 있습니다.
• 크리스틴컴퍼니는 패션테크 업계 최고 수준의 대우를 드리게 위해서 노력하고 있습니다.","크리스틴컴퍼니는 자율적인 문화를 바탕으로 팀원 여러분들의 능력을
마음껏 펼칠 수 있도록 지원합니다. 

＜최고의 근무 환경을 지원합니다.＞

1) 선릉역 출근, 선릉역 신축, 단독 사무실 근무
2) 입사시 고성능 업무용 노트북 + 27인치 모니터 지급
3) 고급 커피머신 비치 및 간식 무제한 제공
4) 수평적인 소통 문화의 기반이 되는 닉네임 사용
5) 복장 자율화
6) 자기 계발비 지원 (도서 및 온라인 교육 수강, 세미나 및 컨퍼런스 참가 등)
7) 패밀리 데이 조기 퇴근(매월 1회)
8) 전 직원 네이버웍스 가입 및 서비스 무료 사용 가능
9) 연봉 외 점심 식대 별도 현금 제공

＜직원 여러분의 다양한 복지 혜택을 제공합니다.＞

1) 전직원 4대 보험 가입
2) 매년 연봉협상 제도 시행
3) 매월 점심 식대 별도 지급
4) 명절 상여금 및 경조사 (결혼, 조의, 출산 등) 지원
5) 장기 근속자 입사 시 제공한 노트북 지급
6) 전직원 크리스틴 자사몰 제품 구매시 50% 할인 적용
7) 전직원 크리스틴 자사몰 포인트 지급
  =＞ 매년 12월 10만 포인트 지급 : 근속연수에 따라 추가지급

＜직원 여러분의 워라벨을 지원합니다.＞

1) 기본 연차 휴가 15일 제공 (입사기준 2년마다 1일 추가)
2) 자유로운 연차 휴가 사용 가능
3) 생일자 휴가 제공 (주말 생일자 경우 해당 주 평일 사용 가능)
4) Family Day 실시 (매월 1회 금요일 3시 조기 퇴근 실시)
5) 3/5/9 Refresh 휴가 제공
  =＞ 3년차(3일), 5년차(5일), 9년차(9일) 기본 연차 외 유급휴가 추가제공
6) 야근 및 회식 강요 없는 환경 (부득이한 야근 시 대체 휴무 시행)

* 성장하는 스타트업만이 누릴 수 있는 대박 스톡옵션, 성과금 등
  상장 전 멤버 합류 시 특급대우 다수 제공","경남 김해시 주촌면 골든루트로 80-16, 1층 1호", 3년10년 시니어 주니어 패션 및 패션 브랜드 슈즈 분야에 관심이 많으신 분 패션플랫폼 MD 경력 등 패션 브랜드들에 대해서 많이 알거나 기존 생산 등 소통경험있으신 분 기존 업무 경험을 바탕으로 패션 브랜드 발굴 및 영업 관리가능하신 분 신플 플랫폼을 이해하고 성장시키는 고민에 함께 하실 분 신발 OEM ODM 대한 전략과 방향성을 제시하고 소통능력을 갖춘 분 신발 생산 공장들을 관리하면서 생산 기획 관리를 진행하면서 성장해보고 싶으신 분 브랜드 대상 슈즈 영업 제조 관리 경험 있으신 분 슈즈 분야 세일즈 및 상품 기획 생산 경력 있으신 분 패션 브랜드에 관심이 많고 감도가 있으신 분 커뮤니케이션 능력이 뛰어나고 각 생산채널에 이해가 높으신 분 일러스트 엑셀 기본 활용 가능자 패션시장 트렌드에 민감하고 패션 브랜드 대상 B2B영업전략 수립 및 실행에 감각이 있으신분 신발을 좋아하고 신발에 진심인 분,1082
피이그(주),정규직,"['디자인', '포토샵', '그래픽디자인', '일러스트']","색다른 캠페인을 기획하고, 
시선을 사로잡을 광고, 파격적인 프로모션과 쿨한 파티,
영감을 일으키는 크리에이티브를 창작해 낼 
당신을 기다립니다.",그래픽 디자이너는 이런 포지션입니다다양한 디자인 툴과 기술을 능숙하게 다루며 창의적인 아이디어를 시각적으로 구현하는 포지션이에요크리에이티브의 완성도를 이해하고 더 수준 높은 크리에이티브를 내기 위해 자기발전해야하는 포지션이에요캠페인의 목표와 메시지를 효과적으로 전달하는 컨셉을 도출하여 구현해요이런 업무를 담당하시게 됩니다브랜드 기반의 프로젝트 크리에이티브 업무를 맡게 됩니다비쥬얼 브랜드 아이덴티티를 개발해요비쥬얼 디자인부터 온오프라인을 아우르는 그래픽 디자인을 전개해요다양한 실제 제작물의 감리를 맡게 됩니다,"[FIG에 합류하는 과정]
1) 서류 접수(서류 열람 후 최대 1주일 내 결과 발표)
제출해주신 모든 서류를 꼼꼼히 확인하는 과정이오니, 잠시만 기다려 주세요. 

2) 대면 면접(약 30분 소요)
면접관 다수와 지원자님으로 면접이 진행됩니다. 실무 및 회사 컬쳐핏에 맞는지 확인하는 과정이예요.

3) 처우 협의 및 최종 합격
처우, 입사 일정 등을 협의합니다. FIG에 새로운 일원이 된 걸 환영해요!🎉","[기업문화 및 복리후생]

ㆍ출/퇴근 시간에 대해 압박이 없는 유연근무제 (Core-time 11시 ~ 17시는 지켜주셔야 해요!)
ㆍ여러분의 휴가를 존중합니다! (연차, 반차 뿐 아니라 반반차 사용 가능)
ㆍ무료 스낵바, 에스프레소 머신, 음료 등 무제한 간식 지원해드려요.  맥주도 있는 건 비밀..
ㆍ여러분의 업무 환경을 지원합니다. 최고급 업무장비를 지원해드려요.
ㆍ생일 축하합니다! (생일 대상자 생일 선물 제공)
ㆍFuse tour✈️ : 매 년 1명을 선발하여 최대 5일 및 300만원까지 지원해드려요!
ㆍ각 분야에서 최고로 몰입할 수 있도록 도와주는 뛰어난 동료들이 있습니다.","서울 마포구 와우산로 48, B1호",이런 능력을 필요로 해요직무 경력 3년 이상의 경력 또는 그에 준하는 경험을 보유한 분이벤트 프로모션을 이해하고 이를 표현할 수 있는 그래픽 디자인 역량이 있으신 분다양한 파트너와의 CoWorking 경험을 가진 분Photoshop Illustrator XD 등의 디자인 툴 활용에 능숙한 분         포트폴리오 제출 시 프로젝트 참여 역할 범위 등을 명시해주세요이런 능력이 있으시다면 더욱 좋아요최신 디자인 트렌드를 반영하고 소비자의 니즈와 행동에 대한 이해를 바탕으로 브랜딩 전략을 수립하시는 분다양한 도구에 대한 이해와 숙련도를 바탕으로 기업의 디자인 수준을 이해하여 구현하실 수 있는 분진행 상황을 뫼터링하며 수행 일정을 계획하고 프로젝트를 지원할 수 있는 능력을 가진 분,1125
(주)캐논크래커,정규직,"['기획', '게임', '유니티', '모션', '3d', '애니메이터']","CANNON CRACKER

대형 폭죽을 의미하는 캐논크래커는
폭죽이 터지는 그 순간과 같이
강렬한 Moment를 만들어 나가고자 하는 의미를 담고 있습니다.

글로벌 시장에서 우리만의 가치를 찾고
성공과 성공의 재생산을 이루며 성장하는
캐주얼-미드코어 게임제작 명가가 되기 위해
캐논크래커의 게임 제작은 시작되었습니다.", 캐주얼 모바일 게임의 캐릭터 몬스터 배경 오브젝트의 3D 모션 제작,,"[일상의 소중함]
• 9시 ~ 10시 시차 출퇴근제 운영
• 생일기념 연차 제공


[집중할 수 있는 업무 환경]
• 모션 데스크 & 시디즈 의자
• 직무 관련 도서 지원


[캐논크래커는 One team!]
• 분기별 문화행사 (영화, 뮤지컬 관람)
• 플레이샵


[가족과 함께]
• 경조사 지원 (휴가, 지원금)
• 명절 선물 지급
• Family Day (여름휴가 or 여름휴가비 or 부모님 건강검진 지원)


[든든한 식사]
• 라운지 커피 & 간식 제공
• 점심식사 제공


[근속기간별 유급휴가 & 포상금]
• 근속기간별 축하선물, 유급휴가, 여행경비 지원",서울 성동구 뚝섬로 1길 63 영창디지털타워 102~103호, 유니티 엔진 게임 개발 경험이 있으신 분 프로젝트 초기부터 런칭까지의 경험이 있으신 분 타격감을 잘 살린 다양한 격투 액션 애니메이션 작업 경험이 있으신 분 긍정적이고 책임감 있는 마인드를 지니신 분 원활한 커뮤니케이션 스킬을 보유하신 분 다양한 아트 스타일의 모션 작업 능력을 보유하신 분,1130
한국인닥타썸(주),정규직,"['신소재', '거래처관리', '기술영업', '운전면허', '영업전략', '재료공학', '영업직']",,전기유도용해로 및 가열기 영업직,"서류전형-면접전형-최종합격

제출서류
ㆍ이력서, 자기소개서","지원금/보험 건강검진, 직원대출제도, 각종 경조사 지원, 단체 상해보험, 해외여행 지원, 선택적 복리후생, 자녀학자금
급여제도 인센티브제, 장기근속자 포상, 퇴직금, 휴일(특근)수당, 연차수당, 4대 보험
선물 명절선물/귀향비, 창립일 선물 지급
교육/생활 창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육,해외연수지원, 교육비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 아침식사 제공, 간식 제공,
음료제공(차, 커피)
근무 환경 휴게실, 회의실, 전용 사옥, 유니폼 지급, 노트북, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 캐주얼데이
출퇴근 차량유류비 지급, 주택자금 융자, 주차장 제공
리프레시 연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원, 남성출산휴가",경북 고령군 다산면 송곡리 1757번지,학력  대졸 이상 4년경력  무관 신입도 지원 가능면접 후 결정금속비금속공학 기계자동차조선공학 신소재재료공학국가유공자 보훈대상자 인근거주자 운전가능자 차량소지자 해당직무 근무경험,1211
