주요 업무,자격요건 및 우대사항
 신규 개발 프로젝트 기획 및 설계 신규 개발 프로젝트 개발 진행 관리 빌드 점검시연 QA 론칭 BtoC 라이브 서비스 유지보수 관리 서버클라이언트 개발 및 운영 관리 형상 관리 통합빌드 배포 소스품질 관리 외부 개발업체 발굴 평가 개발진행관리, Cloud Server 개발 및 운영 경험 AWSEC2 Auto Scale Cloud front S3 등 프로젝트 PLPM 등 수행 및 업무 시스템 구축 경험 테크니컬 분석설계 역량 AndroidIOS 개발 경험 네이티브 플러터 리액트 네이티브 등 모바일 크로스 플랫폼 관련 경험 서브 능력 Python JS RDB 개발 경험 Flask Django Vuejs MariaDBMySQL 사용 혹은 관련 겅험 관련 경력자
 iOS APP 서비스의 분석 및 개발 테스트 및 지속적인 최적화를 담당합니다 UX 디자이너와 협업하여 화면 디자인 및 프로세스에 대해 논의합니다 APP 개발 워크플로를 연구하고 개선합니다, Swift로 개발 가능하신 분 iOS 앱 개발과 유지보수 배포 경험이 1년 이상 진행 경험 있으신 분 네이티브 지원 기능에 대한 이해가 높으신 분 개발 목표에 대한 책임감이 있으신 분 주도적으로 문제를 해결하고 책임감 있으신 분 코드 퀄리티에 지속적으로 고민하시는 분 새로운 기술에 대한 관심과 습득사용에 능동적인 분 코드리뷰 경험 있으신 분 Modular Architecture 대한 이해 MVVM 사용하여 프로젝트 진행 경험 SPM 대한 이해 CICD 경험 단위 테스트 경험 컴퓨터 공학 전공
 광고 SDK 개발 및 유지보수 인하우스 서비스 iOS 개발, 컴퓨터공학 전산학 수학 등 직무 관련 전공자 유관 경력 3년 이상 1차 면접에서 포트폴리오 필수 제출 광고 솔루션 경험  초기 앱 서비스 개발 경험
 React Native 기반 앱 퍼블리싱 및 프론트엔드 작업 javascript 혹은 Typescript 기반의 RN 앱 개발, React Native 앱 개발 프로젝트 최소 3건 이상 애니메이션 적용 경험 파이어베이스 연동 경험 Android iOS 복수 개발 경험 카메라 마이크 블루투스 및 하드웨어 제어 경험
 전자영수증 솔루션 고도화 빅데이터AI 연구 개발사용 기술Java Spring   jQuery  JavaScript  Flutter    React Native  BigData  AI인공지능  Apache Tomcat, JAVA 안드로이드 IOS 앱개발 웹개발 프로토콜 설계 등 분야별 능통자 핀테크 빅데이터AI 분야 업계 종사 경력 앱 및 웹 개발 경력
 UXP에서 담당하는 뱅크샐러드의 네이티브 기능 개발을 진행합니다 뱅크샐러드의 주요 제품인 홈 가계부 종알림 화면을 개선하고 새로운 기능을 추가합니다 Push Notification 딥링크 관련 기능을 개선하여 유저가 기능을 빠르고 쉽게 접근할 수 있도록 합니다 개발 생산성 작업을 담당합니다 Web과 Native 간의 interface를 유지보수하여 WebView 기반의 서비스를 안정적으로 운영할 수 있도록 합니다 프로젝트 내 같은 관심사를 갖는 코드의 모듈화 작업을 진행합니다 iOS Chapter 내 코드리뷰에 참여하여 코드 퀄리티 향상에 기여하고 기술 토론을 통해 Best Practice 를 논의하여 개발 생산성을 향상시킵니다 뱅크샐러드 iOS 엔지니어 iOS Engineer는 아래의 , iOS 개발경험이 4년 이상이거나 그에 준하는 실력을 보유하고 있으셔야 합니다 Swift 언어에 대한 높은 이해도를 기반으로 제품을 출시한 경험이 있으셔야 합니다 반응형 프로그래밍 eg RxSwift Combine의 경험이 필요합니다 앱 아키텍처에 대해 고민하고 적용했던 경험이 있으셔야 합니다      MVVM MVP 등의 디자인패턴을 적용해본 경험      공통적으로 쓰이는 코드를 모듈화한 경험 등 Apple Human Interface Guidelines에 대한 이해가 필요합니다 UnitTest 작성 경험이 있으셔야 합니다 다양한 CrashReporting Analytics 도구들을 이용하여 문제를 분석하고 해결할 수 있어야 합니다 Xcode에서 제공하는 View hierarchy Memory graph Debug navigator 등을 이용한 이슈 해결 경험이 있으셔야 합니다 프로젝트에서 필요한 외부 라이브러리를 적절한 요구조건에 맞게 선택하고 검증 및 적용할 수 있어야 합니다 AB 테스팅을 위한 도구사용 및 코드분기 경험이 필요합니다 접근성에 대한 이해가 있는 분을 우대합니다 CICD 설계 및 유지보수 경험이 있는 분을 우대합니다 모듈화 등을 통해 전반적인 프로젝트 관리 및 유지보수성을 높인 경험이 있으면 더욱 좋습니다 10명 이상의 엔지니어와 함께 6개월 이상의 프로젝트에 깊게 참여했던 경험을 우대합니다 Instrument 등을 사용하여 디버깅 난이도가 높은 이슈를 해결한 경험이 있으면 더욱 좋습니다 새로운 기술이나 개발 패러다임에 관심있고 꾸준히 학습하는 분이면 더욱 좋습니다 오픈소스 프로젝트에 기여한 경험을 우대합니다 내 작업물을 문서나 외부 공유용 Readme 블로그 등 으로 기록하고 업데이트 하는 습관을 가지신 분이면 더욱 좋습니다
 Android 앱 개발 iOS 앱 개발 Web 개발 서버개발, Android  iOS 배포 경험 및 개발유지 보수 경력 있으신 분 Android  iOS 아키텍쳐 설계 및 소프트웨어 디자인 패턴에 대한 이해도가 있으신 분 Web 개발의 경우는 Vuejs React Anglar 또는 이에 준하는 프레임워크 관련 경력이 있으신 분 코드 리뷰와 지식 공유에 적극적이신 분 문제 해결 및 코드 품질 개선에 적극적이신 분 Kotlin  Swift 개발 언어에 능숙하신 분 축구 좋아하시는 분 호날두 좋아하시는 분 호날두 싫어하시는 분 Z  D 아시는 분
 청소로봇 APP개발 및 유지보수  클라이언트 요구사항에 따른 어플리케이션 구현   IT 전문가 팀과 협력하여 새로운 어플리케이션의 사양 설정  사양에 따라 창의적인 프로토타입 설계  마감 시간 내에 완전한 애플리케이션을 프로그래밍할 수 있는 고품질 소스 코드 작성  응용 프로그램 문제 해결 및 디버그  기존 애플리케이션을 평가하여 새로운 기능을 재프로그래밍 업데이트 및 추가,  모바일 애플리케이션 개발자로서의 입증된 경험  모바일 애플리케이션 설계 및 구축 경험자  Swift Kotlin과 같은 적어도 하나의 프로그래밍 언어로 프로그래밍 할 수 있는 기능 구현 경험자  소프트웨어 설계 및 프로그래밍 원리에 대한 탁월한 이해  의사소통 능력이 뛰어난 팀 플레이어  분석적 사고 및 문제 해결 능력  세부 정보 및 시간 관리 기술에 대한 높은 관심  컴퓨터 공학 또는 관련 분야의 BScBA MScMA우대사항  4년 이상 모바일 애플리케이션 설계 및 구축 경험자IOS  새로운 개발 언어 및 환경을 학습할 수 있는 능력과 의지가 있는자  유연한agile 개발 방식 경험자  멀티플랫폼 개발 경험자예 iOS Android  코드 리뷰 및 개선 가능자  영어 능통자 
 메시징 기반 모바일 앱 개발 Lysn 및 디어유 버블 서비스 기능개발 및 유지보수 리팩토링 및 아키텍처 개선, ObjectiveCSwift을 이용한 네이티브 앱 서비스 개발 경력자 Custom UI 및 다양한 디자인은 UIUX 개발 경험자 상용 서비스 개발 및 유지보수 경험자 RESTFUL API에 대한 기본적인 이해를 가지신 분 MVPMVVM 등 디자인 패턴에 대한 이해와 경험 AACAndroid Architecture Components를 통한 개발 경험자 Live StreamingHLS RTSP 등 Client 개발 경험자 오픈소스 분석 및 사용 경험자 메신저 앱 개발 경험자
 고객서비스 지향적인 모바일 설계 및 개발, 클래스유의 신념 미션 비전에 공감하시는 분 Swift or Kotlin개발 경험업무경험 실제 서비스를 만들어 본 운영해 본 경험이 있으신분프로젝트 주도 경험
