주요 업무,자격요건 및 우대사항
 클라우드 모니터링 솔루션 개발   데이터 수집 pipeline 개발,  Java 11 버전 이상 개발 경험이 있으신 분   SpringBoot를 이용한 Web Application 개발 경험이 있으신 분   JPA MyBatis 사용 경험이 있으신 분   RDBMSMySQL PostgresSQL 경험이 있으신 분   ElasticSearch Logstash 사용 경험이 있으신 분   Big data 처리 경험이 있으신 분  데몬 배치 개발 경험이 있으신 분   AWS GCP 등 public cloud 환경 경험이 있으신 분   프로젝트 리딩 또는 관리 경험이 있으신 분   비즈니스 로직에 대한 이해를 바탕으로 API와 데이터 모델을 설계할 수 있으신 분   코드리뷰에 거부감이 없으신 분   자신이 경험한 프로젝트에 대해 구체적이고 명료한 설명을 할 수 있으신 분   주도적으로 문제를 찾고 해결할 수 있으신 분   모니터링 프로세스 및 솔루션 개발 경험이 있으신 분   협업툴 사용 경험Jira Git Confluence이 있으신 분 
 전사적으로 발생하는 다양한 문제들을 데이터를 기반으로 해결 방법을 찾고 결과를 동료에게 효과적으로 전달 맞춤형 건강관리 상품 추천 등 다양한 헬스케어 앱 서비스를 위한 알고리즘 개발 및 고도화   eg 추천 모델 랭킹 모델 최적화 생성형 모델 추론예측 모델 등 클라우드 환경에서 데이터를 수집 및 가공하고 모델을 구축 최신 AIMLDL 기술 연구 동향을 파악하여 비즈니스에 접목, 데이터 분석 및 모델링 경력 2년 이상 또는 그에 준하는 역량을 보유하신 분 대표적인 MLDL 모델을 이해하고 특징 및 차이에 대해 이해하고 계신 분 Python SQL R 등의 프로그래밍 언어로 개발이 가능하신 분 문제를 해결하기 위해 스스로 필요한 데이터를 정의 확보 및 분석할 수 있는 분 명확한 문제정의를 바탕으로 해결 방법을 고안하고 분석한 결과를 효과적인 커뮤니케이션 스킬을 통해 전달 할 수 있는 분 내가 제안한 설계와 개발한 코드에 대한 비판에도 열린 커뮤니케이션이 가능한 분 헬스케어 관련 데이터에 대한 경험이해가 있는 분 MLOps를 이용하여 실제 서비스를 운영 해본 경험이 있으신 분 주도적으로 문제를 해결하고 개선하고자 하는 의지를 가진 분 헬스케어 도메인에서 무언가를 이뤄보고 싶으신 분
 ESSEnergy Storage System의 주요 Software 개발 배터리 전력변환장치 제어 및 주변 기타 장치 모니터링 실시간 전력 데이터 수집 및 분석, 정보통신컴퓨터소프트웨어 등 관련 분야 학사 이상 프로그래밍 관련 경력 2년 이상  CC 프로그래밍 언어의 숙련된 활용 능력 네트워크 프로그래밍 숙련자 데이터베이스MySQL ORACLE MSSQL 등 연동 개발 경험 전력 계통 관련 개발 경험 Python Ruby 등 인터프리터 언어 숙련자 Linux UNIX 시스템 활용 능력 보유자 외국어영어 능력
 VitalCare의 벡엔드 시스템 설계 및 개발 Python Golang을 이용한 서비스 구축 및 유지보수 MySQL MongoDB 와의 통합 및 데이터 처리 병원 내의 의료 데이터를 안전하게 처리하고 저장하기 위한 기술적인 솔루션 제공 성능 최적화 및 보안 이슈에 대한 지속적인 모니터링과 개선 테스트 코드 작성 및 유지보수 테스트 자동화를 통한 서비스와 코드 품질 보장, Python 또는 Golang을 활용한 백엔드 개발 경험이 5년 이상 또는 그에 준하는 경험 FastAPI 경험 또는 그에 준하는 프레임워크 경험 MySQL및 MongoDB 를 사용한 데이터베이스 설계 및 구현 경험  MongoDB는 중요도 낮음 테스트 코드 작성 경험 백엔드 아키텍처 설계 및 최적화에 대한 이해 ithub을 통한 CI 및 docker 이미지를 통한 CD 경험 또는 이해 의료 데이터 처리에 대한 경험 및 의료 환경에 대한 지식 우대 테스트 코드 작성 및 테스트 자동화에 익숙 Onpremise 환경 및 Cloud 환경에서의 작업 경험 AWS GCP Azure 등 팀 성장을 고민하시는 분
 제일제당 CRM 플랫폼 개발운영Data Engineer 데이터 분석 파이프라인 개발 및 운영데이터 수집 및 분석 클라우드 기반 데이터 처리 및 최적화 관리,Experience 데이터 파이프라인 구축 경험 프로세스 제안 개선문제점 분석 및 해결 방안 도출 경험 B2C IT 서비스 및 CRM 경험Skill  Knowledge AWS 구성 요소에 대한 경험Lambda Athena Airflow Glue SageMaker S3 등 Cloud 기반 DW Snowflake 등 활용 경험 PythonJAVA 프로그래밍 언어 능숙 및 ML 모델 이해Experience 프로젝트 PMPL 경험 적극적이며 긍정적 태도Skill  Knowledge 컴퓨터 공학 및 전산 계열 전공자 AWS 아키텍처 설계 또는 운영 경험 컨테이너 기반 개발 환경 및 MSA 기반 인프라 활용 경험 DevOps 관련 도구와 방법론Git CICD 등에 대한 지식 및 경험
사용기술Java C C Python 산업용 장비 데이터베이스 구축 및 서버관리데이터 운영, 학력 대졸 이상 전공 컴퓨터공학과 소프트웨어과 등 경력자인 경우 프로젝트 진행이 가능한 개발언어JAVACCPython 능력 보유자 프론트엔드 및 백엔드 등 웹개발 경험 네트워크 구축 및 시스템 구축 신재생에너지 및 장비제어 관련 경력자 공공기관 프로젝트 경험
삼성전기 수원 프로젝트 MES 프로젝트로 제품이 생산되는 일련의 공정들에 대한 UI단을 개발MSS 프로젝트로 설비와 MES 간의 Dashboard를 개발하는 역할로써 UI와 DB를 모두 컨트롤하는 업무면접 후 상기 적합도에 따라 포지션 배치,학력  무관수원 삼성전기 근무 가능자JAVA Xplatform 사용 우대  MES 경력 우대C Net 사용 우대C 런처 개발 우대스마트팩토리 관련 개발운영업무 경험관련 학과 전공자 정보통신공학 컴퓨터공학유관업무 경력자
 iOS APP 서비스의 분석 및 개발 테스트 및 지속적인 최적화를 담당합니다 UX 디자이너와 협업하여 화면 디자인 및 프로세스에 대해 논의합니다 APP 개발 워크플로를 연구하고 개선합니다, Swift로 개발 가능하신 분 iOS 앱 개발과 유지보수 배포 경험이 1년 이상 진행 경험 있으신 분 네이티브 지원 기능에 대한 이해가 높으신 분 개발 목표에 대한 책임감이 있으신 분 주도적으로 문제를 해결하고 책임감 있으신 분 코드 퀄리티에 지속적으로 고민하시는 분 새로운 기술에 대한 관심과 습득사용에 능동적인 분 코드리뷰 경험 있으신 분 Modular Architecture 대한 이해 MVVM 사용하여 프로젝트 진행 경험 SPM 대한 이해 CICD 경험 단위 테스트 경험 컴퓨터 공학 전공
 광고 SDK 개발 및 유지보수 인하우스 서비스 iOS 개발, 컴퓨터공학 전산학 수학 등 직무 관련 전공자 유관 경력 3년 이상 1차 면접에서 포트폴리오 필수 제출 광고 솔루션 경험  초기 앱 서비스 개발 경험
 UXP에서 담당하는 뱅크샐러드의 네이티브 기능 개발을 진행합니다 뱅크샐러드의 주요 제품인 홈 가계부 종알림 화면을 개선하고 새로운 기능을 추가합니다 Push Notification 딥링크 관련 기능을 개선하여 유저가 기능을 빠르고 쉽게 접근할 수 있도록 합니다 개발 생산성 작업을 담당합니다 Web과 Native 간의 interface를 유지보수하여 WebView 기반의 서비스를 안정적으로 운영할 수 있도록 합니다 프로젝트 내 같은 관심사를 갖는 코드의 모듈화 작업을 진행합니다 iOS Chapter 내 코드리뷰에 참여하여 코드 퀄리티 향상에 기여하고 기술 토론을 통해 Best Practice 를 논의하여 개발 생산성을 향상시킵니다 뱅크샐러드 iOS 엔지니어 iOS Engineer는 아래의 , iOS 개발경험이 4년 이상이거나 그에 준하는 실력을 보유하고 있으셔야 합니다 Swift 언어에 대한 높은 이해도를 기반으로 제품을 출시한 경험이 있으셔야 합니다 반응형 프로그래밍 eg RxSwift Combine의 경험이 필요합니다 앱 아키텍처에 대해 고민하고 적용했던 경험이 있으셔야 합니다      MVVM MVP 등의 디자인패턴을 적용해본 경험      공통적으로 쓰이는 코드를 모듈화한 경험 등 Apple Human Interface Guidelines에 대한 이해가 필요합니다 UnitTest 작성 경험이 있으셔야 합니다 다양한 CrashReporting Analytics 도구들을 이용하여 문제를 분석하고 해결할 수 있어야 합니다 Xcode에서 제공하는 View hierarchy Memory graph Debug navigator 등을 이용한 이슈 해결 경험이 있으셔야 합니다 프로젝트에서 필요한 외부 라이브러리를 적절한 요구조건에 맞게 선택하고 검증 및 적용할 수 있어야 합니다 AB 테스팅을 위한 도구사용 및 코드분기 경험이 필요합니다 접근성에 대한 이해가 있는 분을 우대합니다 CICD 설계 및 유지보수 경험이 있는 분을 우대합니다 모듈화 등을 통해 전반적인 프로젝트 관리 및 유지보수성을 높인 경험이 있으면 더욱 좋습니다 10명 이상의 엔지니어와 함께 6개월 이상의 프로젝트에 깊게 참여했던 경험을 우대합니다 Instrument 등을 사용하여 디버깅 난이도가 높은 이슈를 해결한 경험이 있으면 더욱 좋습니다 새로운 기술이나 개발 패러다임에 관심있고 꾸준히 학습하는 분이면 더욱 좋습니다 오픈소스 프로젝트에 기여한 경험을 우대합니다 내 작업물을 문서나 외부 공유용 Readme 블로그 등 으로 기록하고 업데이트 하는 습관을 가지신 분이면 더욱 좋습니다
