주요 업무,자격요건 및 우대사항
섬세이 브랜드의 바운더리 및 팀원의 시야를 확장시킵니다 해외 신규 제휴처 확보 및 관리 커뮤니케이션 해외팀 광고 관리 커뮤니케이션 콘텐츠 촬영 커뮤니케이션 해외 샘플 출고 및 정산 필수 제출서류 1 중요 나는 어떻게 살다 가고 싶은가를 생각해보고 적어 제출해주세요 분량 자유2 자기소개서 및 경력기술 포함 이력서, 25년차 학력 무관 영어 소통하는 것에 능숙하신 분 미국 시장에 대한 이해도가 높은 분 남자의 경우 병역필 또는 면제자 신용 정보 보호 및 이용에 관한 법률상에 결격 사유가 없는 분 기타 취업 규정이나 법령에서 정하는 결격 사유가 없는 분 해외에서 제품 및 서비스를 홍보 및 판매해보신 분
 우리 스쿼드에서는 이런 비전과 목표를 가지고 있어요 강남언니 팀 마케팅 스쿼드에서는 성형피부시술 1위 정보앱 강남언니가 지속적으로 성장할 수 있도록 효율적인 광고 운영 및 콘텐츠 기획을 진행해요 이를 통해 장기적으로 병원과 유저간의 성형피부시술의 문화를 바꿔가며 압도적인 업계 1위 서비스를 달성하는 것을 목표로 삼고 있어요 강남언니 팀 스쿼드란스쿼드는 문제의식과 목적으로 모인 팀으로 문제를 해결하기 위한 가장 효율적이고 작은 단위의 팀입니다 이런 일들을 경험하고 성장할 수 있어요 강남언니 팀의 CRM 마케터는 유저가 강남언니를 떠나지 않도록 유저 경험을 최적화하는 역할을 담당합니다 유저 데이터를 분석해 세그먼테이션을 정의하고 맞춤화된 커뮤니케이션 전략을 수립해요 나의 액션에 따른 결과를 다양한 내부 데이터를 통해 확인하고 고도화해나갈 수 있어요 앱 푸시 이메일 인앱 배너 등 다양한 툴을 활용해 무궁무진한 CRM 전략을 실행해볼 수 있답니다 앞으로 이런 일들을 하게 될거에요  유저의 행동 데이터 분석을 통해 강남언니에 최적화된 유저 세그먼테이션 설계 및 CRM 전략 수립 유저의 퍼널속성액션별 최적의 타이밍에 개입해 비용 효율적인 구매 유도 캠페인을 발굴 다양한 채널푸시 IAM SMS 알림톡을 활용하여 상품 제안 및 유저 관리 AB 테스트 및 캠페인 실행 결과에 대한 성과 관리 체계를 구축하고 효과와 효율 최적화, 3년 이상의 CRM 또는 타겟 마케팅 관련 경력을 보유하신 분 다양한 데이터에 기반해 캠페인 가설 설정 및 검증을 스스로 할 수 있는 분 Braze 등 CRM 마케팅툴에 대한 경험이 있는 분 CRM 자동화 기획 경험이 있으신 분 개발 디자인 사업 등 협업팀과 커뮤니케이션을 유연하게 하실 수 있는 분 SQL 등을 통해 데이터를 원하는 결과물로 가공하고 인사이트를 발굴하실 수 있는 분 미용의료 비즈니스에 대한 이해도와 비전이 높은 분 Braze와 같은 마케팅 자동화 툴에 능숙하신 분포트폴리오 제출 필수 기획 제작 등 항목별 기여도 표기 필수
 파워볼PGB게임 시장분석 및 단계별 브랜딩 전략 수립 전반 게임 광고 기획 제작 및 매체 집행 타사 제품 및 시장 리서치 비교 분석 기획 운영 등 내부 멤버들과의 민첩한 커뮤니케이션, 필수 포트폴리오 보유자 5년 이상의 웹보드 스포츠 등 게임 또는 관련 분야의 마케팅 경험자 콘텐츠 기획부터 제작 배포 리뷰에 이르는 과정을 주도적으로 실행하신 분 데이터 기반의 마케팅 전략 수립 실행을 경험하신 분 트렌드에 민감하고 유저중심의 사고에 익숙하신 분 우대 스타트업 업무 경험자
  올해 1월 런칭한 신용관리 서비스 크레딧플래닛 온라인투자연계금융 서비스 피플펀드가 지속적으로 성장할 수 있도록 치열하게 고민하고 다양한 액션을 시도합니다  신용관리서비스 대출비교서비스 주택담보대출 개인신용대출 연계투자 등 핀테크 영역에서 피플펀드가 마주한 핵심 성장과제를 정의하고 해결합니다   신규 고객 획득부터 인앱 액션을 분석하고 그로스 전략을 수립 및 실행합니다  목표 지표 달성을 위해 다양한 프로모션을 기획하고 운영합니다  CRM  고객과의 접점을 정비하여 재방문재구매 성과를 높입니다,  3년 이상의 그로스 CRM 마케팅 경력 또는 그에 준하는 경험을 가지신 분  App 또는 Web 마케팅 경험이 있으신 분  MMP 활용이 원활하며 데이터에 대한 명확한 정의를 바탕으로 가설에 대한 검증 과정을 설명할 수 있는 분  앱푸시 인앱메시지 등의 CRM 마케팅 기획 경험이 있으신 분  SQL 사용이 가능하신 분  핀테크금융 도메인에 대한 관심이 있는 분  Growth CRM 이외에도 퍼포먼스 SEO 등 마케팅 전반에 대한 인사이트가 있으신 분
 퍼포먼스 마케터는 주로 이런 업무를 해요 Google Tiktok Meta Ad network 등 다양한 매체의 특성에 맞는 퍼포먼스 마케팅 실행 마케팅을 통한 Acquisition  Retention  Purchase 효율 및 지표 개선 GA4 Metabase 등 분석툴을 활용하여 인사이트를 도출하고 마케팅에 적용 광고 소재별 AB테스팅 집행 인사이트 공유 및 고도화 일본을 포함한 글로벌 신규 마케팅 채널 발굴 및 운영, 이런 분과 함께하고 싶어요 퍼포먼스 마케팅UA 이외 퍼포먼스 액션 포함 경력 5년 이상을 보유하신 분 데이터 기반의 사고로 퍼포먼스 마케팅 전략을 기획수행하며 최적화 달성 경험을 보유하신 분 성과 분석을 통한 인사이트 도출 및 Next Plan 설계가 가능하신 분 서비스 퍼널에 대해 이해하고 LTV ARPU 등 마케팅 주요 지표를 이해할 수 있으신 분우대사항 이런 분은 더욱 반가워요 일본어로 비즈니스 의사소통이 가능하신 분 일본어 관련 자격증 혹은 일본어 역량을 나타낼 수 있는 활동이 있다면 이력서에 명시해주세요 문제 해결을 최우선으로 생각하고 데이터 드리븐을 통한 성과 개선 경험을 보유하신 분 SQL 등을 통해 데이터를 원하는 결과물로 가공하고 인사이트를 발굴할 수 있으신 분 빠른 실행 중심의 IT 스타트업 마케팅 경험을 보유하신 분 성과를 수치로 말하기를 좋아하시는 분
We are looking for a resultsdriven digital marketing specialist to execute our influencer marketing initiatives and manage our social channels and owned media engagement initiatives The ideal candidate understands the strategic components of earned media engagement empowering positive wordofmouth buzz and creating brand loyaltyWhat You Will Do Plan design and manage the VIPKid Korea social media accounts Instagram Youtube effectively to drive engagement and leads Work with various internal and external stakeholders to effectively manage the microinfluencer initiatives supporter and paid influencer partnerships Design and implement the VIPKid Korea user community using the leading platform Endtoend ownership and growth of the user referral program Own the content and performance of the userfacing messaging campaigns Methodically run pilots AB tests to identify improvement opportunities Work with HQ product and engineering team to continuously improve our product experience Attend any marketing events when required Any other adhoc duties as required, Minimum 35 years of working experience in a digital marketing role focused on community engagement influencer engagement or user engagement Please submit a link to your portfolio with your application Native speaker of Korean with strong written and spoken English skills Experience in the education industry will be a big plus Expertise with design Adobe Suite Canva Figma etc social media management Sprinkler etc and tools in creating content and campaigns High energy passionate and deeply empathetic of the customer Highly selfmotivated with the ability to work fast and smart independently An influencer yourself with a strong followership on Instagram YouTube Facebook or another major platform Creative writing and design experience Tireless avid and empathetic communicator Expertise with data analytics and measurement tools Google Analytics Google Data Studio
 고객 퍼포먼스 관련 지표 트래킹 및 개선 방안 수립  채널별 Naver Google KaKao Meta 등  광고 캠페인 기획  유저 데이터에 기반한 인사이트 도출 및 그로스 액션 기획 및 실행 신규 사용자 획득 및 주요 퍼널 관리 및 개선   구글 애널리틱스GA을 활용한 데이터 분석, GA GFA등 다양한 매체 경험자  침대 및 가구와 같은 고관여 제품에 대한 마케팅 경험자  대행사  랩사  인하우스 경력이 있으신 분  KPI 지표에 대한 효율 분석 및 최적화 경험이 있으신 분  커뮤니케이션 능력이 우수하신 분    포트폴리오 필수 다양한 플랫폼 채널의 디지털 마케팅 업무에 경험이 있으신 분  SEO SEM 경험이 풍부하신 분  구글 애널리틱스 GA등 데이터 애널리틱스 활용 경험이 있으신 분   그로스  CRM  디지털 퍼포먼스 마케팅 인사이트와 액션 아이템을 찾고 비지니스를 성장시킨 경험이 있으신 분
우리 팀을 소개합니다B Project는 각자가 가진 고유의 건강함과 아름다움을 일깨우고 작은 실천을 통해 사랑하는 나 가족 그리고 반려동물이 건강한 삶을 영유할 수 있는 VeganFriendly비건프렌들리 브랜드입니다뷰티 업계에서 커리어를 쌓아나가고 싶은 분 퍼포먼스마케팅에 관심이 많은 분 그리고 성장하고 있는 비프로젝트와 함께 하고 싶은 분들을 적극 환영합니다담당하시게 될 업무를 소개합니다1퍼포먼스 마케팅 브랜드 퍼포먼스 마케팅 전략 수립 및 실행 Facebook  Instagram 등 paid media 콘텐츠 기획 paid media 캠페인 운영 광고 성과 분석 및 인사이트 도출 관련 사항 실행2 CRM 컨텐츠 기획 및 운영 고객 여정별 Push 메시지 발송 구조 설계 및 운영 최적화 Push 메시지 콘텐츠 기획 발송 효과 분석을 통한 전환율 리텐션 개선이런 것들을 얻어가실 수 있습니다 브랜드의 성장을 주도하는 진짜 퍼포먼스 마케팅을 배우실 수 있어요 브랜드 사업에 대한 이해도를 높일 수 있어요 데이터 기반으로 의사결정을 하는 방법을 배우실 수 있어요 빠르게 성장하는 스타트업 경험해보실 수 있어요, 그냥 일하는 것에 만족하지 않고 성과를 내고자 하는 의지가 있으신 분사람들의 공감을 이끌어내는 카피라이팅 능력이 있으신 분논리적인 커뮤니케이션이 가능하신 분성실하면서도 꼼꼼하신분이런 분이면 더욱 좋습니다우대사항 퍼포먼스 마케팅으로 광고 예산 월 1억 이상 소진  ROAS 200 이상을 달성해 보신 분
 컨텐츠 마케팅 전략 기획 블로그 관리 업무 SNS바이럴 마케팅 콘텐츠 제작 관리 인플루언서 모집 관리 및 대행사 관리, 미적 감각을 겸비한 다재 다능한 마케터 Adobe Photoshop Illustrator 기본 사용 가능하신 분 디지털 광고 매체에 대한 관심이 높으신 분 유쾌하고 긍정적인 마인드를 가지신 분 대화와 소통을 좋아하고 공감 능력이 좋은 분 목표 지향적인 마인드와 유연한 태도를 가지신 분 마케팅 콘텐츠 디자인 제작 경력이 있으신 분 SEO 관련 지식이나 경험이 있으신 분 엔구 서비스를 잘 알고 계시는 분
 세일즈 목표 관리 및 영업 전략 수립 대행사 대상 신규 시장 기회 발굴 인아웃바운드 세일즈 및 미팅 리드 대행사 대상 미디어 플래닝 및 미디어 플랫폼 운영 관리 신규 매체 발굴 및 광고 매체 상품 기획, 미디어렙사 매체사 종대사 미디어팀 등 유관 업계 경력을 최소 5년 이상 보유하신 분 문제 해결 역량과 성과목표 지향적 성향을 가지신 분 팀 리딩 경험이 있으신분 조직 세팅 및 리딩 경험이 있으신 분 도전적이고 포기하지 않는 강인한 의지가 있으신 분 세일즈를 넘어 전략적인 사업 확장 리드 경험을 보유하신 분 국내 광고 시장 구조와 디지털 매체에 대한 이해도가 높으신 분 디지털 매체 및 OOH 오프라인 미디어 파트너쉽 체결 경험을 비롯한 매체 업무 경험을 보유하신 분
