주요 업무,자격요건 및 우대사항
 파워볼PGB게임 시장분석 및 단계별 브랜딩 전략 수립 전반 게임 광고 기획 제작 및 매체 집행 타사 제품 및 시장 리서치 비교 분석 기획 운영 등 내부 멤버들과의 민첩한 커뮤니케이션, 필수 포트폴리오 보유자 5년 이상의 웹보드 스포츠 등 게임 또는 관련 분야의 마케팅 경험자 콘텐츠 기획부터 제작 배포 리뷰에 이르는 과정을 주도적으로 실행하신 분 데이터 기반의 마케팅 전략 수립 실행을 경험하신 분 트렌드에 민감하고 유저중심의 사고에 익숙하신 분 우대 스타트업 업무 경험자
CRM 마케터 및 디지털 마케터  글로벌 브랜드의 이탈 방지 구매 유도 리텐션 등 소비자 저니 및 마케팅 전략 수립 아큐브 시슬리코리아 등  CRM 운영 SFMC 및 CDP 활용   목적에 맞는 채널 선정 및 CRM 기획 및 발송  CRM을 활용한 캠페인 기획 및 실행   데이터를 활용한 CRM 전략 수립  다양한 AB테스트를 진행하고 성과 분석을 통한 효율 개선 , CRM 경력 3년 이상 다양한 유관부서 개발자 DBA 디자이너 마케터 등 과의 협업에 능하신 분 데이터에 기반하여 성과를 분석하고 커뮤니케이션하는 업무방식에 익숙하신 분 디지털 이벤트 기획 경험자 해외여행에 결격사유가 없는 자  소비자 구매와 관련된 CRM 저니 설계를 해보신 분 SFMC 및 CDP 경험자 CRM 솔루션 경험자 SQL GA Appsflyer 등 트래킹 툴 실무 적용 경험 소비자 대상 메시지 작성에 어려움이 없는 분 간결한 글쓰기 스타트업 경력자 또는 스타트업 근무 희망자  글로벌 브랜드 및 국내 브랜드 등 의 마케팅 경험 가설 수립 및 검증에 대한 설계 경험이 있으신 분
1 국내외 인플루언서 마케팅 시장 동향 리서치 및 분석 2 피처링 웹사이트내 블로그 콘텐츠 등록 주 12회3 피처링 솔루션 고객 대상 뉴스레터 발송 주12회4 외부 블로그뉴스레터 관리 5 인플루언서 커머스 판매 페이지 제작 ,1 인플루언서 마케팅커머스에 관심 있으신 분 2 인플루언서 마케팅 커리어를 만들고 싶은 분 3 고객의 마음을 움직이는 스토리텔링 능력이 있으신 분 1 어도비 스케치 피그마 등 프로그램을 기본적으로 다룰 수 있으신 분 2 카피라이팅 스토리텔링 능력이 있으신 분 3 B2B 세일즈 마케팅 경험이 있으신 분 4 인플루언서 및 MCN 관련 업무에 대한 관심 및 인사이트가 많은 분5 소셜미디어 플랫폼Instagram Youtube Tiktok 네이버 블로그 등에 대한 이해도가 높은 분
 메타구글네이버카카오 등 Paid 매체 광고 운영 광고 매체별 데이터 분석 및 인사이트 도출 운영 최적화 미디어믹스 및 마케팅 전략 기획, D2C 커머스 퍼포먼스 마케팅 경력 1년 이상 메타구글네이버카카오 등의 Paid 매체에서 성과를 개선한 경험이 있는 분 능동적인 업무태도와 빠른 실행력을 바탕으로 문제해결에 뛰어나신 분 꼼꼼하고 체계적인 업무스타일을 보유하신 분 D2C 미디어커머스 스타트업 재직 경험 직접전환 목적의 광고 콘텐츠에 대한 인사이트가 많으신 분 다양한 매체의 미디어 믹스를 논리적으로 구성하여 높은 효율을 내보신 적이 있으신 분 엑셀을 활용한 데이터 정리 및 시각화 능력이 뛰어나신 분
 메타구글카카오GFA 등 광고 채널 관리 퍼포먼스 광고 집행관리 인플루언서 바이럴 마케팅 판매광고 채널별 입점 및 기획 광고컨텐츠 소재 기획 및 실행 마케팅 성과분석, 경력 년수 무관 메타자사몰 광고마케팅 등 다양한 매체 경험이 있는 분 엑셀문서 정리에 능숙한 분 해외여행에 결격사유가 없는 분 근무조건  3개월 수습 후 정규직 전환 검토 리빙 트렌드에 관심이 많고 이해도가 높은 분 문제 해결에 적극적인 분 긍정적이고 성취지향적인 분
App 및 Web 서비스의 마케팅 전략 수립마케팅 커뮤니케이션 실행디지털프로모션 등트렌드 모니터링소셜 분석 등을 통한 마케팅 인사이트 도출, 관련 경력 3년 이상 원활한 커뮤니케이션 능력 지원시 포트폴리오 첨부 필수패션 관련 브랜드플랫폼 경험트렌드에 민감하고 미디어 콘텐츠에 관심이 많은 분콘텐츠 제작 툴포토샵 일러스트 프리미어 피그마 등 활용 가능자
사용자 유입을 위한 카드 뉴스 영상 콘텐츠 시리즈단발성 등 기획 및 제작앱 서비스 확장을 위한 마케팅 콘텐츠 기획 및 제작콘텐츠 정량지표 관리 및 분석시장 트렌드 및 데이터 분석을 통한 콘텐츠 방향성 도출온드미디어Owned Media 운영 전략 수립 및 관리 홈페이지 SNS,경력  무관 신입도 지원 가능관련 분야 학사 이상 졸업예정자 포함12년 이상의 콘텐츠 마케팅 경력 또는 그에 준하는 역량을 가지신 분SNS 이해도가 높으신 분이미지와 영상 광고 콘텐츠 제작이 가능하신 분Adobe 일러스트레이터 포토샵 프리미어프로 등 이미지 영상 촬영 및 편집이 가능하신 분헬스케어 서비스 시장에 대한 전반적인 이해도를 갖추신 분플랫폼 론칭 마케팅 관련 콘텐츠를 통해 성과를 경험해 보신 분 콘텐츠 서비스 시장 분석 및 트랜드에 맞는 콘텐츠 기획력을 갖추신 분콘텐츠 데이터 분석 및 성과 개선이 가능하신 분디자이너와 개발자 사이에서 원활한 커뮤니케이션이 가능하신 분
 User Acquisition을 위한 광고 캠페인 기획운영FB IG Google 등 매체캠페인크리에이티브별 성과 데이터 분석을 통한 효율 최적화 Tracking Tool을 활용한 데이터 분석 및 인사이트 도출Appsflyer Amplitude GA 자체 서버데이터 Retention Rate 개선을 위한 Growth 전략을 수립실행, 모바일 광고 집행 경력 3년 이상 SelfServing 매체 집행 경험 보유 데이터분석 툴 사용 경험 개발 콘텐츠 등의 유관 부서와의 능동적으로 소통하고 협업 가능하신 분 게임 또는 서비스 어플리케이션 마케팅 경험 SQL 활용능력 광고 Creative 기획 능력 전사 마케팅 전략 수립 경험또는 호기심 영어권 국가 마케팅 유경험자영어는 잘 못하셔도 괜찮습니다
 인플루언서 콜라보 마케팅 집행 인플루언서 리스팅 인플루언서 소속사 컨택 SNS 콘텐츠 기획 및 업로드, 1년 이상의 온라인 마케팅 경력을 보유하신 분   매니저  1년 이상  시니어 매니저  4년 이상 MS Office 활용 능력 우수하신 분 excel ppt 일본어 회화가 가능하신 분 JLPT N2 레벨 이상 시니어의 경우 팀 리드 경험 있으신 분 뷰티  화장품 브랜드사 경력 보유하신 분 일본어 회화에 능통하신 분 비즈니스 경어 레벨 데이터 분석 능력이 뛰어나신 분 디자인 툴 다룰 수 있으신 분
 브랜드 마케팅 캠페인 집행 브랜드 비주얼 및 카피라이팅 디렉팅 브랜드 제휴 제안 검토 및 콜라보레이션 브랜드 온드미디어 기획 및 관리, 마케팅 경력 3년 이상이신 분 MS Office 활용 능력 우수하신 분 excel ppt 원어민 수준의 일본어 능력을 보유하신 분 일본 마케팅 관련 경력 보유하신 분 종합광고대행사 경력 보유하신 분 일본 마켓에 대한 이해도가 깊으신 분 일본에서 일해본 경험 있으신 분
