주요 업무,자격요건 및 우대사항
 PM과 함께 성장을 원하는 사람들에게 필요한 교육 기획 기획부터 마케팅까지 제품 사이클 주관 트렌드 분석  시장 리서치를 바탕으로 신규 교육 주제 선정 커리큘럼 기획  강사진 섭외 상세페이지  마케팅 크리에이티브 제작 고객 획득과 고객 참여도를 높이기 위한 마케터와 협업 온오프라인 교육 운영  고객 관리 및 니즈 분석, 데이터 사이언스  데이터 엔지니어링  데이터 분석 도구 및 프로그래밍 언어 등 데이터 사이언스 전반에 대한 관심 및 트렌드에 능하신 분 신입 혹은 1년 이상의 교육 상품 기획 경력 프로젝트를 주도적으로 기획하고 실행해본 경험 혹은 준하는 경험이 있으신 분 데이터를 이해하고 응용하여 사용자 니즈를 파악하는 일에 무리가 없으신 분 팀 기반 업무 진행에 익숙하고 자기 의견을 논리적으로 이야기하실 수 있는 분 기존의 프로세스를 따르는데 익숙하기 보다는 본인만의 프로세스를 구축하며 일하는데 보람을 느끼시는 분 문제해결  목표달성 과정에서 빠르고 과감한 의사결정을 할 수 있으신 분 위에 열거한 러닝스푼즈와 사일로팀에서 하는 일에 대한 순수한 흥미가 있으신 분 이런 분이면 더 좋아요 우대사항 데이터 분석 프로젝트 경험 SQLD  ADSP  정보처리기사 등 데이터 분석 관련 자격증 교육업에 관심이 많고 끊임없는 자기계발에 대한 열정이 있으신 분 창업 경험이 있거나 자기만의 프로젝트를 성공실패 해본 경험이 있으신 분 온오프라인 커뮤니티를 직접 기획운영 해보신 분
 PM과 함께 성장을 원하는 사람들에게 필요한 교육 기획 기획부터 마케팅까지 제품 사이클 주관 트렌드 분석  시장 리서치를 바탕으로 신규 교육 주제 선정 커리큘럼 기획  강사진 섭외 상세페이지  마케팅 크리에이티브 제작 고객 획득과 고객 참여도를 높이기 위한 마케터와 협업 온오프라인 교육 운영  고객 관리 및 니즈 분석, 신입 혹은 1년 이상의 교육 상품 기획 경력 경영 및 경제학이 전공이신 분 금융 시장의 변화를 캐치하실 수 있는 분 주식 채권 펀드 등 투자에 관해 관심이 많은 분 프로젝트를 주도적으로 기획하고 실행해본 경험 or 준하는 경험이 있으신 분 데이터를 이해하고 응용하여 사용자 니즈를 파악하는 일에 무리가 없으신 분 팀 기반 업무 진행에 익숙하고 자기 의견을 논리적으로 이야기하실 수 있는 분 기존의 프로세스를 따르는데 익숙하기 보다는 본인만의 프로세스를 구축하며 일하는데 보람을 느끼시는 분 문제해결  목표달성 과정에서 빠르고 과감한 의사결정을 할 수 있으신 분 위에 열거한 러닝스푼즈와 사일로팀에서 하는 일에 대한 순수한 흥미가 있으신 분 이런 분이면 더 좋아요 우대사항 교육업에 관심이 많고 끊임없는 자기계발에 대한 열정이 있으신 분 창업 경험이 있거나 자기만의 프로젝트를 성공실패 해본 경험이 있으신 분 주식 펀드 등의 금융 투자 경험이 있으신 분 금융부동산 관련 자격증을 소지하고 계신 분 온오프라인 커뮤니티를 직접 기획운영 해보신 분
 PM과 함께 성장을 원하는 사람들에게 필요한 교육 기획 기획부터 마케팅까지 제품 사이클 주관 트렌드 분석  시장 리서치를 바탕으로 신규 교육 주제 선정 커리큘럼 기획  강사진 섭외 상세페이지  마케팅 크리에이티브 제작 고객 획득과 고객 참여도를 높이기 위한 마케터와 협업 온오프라인 교육 운영  고객 관리 및 니즈 분석, 신입 혹은 1년 이상의 교육 상품 기획 경력 프로젝트를 주도적으로 기획실행해본 경험 or 준하는 경험이 있으신 분 데이터를 이해하고 응용하여 사용자 니즈를 파악하는데 무리가 없으신 분 팀 기반 업무 진행에 익숙하고 자기의견을 논리적으로 이야기할 수 있는 분 기존의 프로세스를 따르는데 익숙하기 보다는 본인만의 프로세스를 구축하며 일하는데 보람을 느끼시는 분 문제해결  목표달성 과정에서 빠르고 과감한 의사결정을 할 수 있는 분 위에 열거한 러닝스푼즈와 그로스 사일로에서 하는 일에 대한 순수한 흥미가 있으신 분 이런 분이면 더 좋아요 우대사항 교육업에 관심이 많고 끊임없는 자기계발에 대한 열정이 있으신 분 창업에 경험이 있거나 자기만의 프로젝트를 성공실패 해본 경험이 있으신 분 B2B 대상 교육 기획영업운영 경험이 있으신 분 Google Analytics와 같은 애널리틱스 툴을 사용해 수집된 데이터를 분석한 경험이 있으신 분 능동적으로 해결책더 나은방향 제시을 찾는데 익숙하신 분 온오프라인 커뮤니티를 직접 기획운영 해보신 분
   지속적인 시장 조사와 고객 피드백 유저 리서치를 통해 새로운 기회를 찾아내고 제품에 반영합니다  VESSL AI의 비즈니스 목표와 정렬된 제품 전략을 수립하고 로드맵을 세울 수 있으며 고객에게 가치가 전달되는 과정까지 실행하고 추진합니다  고객사와의 커뮤니케이션을 통해 지속적으로 제품에 대한 요구사항과 피드백을 수집하고 개발과 개선이 필요한 사항을 구체적으로 기획하여 중요도에 따라 수행합니다  개발 디자인 ML 연구자로 구성된 제품 조직과 함께 제품을 개선하는 과정을 이끌어 나갑니다, AI 기술 및 관련 산업 트렌드에 대한 전반적인 이해와 관심이 있으신 분 소프트웨어 분야에서 제품 기획자Product OwnerProduct Manager로 5년 이상의 경험을 가지고 계신 분 소프트웨어 기반 제품 기획에서 출시까지 전체 사이클에 대한 깊은 이해도가 있으신 분 단계별 요구사항과 목표 계획을 수립하고 능동적으로 실행할 수 있으신 분 기술적 배경 지식이 부족한 청중에게도 기술적인 내용을 풀어서 설명하고 소통할 수 있는 커뮤니케이션 스킬을 가지고 계신 분  엔터프라이즈 대상 B2B 소프트웨어 프로젝트 경험  AIML 분야에서의 업무 경험 혹은 높은 이해도     PyTorch TensorRT CUDA VertexAI Sagemaker Kubeflow 등의 키워드에 대한 배경 지식 이해도 혹은 사용 경험     MLOps LLMOps의 구성 요소들과 역할에 대해 설명할 수 있는 이해도  엔지니어링 UXUI 마케팅 PM 등 다양한 직군과 협업하여 제품을 만들어낸 경험
 마케팅 전략 수립 마케팅 기획 마케팅 집행, 성장에 대한 열정이 있으신 분 전략적으로 사고하고 빠르게 실행하실 수 있는 분 주도적으로 마케팅 전략을 수립하고 기획 및 집행을 진행하실 수 있는 분을 모시고 있습니다  스타트업 및 IT 기업 경험이 있으면 좋습니다 관련 영역에서 4년 이상 경력을 보유하신 분은 우대하고 있습니다
  Product 팀 목표와 전략 수립 및 실행 리드 마케팅 예산의 효율적 배분 Paid media 최적화 전략 수립 및 운영을 통해 매출 성장 견인  데이터 분석을 통한 다양한 AB Test 가설 수립 및 효율을 개선 트래킹 솔루션을 활용한 데이터 기반 분석 및 Insight를 도출조직 특성 상 메디빌더 관계사자회사 소속이 될 수 있습니다, 퍼포먼스 마케팅 경력을 포함하여 최소 경력 3년 이상 보유한 분 경력 연수보다 실제 성과를 중시합니다 팀 리딩 경력 최소 1년 이상 보유한 분 팀의 목표를 설정하고 목표 달성을 위해 팀을 이끄는 분 업무의 우선순위화와 집중하는 능력이 탁월한 분 다양한 업무 관계자와 소통하여 최고의 결과를 도출하는 분 집요한 고객 관점에서 소비 심리를 도출 가능한 분 적극적인 문제해결력을 바탕으로 보다 높은 수준의 결과물을 도출하는 분 유효한 피드백과 의견을 수용하여 더 나은 결과물을 만들어내는 분 미디어커머스 회사 경력을 보유한 분  온라인마케팅 대행사 경력을 보유한 분  병원 마케팅 대행사 경력을 보유한 분
Go To Market 관점 Product Planning 부터 판매Channel전략 포함까지 ManagementMarket Intelligence 측면 다양한 Application 및 시장수요 경쟁환경 분석효율적 OnOff line 제품 Promotion 및 Product Strategy 수립,필요역량Experienced in team management as a marketing team leaderFluency in English communication both verbally and in writing이공계열 전공기술영업 해외영업 업무 경험자
기업고객 마케팅영업 기획기업고객 마케팅상품 제휴영업,학력  초대졸이상경력  3년이상기업 고객 마케팅영업 경력자 및 고객사 보유사원활한 커뮤니케이션 팀웍을 위한 긍정적인 마인드 소유동종 업계 경력자 우대
1 인플루언서 발굴 및 커뮤니케이션 2 인플루언서 커머스에 적합 브랜드 상품 큐레이션 3 SNS 마켓 운영 및 관리 네이버스마트스토어4 구매 고객 CS관리 제품 문의 상담 배송 발주서 관리,1 인플루언서 마케팅커머스에 관심 있으신 분2 트렌드에 관심이 많고 제품브랜드 발굴에 흥미가 있으신 분 3 인플루언서 공동구매마케팅 커리어를 만들고 싶은 분 4 고객 커뮤니케이션에 능숙하신 분 1 인플루언서 커머스 운영 경험이 있으신 분 2 MCN 인플루언서 마케팅 회사 등의 경력 또는 네트워크를 구축하고 계신 분 3 소셜미디어 플랫폼Instagram Youtube Tiktok 네이버 블로그 등에 대한 이해활용도가 높은 분 4 원만한 커뮤니케이션 능력 대인관계 역량을 지니신 분 5 스타트업에 대한 풍부한 이해
 NPU 및 AI 칩에 대한 경쟁력 있는 마케팅 전략 수립 및 실행 다양한 고객군의 니즈에 맞춘 제품 출시 업무 수행을 위해 영업 및 엔지니어링 팀과 협업 경영진 의사결정을 위한 전략 보고서 작성 및 발표 업무 수행 업계 행사 발표회 및 소셜 미디어에서 Aim Future제품을 홍보,학력  대졸이상경력  반도체칩 또는 IP업체에서 1015년 경력반도체 생태계 기술 동향 및 시장 요구사항에 대한 이해도가 높으신 분독립적인 업무 수행 및 Crossfunctional한 팀들과의 업무 협력이 가능하신 분영어 말하기 쓰기에 모두 능통하신 분
