주요 업무,자격요건 및 우대사항
CRM 마케터 및 디지털 마케터  글로벌 브랜드의 이탈 방지 구매 유도 리텐션 등 소비자 저니 및 마케팅 전략 수립 아큐브 시슬리코리아 등  CRM 운영 SFMC 및 CDP 활용   목적에 맞는 채널 선정 및 CRM 기획 및 발송  CRM을 활용한 캠페인 기획 및 실행   데이터를 활용한 CRM 전략 수립  다양한 AB테스트를 진행하고 성과 분석을 통한 효율 개선 , CRM 경력 3년 이상 다양한 유관부서 개발자 DBA 디자이너 마케터 등 과의 협업에 능하신 분 데이터에 기반하여 성과를 분석하고 커뮤니케이션하는 업무방식에 익숙하신 분 디지털 이벤트 기획 경험자 해외여행에 결격사유가 없는 자  소비자 구매와 관련된 CRM 저니 설계를 해보신 분 SFMC 및 CDP 경험자 CRM 솔루션 경험자 SQL GA Appsflyer 등 트래킹 툴 실무 적용 경험 소비자 대상 메시지 작성에 어려움이 없는 분 간결한 글쓰기 스타트업 경력자 또는 스타트업 근무 희망자  글로벌 브랜드 및 국내 브랜드 등 의 마케팅 경험 가설 수립 및 검증에 대한 설계 경험이 있으신 분
1 국내외 인플루언서 마케팅 시장 동향 리서치 및 분석 2 피처링 웹사이트내 블로그 콘텐츠 등록 주 12회3 피처링 솔루션 고객 대상 뉴스레터 발송 주12회4 외부 블로그뉴스레터 관리 5 인플루언서 커머스 판매 페이지 제작 ,1 인플루언서 마케팅커머스에 관심 있으신 분 2 인플루언서 마케팅 커리어를 만들고 싶은 분 3 고객의 마음을 움직이는 스토리텔링 능력이 있으신 분 1 어도비 스케치 피그마 등 프로그램을 기본적으로 다룰 수 있으신 분 2 카피라이팅 스토리텔링 능력이 있으신 분 3 B2B 세일즈 마케팅 경험이 있으신 분 4 인플루언서 및 MCN 관련 업무에 대한 관심 및 인사이트가 많은 분5 소셜미디어 플랫폼Instagram Youtube Tiktok 네이버 블로그 등에 대한 이해도가 높은 분
 퍼포먼스 마케터는 주로 이런 업무를 해요 Google Tiktok Meta Ad network 등 다양한 매체의 특성에 맞는 퍼포먼스 마케팅 실행 마케팅을 통한 Acquisition  Retention  Purchase 효율 및 지표 개선 GA4 Metabase 등 분석툴을 활용하여 인사이트를 도출하고 마케팅에 적용 광고 소재별 AB테스팅 집행 인사이트 공유 및 고도화 일본을 포함한 글로벌 신규 마케팅 채널 발굴 및 운영, 이런 분과 함께하고 싶어요 퍼포먼스 마케팅UA 이외 퍼포먼스 액션 포함 경력 5년 이상을 보유하신 분 데이터 기반의 사고로 퍼포먼스 마케팅 전략을 기획수행하며 최적화 달성 경험을 보유하신 분 성과 분석을 통한 인사이트 도출 및 Next Plan 설계가 가능하신 분 서비스 퍼널에 대해 이해하고 LTV ARPU 등 마케팅 주요 지표를 이해할 수 있으신 분우대사항 이런 분은 더욱 반가워요 일본어로 비즈니스 의사소통이 가능하신 분 일본어 관련 자격증 혹은 일본어 역량을 나타낼 수 있는 활동이 있다면 이력서에 명시해주세요 문제 해결을 최우선으로 생각하고 데이터 드리븐을 통한 성과 개선 경험을 보유하신 분 SQL 등을 통해 데이터를 원하는 결과물로 가공하고 인사이트를 발굴할 수 있으신 분 빠른 실행 중심의 IT 스타트업 마케팅 경험을 보유하신 분 성과를 수치로 말하기를 좋아하시는 분
We are looking for a resultsdriven digital marketing specialist to execute our influencer marketing initiatives and manage our social channels and owned media engagement initiatives The ideal candidate understands the strategic components of earned media engagement empowering positive wordofmouth buzz and creating brand loyaltyWhat You Will Do Plan design and manage the VIPKid Korea social media accounts Instagram Youtube effectively to drive engagement and leads Work with various internal and external stakeholders to effectively manage the microinfluencer initiatives supporter and paid influencer partnerships Design and implement the VIPKid Korea user community using the leading platform Endtoend ownership and growth of the user referral program Own the content and performance of the userfacing messaging campaigns Methodically run pilots AB tests to identify improvement opportunities Work with HQ product and engineering team to continuously improve our product experience Attend any marketing events when required Any other adhoc duties as required, Minimum 35 years of working experience in a digital marketing role focused on community engagement influencer engagement or user engagement Please submit a link to your portfolio with your application Native speaker of Korean with strong written and spoken English skills Experience in the education industry will be a big plus Expertise with design Adobe Suite Canva Figma etc social media management Sprinkler etc and tools in creating content and campaigns High energy passionate and deeply empathetic of the customer Highly selfmotivated with the ability to work fast and smart independently An influencer yourself with a strong followership on Instagram YouTube Facebook or another major platform Creative writing and design experience Tireless avid and empathetic communicator Expertise with data analytics and measurement tools Google Analytics Google Data Studio
 컨텐츠 마케팅 전략 기획 블로그 관리 업무 SNS바이럴 마케팅 콘텐츠 제작 관리 인플루언서 모집 관리 및 대행사 관리, 미적 감각을 겸비한 다재 다능한 마케터 Adobe Photoshop Illustrator 기본 사용 가능하신 분 디지털 광고 매체에 대한 관심이 높으신 분 유쾌하고 긍정적인 마인드를 가지신 분 대화와 소통을 좋아하고 공감 능력이 좋은 분 목표 지향적인 마인드와 유연한 태도를 가지신 분 마케팅 콘텐츠 디자인 제작 경력이 있으신 분 SEO 관련 지식이나 경험이 있으신 분 엔구 서비스를 잘 알고 계시는 분
 세일즈 목표 관리 및 영업 전략 수립 대행사 대상 신규 시장 기회 발굴 인아웃바운드 세일즈 및 미팅 리드 대행사 대상 미디어 플래닝 및 미디어 플랫폼 운영 관리 신규 매체 발굴 및 광고 매체 상품 기획, 미디어렙사 매체사 종대사 미디어팀 등 유관 업계 경력을 최소 5년 이상 보유하신 분 문제 해결 역량과 성과목표 지향적 성향을 가지신 분 팀 리딩 경험이 있으신분 조직 세팅 및 리딩 경험이 있으신 분 도전적이고 포기하지 않는 강인한 의지가 있으신 분 세일즈를 넘어 전략적인 사업 확장 리드 경험을 보유하신 분 국내 광고 시장 구조와 디지털 매체에 대한 이해도가 높으신 분 디지털 매체 및 OOH 오프라인 미디어 파트너쉽 체결 경험을 비롯한 매체 업무 경험을 보유하신 분
 메타구글네이버카카오 등 Paid 매체 광고 운영 광고 매체별 데이터 분석 및 인사이트 도출 운영 최적화 미디어믹스 및 마케팅 전략 기획, D2C 커머스 퍼포먼스 마케팅 경력 1년 이상 메타구글네이버카카오 등의 Paid 매체에서 성과를 개선한 경험이 있는 분 능동적인 업무태도와 빠른 실행력을 바탕으로 문제해결에 뛰어나신 분 꼼꼼하고 체계적인 업무스타일을 보유하신 분 D2C 미디어커머스 스타트업 재직 경험 직접전환 목적의 광고 콘텐츠에 대한 인사이트가 많으신 분 다양한 매체의 미디어 믹스를 논리적으로 구성하여 높은 효율을 내보신 적이 있으신 분 엑셀을 활용한 데이터 정리 및 시각화 능력이 뛰어나신 분
 네이버구글 등 SA 광고 운영 제품별 SA 광고 목표 및 전략 수립 제품별 SA 광고 보고서 작성 및 데이터 분석인사이트 도출, 유관 경력 1년 이상 네이버구글 등의 SA 광고에서 성과를 개선한 경험이 있는 분 꼼꼼하고 체계적인 업무스타일을 보유하신 분 능동적인 업무태도와 빠른 실행력을 바탕으로 문제해결에 뛰어나신 분 광고대행사 혹은 D2C 커머스 스타트업 재직 경험 검색광고마케터 자격증 보유하신 분 엑셀을 활용한 데이터 정리 및 시각화 능력이 뛰어나신 분
  Product 팀 목표와 전략 수립 및 실행 리드 마케팅 예산의 효율적 배분 Paid media 최적화 전략 수립 및 운영을 통해 매출 성장 견인  데이터 분석을 통한 다양한 AB Test 가설 수립 및 효율을 개선 트래킹 솔루션을 활용한 데이터 기반 분석 및 Insight를 도출조직 특성 상 메디빌더 관계사자회사 소속이 될 수 있습니다, 퍼포먼스 마케팅 경력을 포함하여 최소 경력 3년 이상 보유한 분 경력 연수보다 실제 성과를 중시합니다 팀 리딩 경력 최소 1년 이상 보유한 분 팀의 목표를 설정하고 목표 달성을 위해 팀을 이끄는 분 업무의 우선순위화와 집중하는 능력이 탁월한 분 다양한 업무 관계자와 소통하여 최고의 결과를 도출하는 분 집요한 고객 관점에서 소비 심리를 도출 가능한 분 적극적인 문제해결력을 바탕으로 보다 높은 수준의 결과물을 도출하는 분 유효한 피드백과 의견을 수용하여 더 나은 결과물을 만들어내는 분 미디어커머스 회사 경력을 보유한 분  온라인마케팅 대행사 경력을 보유한 분  병원 마케팅 대행사 경력을 보유한 분
 고객 여정에 따른 마케팅 퍼널 기획 및 분석  B2B 고객리드 확보를 위한 마케팅 업무 전반 블로그 뉴스레터 콘텐츠 생성 전시회프로모션세미나 등 이벤트 기획 및 운영 기타 제휴 마케팅 프로모션 기획 참여, B2B 마케팅 경력 1년 이상  1차 면접에서 포트폴리오 필수 제출 형식 분량 제한 없음 모바일 광고 시장에 대한 이해가 있으신 분
