회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
(주)비케이브,정규직,"['ERP', '시스템', '정보보안', 'WMS', '시스템운영', 'POS', '시스템관리', '사방넷']","[회사소개]

어제보다 오늘 더 성장하는 비케이브 와 함께해요.
비케이브는 법인 8년차 의류 전문 회사입니다.

19년도 총매출액 590억, 20년도 총매출액 800억, 21년도 1600억, 22년도 2000억대로 매년 높은 성장을 하고 있으며,

총 9개의 브랜드(커버낫, 와릿이즌, Lee, Wrangler, 이벳필드, 팔렛, 토니호크, 스티븐알란,네이머클로딩)를 운영하고 있습니다.

이처럼 짧은 시간 폭발적인 성장을 한 비케이브는 국내를 넘어
글로벌 캐주얼 회사로 거듭나고자,

양질의 컨텐츠(브랜드)를 옴니채널의 환경에서 다수의 고객(내부/글로벌)에게
입는 즐거움이라는 가치를 전달하고자 합니다.
비케이브의 끊임없는 도전과 비전을 공유할 인재를 초대합니다.

늦기 전에 합류하세요.

[조직문화]

비케이브는 매우 젊은 회사입니다.

역동적이고 에너제틱한 의미를 포함하여 실제로 임직원의 평균 연령이 20~30대로 젊습니다.
조직의 수직화, 경직화를 경계하며 직급 구분 없이 의견을 자유롭게 개진하는 조직문화를 지향하고 도입화 하여 진행 중입니다.",입사하시면 경험하실 업무 입니다1 POS ERP WMS 시스템 운영 관리2 BI 시스템 운영 관리,"[해당되신다면 지원해주세요]

• 학력: 초대졸 이상

• 경력: 신입 ~ 경력 8년 이하 (사원~대리)

• 최근 IT 동향과 기술 파악에 관심이 많은 분","[ 해당되신다면 더욱 좋아요 ] 

1) 온라인 패션 플랫폼 기반의 POS, ERP, WMS 시스템 운영 관리 경험

2) 쇼핑몰 통합 관리 서비스 업무 유경험자 (사방넷, 셀릭)",,"[WORK LIFE] 

- 근무환경&휴게환경 지속적인 개선
- 자유롭고 개성적인 근무복장 존중 
- 비케이브인의 건강을 위한 종합검진 지원 

• [PRESENT&EVENT] 

- 복지포인트 지급(기본 30만원부터 요건에 따라 차등지급) 
- 근속연수에 따른 안식 휴가 지원 
- 기쁜 일은 두배, 슬픈일은 반으로 함께 나누는 경조사 지원
- 자사상품 50% 할인 구매 지원
- 명절맞이 선물 지급(1년 2회)
- 입사 환영 웰컴키트 제공 

• [CULTURE]

- 법정의무교육, 회사생활 교육 제공
- 단축근무(매월 마지막주 금요일 4시간 근무) 및 샌드위치 데이 운영
- 법인 리조트 운영 및 지원
- 사내동호회 운영 및 지원","서울 마포구 잔다리로 24, 5층",['개발'],"['네트워크/보안/운영', 'ERP']",해당되신다면 지원해주세요 학력 초대졸 이상 경력 신입  경력 8년 이하 사원대리 최근 IT 동향과 기술 파악에 관심이 많은 분 해당되신다면 더욱 좋아요  1 온라인 패션 플랫폼 기반의 POS ERP WMS 시스템 운영 관리 경험2 쇼핑몰 통합 관리 서비스 업무 유경험자 사방넷 셀릭,62
에이치에스오코리아,정규직,"['회계', 'ERP', '컨설턴트']","HSO Korea는 Microsoft Dynamics 365 환경에서 고객 기업의 프로세스를 관리하고 생성된 데이터를 분석하여
경영진에 insight를 제공하고 이를 통해 고객 기업의 가치를  높일 수 있도록
의사결정에 도움을 주는데 회사의 목적이 있습니다.

HSO Korea에서는 고객 기업의 가치를 이끌어 가실 인재를 채용하고 있습니다.",ERP 회계 모듈관리고객사 맞춤형 MS 회계 모듈 구축 및 기술 지원고객사 ERP 회계 모듈 프로젝트 제안 및 교육PMS회계지식을 기반으로 프로젝트에 기술적 의견을 제시비즈니스 이슈 정의해결 리더십 및 Communication Skill,"ㆍ학력 : 대졸 이상 (2,3년)
ㆍMS Dynamics 구축경험이 없더라도 영어가 가능한 ERP 수행자 or 수행사에서의 근무 경험자
ㆍMS Dynamics 구축경험을 가진 컨설턴트","ㆍCPA, AICPA 자격증 소지자
ㆍ영어로 컨설팅 가능한 자
ㆍ회계 및 산업공학관련 전공자",서류전형 > 1차 면접 > 최종합격,"급여제도
퇴직연금, 연차수당, 4대 보험

교육/생활
간식 제공, 음료 제공(차, 커피)

근무 환경
노트북, 사원증

조직문화
회식강요 안함, 야근강요 안함, 자유복장

리프레시
연차, 근로자의 날 휴무","서울 마포구 상암산로 76, 10층",['개발'],['ERP'],학력  대졸 이상 23년MS Dynamics 구축경험이 없더라도 영어가 가능한 ERP 수행자 or 수행사에서의 근무 경험자MS Dynamics 구축경험을 가진 컨설턴트CPA AICPA 자격증 소지자영어로 컨설팅 가능한 자회계 및 산업공학관련 전공자,63
에이치에스오코리아,정규직,"['ERP', '물류', '컨설턴트']","HSO Korea는 Microsoft Dynamics 365 환경에서 고객 기업의 프로세스를
관리하고 생성된 데이터를 분석하여 경영진에 insight를 제공하고
이를 통해 고객 기업의 가치를 높일 수 있도록 의사결정에
도움을 주는데 회사의 목적이 있습니다.

HSO Korea에서는 고객 기업의 가치를 이끌어 가실 인재를 채용하고 있습니다.",ERP 물류 모듈관리고객사 맞춤형 MS 물류 모듈 구축 및 기술 지원고객사 ERP 물류 모듈 프로젝트 제안 및 교육PMS물류생산관리 지식을 기반으로 프로젝트에 기술적 의견을 제시비즈니스 이슈 정의해결 리더십 및 Communication Skill,"ㆍ학력 : 대졸 이상 (2, 3년)
ㆍMS Dynamics 구축경험이 없더라도 영어가 가능한 ERP 수행자 or 수행사에서의 근무 경험자
ㆍMS Dynamics 구축경험을 가진 컨설턴트","ㆍCPIM 자격증 소지자
ㆍ영어로 컨설팅 가능한 자",서류전형 > 1차 면접 > 최종합격,"급여제도
퇴직연금, 연차수당, 4대 보험

교육/생활
음료 제공(차, 커피)

근무 환경
노트북

조직문화
회식강요 안함, 야근강요 안함, 자유복장

리프레시
연차, 근로자의 날 휴무","서울 마포구 상암산로 76, 10층",['개발'],['ERP'],학력  대졸 이상 2 3년MS Dynamics 구축경험이 없더라도 영어가 가능한 ERP 수행자 or 수행사에서의 근무 경험자MS Dynamics 구축경험을 가진 컨설턴트CPIM 자격증 소지자영어로 컨설팅 가능한 자,64
에이치에스오코리아,정규직,"['C#', 'c', 'ERP', '유지보수', 'SI']","HSO Korea는 Microsoft Dynamics 365 환경에서 고객 기업의 프로세스를 관리하고 생성된
데이터를 분석하여 경영진에 insight를 제공하고 이를 통해 고객 기업의 가치를 높일 수 있도록
의사결정에 도움을 주는데 회사의 목적이 있습니다.

HSO Korea에서는 고객 기업의 가치를 이끌어 가실 개발팀 인원을 채용하고 있습니다.",Microsoft Dynamics ERP 신규 프로젝트 개발고객사 ERP 유지보수 및 장애 처리,"ㆍ학력 : 대졸 이상 (2,3년)
ㆍMS Dynamics 개발 경험이 없더라도 영어가 가능한 개발자
ㆍMS Dynamics 개발 경험이 있는자","ㆍ컴퓨터/시스템공학
ㆍMS NAV 또는 AX 개발 유경험자
ㆍ기타 국산 또는 외산 ERP 또는 SI 개발 유경험자
ㆍNet frameWork 개발 가능자
ㆍC 또는 C# 개발 가능자",서류전형 > 1차 면접 > 최종합격,"급여제도
퇴직연금, 연차수당, 4대 보험

교육/생활
간식 제공, 음료 제공(차, 커피)

근무 환경
노트북, 사원증

조직문화
회식강요 안함, 야근강요 안함, 자유복장

리프레시
연차, 근로자의 날 휴무","서울 마포구 상암산로 76, 10층",['개발'],['ERP'],학력  대졸 이상 23년MS Dynamics 개발 경험이 없더라도 영어가 가능한 개발자MS Dynamics 개발 경험이 있는자컴퓨터시스템공학MS NAV 또는 AX 개발 유경험자기타 국산 또는 외산 ERP 또는 SI 개발 유경험자Net frameWork 개발 가능자C 또는 C 개발 가능자,65
(주)한국비즈넷,정규직,"['java', 'MSSQL', 'ERP', 'visual basic']","당사 대표 프로그램인 G-SABIS는 물류 통합관리 시스템이며, 클라우드 기반으로 이루어져 있습니다.

• 화물추적관리
- 화물 추적 및 조회에 따른 위치 정보 및 도착 예정 정보 제공
- 화물 운송 정보 제공으로 실시간 화물 추적 가능

• 국가별 환경 지원
- 국가별 지점 관리
- 국가 / 지점별 사원 관리
- 국가별 환율 관리
- 국가별 / 사용자별 사용 언어 지원
- 국가별 세무제도 및 관세법 등 지원
- 국가별 EDI 신고 모듈 지원 *KMS, AMS, JFR, ACI 등
- 국가별 통관 신고 모듈 지원 *한국, 베트남, 인도네시아, 일본 등", GSABIS 솔루션 개발nexacro14 Java Spring Tibero OZReport 포워딩 창고 회계 업무 개발 및 운영nexacro14 Java Spring Tibero Jsp Jquery MSSQL,"• 원활한 커뮤니케이션이 가능하신 분
• 다양한 개발언어를 부담없이 즐길 수 있으신 분","• nexacro, Java, Spring, OZ-Report 사용가능 우대
• Oracle, Tibero, MS-SQL 사용가능 우대
• 정보처리기사 자격증 보유
• 해당직무 근무경험(경력직 지원자)",,"• 자유로운 연차 사용
• 자유복장
• 명절 선물
• 생일축하 선물
• 직원휴게실(다과, 네스프레소머신 비치)
• 법인 리조트 회원가 이용
• 장기근속자 포상
• 사내동호회 지원
• 사우회 운영
• 퇴근 후 저녁식사 제공(식당 8곳)","서울 구로구 디지털로29길 38, 301호",['개발'],['ERP'], 원활한 커뮤니케이션이 가능하신 분 다양한 개발언어를 부담없이 즐길 수 있으신 분 nexacro Java Spring OZReport 사용가능 우대 Oracle Tibero MSSQL 사용가능 우대 정보처리기사 자격증 보유 해당직무 근무경험경력직 지원자,66
(주)한국비즈넷,정규직,"['java', 'MSSQL', 'ERP', 'visual basic']","당사 대표 프로그램인 Win-SABIS는 물류 통합관리 시스템이며, 서버&클라이언트 기반으로 이루어져 있습니다.", 자사 물류ERP 시스템 운영 및 유지보수 VB6 MSSQL,"• Visual Basic 6.0 개발 의향이 있는 분
• 전산 관련 학과 전공자
• Java, Spring framework 교육훈련 이수","• Visual Studio 개발 경험 (VB6, VC, ...)
• DBMS(Oracle / Tibero / MSSQL) 운영경험자
• 회계 업무 경험자",,"• 직원휴게실 / 휴게실내 다과, 커피(믹스, 네스프레소머신) 비치
• 눈치보지않는 연차,반차 / 장기근속자 포상 / 자유복장
• 명절 선물 / 생일축하 선물 / 법인 리조트 회원가 이용
• 장기근속자 포상 / 사내동호회 지원 / 사우회 운영","서울 구로구 디지털로29길 38, 301호",['개발'],['ERP'], Visual Basic 60 개발 의향이 있는 분 전산 관련 학과 전공자 Java Spring framework 교육훈련 이수 Visual Studio 개발 경험 VB6 VC  DBMSOracle  Tibero  MSSQL 운영경험자 회계 업무 경험자,67
(주)웅진,정규직,"['SAP', 'ERP', 'SW']","디지털 혁신의 중심, 웅진에서 세상을 바꾸는 기회에 도전하세요!", SAP S4HANA 신규 구축 SAP FCMFI COTR SAP SCMPP SD MM WM LE 등 SAP EWM SAP S4HANA Conversion PI 및 업무 고도화 프로젝트 컨설팅,"• SAP ERP 구축 및 운영 경험 7년 이상
• SAP ERP 구축 및 롤아웃 경험
• SAP ERP 구축을 위한 컨설턴트 역할 (업무 분석/ 설계 및 구축)
• 고객과의 원활한 커뮤니케이션 및 주도적인 현업 리드","• SAP S/4HANA 프로젝트 경험
• 각 모듈 PI및 업무 고도화 프로젝트 경험
• SAP 관련 자격증 보유
• 지방 또는 해외 출장 가능자",,"• 복지카드 지급 - 직위 및 근속 기간에따라 포인트 지급
• 또또사랑 휴가 - 근속기간 7년 이상 근속자에게 안식 휴가 제공
• 고사양 노트북 및 모니터 지급
• 기술 자격증 취득 지원 및 자격증 수당 지급
• 시간단위 연차사용 가능 (최소 2시간 부터)
• 사내카페 / 사내 동호회 / 전자도서관 운영
• 건강검진(년 1회) / 헬스케어 프로그램 운영
• 경조사지원 / 휴양시설 지원
• 자녀입학축하금 / 명절선물 지원
• 정기휴가(유급) / 출산휴가, 육아휴직 / 출산축하선물 등
• 연말 우수사원 / 장기근속 포상제도",서울 중구 청계천로 24,['개발'],['ERP'], SAP ERP 구축 및 운영 경험 7년 이상 SAP ERP 구축 및 롤아웃 경험 SAP ERP 구축을 위한 컨설턴트 역할 업무 분석 설계 및 구축 고객과의 원활한 커뮤니케이션 및 주도적인 현업 리드 SAP S4HANA 프로젝트 경험 각 모듈 PI및 업무 고도화 프로젝트 경험 SAP 관련 자격증 보유 지방 또는 해외 출장 가능자,68
(주)웅진,정규직,"['SAP', 'ABAP']","디지털 혁신의 중심, 웅진에서 세상을 바꾸는 기회에 도전하세요!", SAP ECC60 S4HANA 대내외 고객사 운영 및 개발 SAP FCM FI CO TR 유지보수,"• SAP FCM 운영 or 프로젝트 수행 경험 3년 이상
• 회계, 자금, 원가, 손익 관련 전반적인 업무 이해 보유자","• SAP S/4HANA 경험
• SAP FCM 관련 자격증 보유
• 타모듈 및 ABAP 관련 지식 및 경력 보유
• 다수 고객사 운영업무 경험
• 고객사 파견 가능자",,"• 복지카드 지급 - 직위 및 근속 기간에따라 포인트 지급
• 또또사랑 휴가 - 근속기간 7년 이상 근속자에게 안식 휴가 제공
• 고사양 노트북 및 모니터 지급
• 기술 자격증 취득 지원 및 자격증 수당 지급
• 시간단위 연차사용 가능 (최소 2시간 부터)
• 사내카페 / 사내 동호회 / 전자도서관 운영
• 건강검진(년 1회) / 헬스케어 프로그램 운영
• 경조사지원 / 휴양시설 지원
• 자녀입학축하금 / 명절선물 지원
• 정기휴가(유급) / 출산휴가, 육아휴직 / 출산축하선물 등
• 연말 우수사원 / 장기근속 포상제도",서울 중구 청계천로 24,['개발'],['ERP'], SAP FCM 운영 or 프로젝트 수행 경험 3년 이상 회계 자금 원가 손익 관련 전반적인 업무 이해 보유자 SAP S4HANA 경험 SAP FCM 관련 자격증 보유 타모듈 및 ABAP 관련 지식 및 경력 보유 다수 고객사 운영업무 경험 고객사 파견 가능자,69
(주)웅진,정규직,"['구매', '영업', 'C#', 'SAP', 'ABAP', 'scm', '물류']","디지털 혁신의 중심, 웅진에서 세상을 바꾸는 기회에 도전하세요!", SAP ECC60 S4HANA 대내외 고객사 운영 및 개발 SAP SCM PP SD MM WM QM 유지보수,"• SAP SCM 운영 or 프로젝트 수행 경험 3년 이상
• 물류,영업,구매 관련 전반적인 업무 이해 보유자","• SAP S/4HANA 경험
• SAP SCM 관련 자격증 보유
• 타모듈 및 ABAP 관련 지식 및 경력 보유
• 다수 고객사 운영업무 경험
• 고객사 파견 가능자",,"• 복지카드 지급 - 직위 및 근속 기간에따라 포인트 지급
• 또또사랑 휴가 - 근속기간 7년 이상 근속자에게 안식 휴가 제공
• 고사양 노트북 및 모니터 지급
• 기술 자격증 취득 지원 및 자격증 수당 지급
• 시간단위 연차사용 가능 (최소 2시간 부터)
• 사내카페 / 사내 동호회 / 전자도서관 운영
• 건강검진(년 1회) / 헬스케어 프로그램 운영
• 경조사지원 / 휴양시설 지원
• 자녀입학축하금 / 명절선물 지원
• 정기휴가(유급) / 출산휴가, 육아휴직 / 출산축하선물 등
• 연말 우수사원 / 장기근속 포상제도",서울 중구 청계천로 24,['개발'],['ERP'], SAP SCM 운영 or 프로젝트 수행 경험 3년 이상 물류영업구매 관련 전반적인 업무 이해 보유자 SAP S4HANA 경험 SAP SCM 관련 자격증 보유 타모듈 및 ABAP 관련 지식 및 경력 보유 다수 고객사 운영업무 경험 고객사 파견 가능자,70
씨제이올리브네트웍스(주),정규직,"['SAP', 'ABAP', '시스템운영', '손익']","CJ AI Center는 CJ 그룹 산하에서 비즈니스에 AI기술을 융합하여 새로운 가치를 만들어내고 혁신적인 성과 창출을 위해 AI핵심 기술을 기반으로 CJ 계열사들의 사업의 성장에 기여하는 CJ 그룹 조직 입니다. 기술이 생활과 문화 발전과 창조에 기여하는 시대에, 데이터 분석 및 인공지능 기술을 기반으로 생활과 문화 발전/개선을 위한 AI연구와 미래 산업에 필요한 AI Core Technology 확보를 수행합니다.

이를 위한 ""AI Project PO(""Product Owner"")"" 포지션은 반드시 수반되어야 할 핵심 업무이며 이 직무를 담당하실 수 있는 역량 있는 분을 채용하고 있습니다.", 제일제당 SAP CO관리 운영개발 고객사 비지니스 대응 및 관리결산 수행검증 업무 프로세스 수립 및 운영 사용자 교육 및 고객 문의 대응,"[Experience]
- 만 3년 이상 CO-PC(제조) 또는 CO-PA(손익) 시스템 운영/개발 경력자

[Skill & Knowledge]
- 내/외부 원활한 커뮤니케이션 역량
- ABAP 개발/유지보수 역량

[Others]
- 해외 여행 결격사유가 없는 자
- 남성의 경우 군필자 혹은 면제자","[Skill & Experience]
- SAP PS 시스템 운영/개발 경험자
- QSA 솔루션 경험자
- SAP 시스템 구축 프로젝트 PM or PL 경험자

[Character & Personality]
- 문제를 해결하려는 적극적인 성격
- 매사 좋은 분위기를 이끌어내는 긍정적인 리더십","👉 채용 프로세스 : 서류전형 > 1차면접 > 2차면접 > 인성검사,처우협의,채용검진 > 최종합격
     - 세부일정은 합격자에 한해 개별 안내드립니다.
     - 각 단계별 결과에 따라, 일부 전형 과정이 추가 또는 생략될 수 있습니다.
     - 면접은 수시로 진행하니, 빠른 지원 부탁드립니다.","♥복리후생
임직원 카드 : CJ그룹내 주요(브랜드,제품,서비스) 계열사 40% 할인 ex)올리브영, CGV, VIPS, 제일제면소, 뚜레주르 등
국내콘도 및 해외여행 지원 : 국내 콘도 및 해외여행(호텔,패키지) 회사지원
의료비 지원(본인) : 급여 항목 중 본인부담금 10만원 초과시
난임 부부 시술비 지원 : 자녀가 없는 난임 부부 시술비 지원(난임 휴가)
심장병 진료비 지원 : 본인 및 자녀 선천성 심장병 수술시 지원
종합건강검진 : 직급별 기준 상이(배우자 포함은 격년)
주택대부 이자지원 : 대출2,000만원에 대한 이자 회사 지원(100,000원 당 카페테리아 1Point 공제)
생일,자녀입학 선물지원 : 본인 생일, 자녀 입학시 선물 지원
경조사 휴가 및 경조금 : 결혼,회갑,칠순,팔순,구순,사망,장제비 등
상조 지원 : 상조 물품, 상조 업체 서비스(인력) 지원 
웨딩카 지원 : 본인 결혼시 웨딩카 지원
CGV 영화관람권 지급 : CGV영화관람권 1년 6장 제공 + CJ배급 영화관람권 제공
사내카페 : 본사 사내 카페 무료 이용
상담포유 : 심리상담서비스 연8회지원(심리정서, 부부/가족관계 등)

♥근무제도
재택근무 : 전사 주 2회 재택근무 
유연근무 : 시차 출퇴근,탄력근무, PC OFF제도 실시

♥자기계발
자격증 취득 지원 : 최종 합격시 응시료 및 자격증 발급 비용
외국어 검정비용 지원 : 언어 무관 회화 평가 기준 년 2회

♥자녀지원
자녀 학자금 및 보육수당 : 자녀 중,고,대학교 학자금 지원, 자녀 만 5세, 6세 매월 1인당 10만원 지원(10,000원 당 카페테리아 1Point 공제)
장애인 자녀 양육비 지원 : 미성년자 중증 장애인 자녀 양육비 지원
임신 축하 : 임신 축하 선물 지급, 예비맘 택시쿠폰 지원

♥휴가제도
휴가제도 : Creative Week 근속 3,5,7년 2주 유급휴가 (+개인휴가 2주포함 총4주 가능)
가족/자녀입학돌봄휴가 : 자녀입학(2주),가족(10일)
출산휴가 : 임직원 본인: 90일 / 배우자: 14일
난임휴가 : 여성:1회7일 / 남성: 3일(년)

♥장기근속
Creative Week : 근속 10년 이후부터 휴가와 포상금 지급

♥휴직제도
Global Knock : 글로벌 연수 무급 휴직 제도
가족돌봄휴직 : 최대 90일
임신휴직제도 : 만 8세 이하 자녀를 둔 임직원(임신중인 근로자) 최대 1년
육아휴직제도 : 임신중인 여성 근로자 최대 10개월

♥근로단축
임신 위험기 근로시간 단축 : 임신 12주 이내, 36주 이후 1일 2시간 단축
신생아 돌봄 근로시간 단축 : 출근 전,후 2시간 단축, 생후 3개월 자녀
입학자녀 돌봄 근로시간 단축 : 1일 1시간 단축, 초등학교에 입학한 자녀
긴급자녀 돌봄 근로시간 단축 : 1일 2시간 단축, 만 8세 이하 자녀
태아검진 시간제 : 임신중인 여성 근로자 4시간 단축근로","서울 용산구 한강대로 366, 10층",['개발'],['ERP'],Experience 만 3년 이상 COPC제조 또는 COPA손익 시스템 운영개발 경력자Skill  Knowledge 내외부 원활한 커뮤니케이션 역량 ABAP 개발유지보수 역량Others 해외 여행 결격사유가 없는 자 남성의 경우 군필자 혹은 면제자Skill  Experience SAP PS 시스템 운영개발 경험자 QSA 솔루션 경험자 SAP 시스템 구축 프로젝트 PM or PL 경험자Character  Personality 문제를 해결하려는 적극적인 성격 매사 좋은 분위기를 이끌어내는 긍정적인 리더십,73
