회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
(주)인텍에프에이,정규직,"['java', 'c', 'C++', 'python', '웹개발', '서버관리', '데이터베이스 설계']","
인텍에프에이는 전력전자기술, 통신기술, 제어기술, 공진제어기술, 신재생에너지 분야의 다양한 기술과 제품(ESS시스템, 클린룸시스템, PCS, 인버터류, 제동유닛, 회생유닛 등)을 확보하고 있으며 이러한 기술을 토대로 고객사의 새로운 가치를 창출하는 협력개발에도 적극 참여하여 많은 성과를 이루고 있는 전력전자 전문기업 입니다.
또한, LG전자, LS일렉트릭, 삼성전자, 현대엘리베이터, 메타워터(日) 등 국내외 유수 대기업에 산업용 전력변환장비 및 시스템의 안정된 공급과 수출을 통하여 신뢰성을 인정받고 있으며 급변하는 환경 속에서 고객의 가치를 극대화하기 위하여 끊임없는 연구개발을 진행하고 있습니다. 이러한 전기전자통신 iot 융합기술을 기반하여 보다 효율적이고 행복한 사회구현에 이바지하는 기업을 이루겠습니다.",사용기술Java C C Python 산업용 장비 데이터베이스 구축 및 서버관리데이터 운영,"• 학력: 대졸 이상
• 전공: 컴퓨터공학과, 소프트웨어과 등
• 경력자인 경우
- 프로젝트 진행이 가능한 개발언어(JAVA/C/C++/Python) 능력 보유자
- 프론트엔드 및 백엔드 등 웹개발 경험
- 네트워크 구축 및 시스템 구축","• 신재생에너지 및 장비제어 관련 경력자
• 공공기관 프로젝트 경험",,"• PS 성과급 지급
• 휴가: 주5일제, 연차, 정기휴가, 경조휴가, 리프레쉬 휴가
• 복리후생
- 4대보험 외 근로자재해보험 별도 가입
- 회사식당 운영(조,중,석식 무료제공)
- 기숙사 운영
- 복지포인트 지급
• 교육: 계층/직무 교육, 어학교육 기회 제공",경기 용인시 기흥구 탑실로 35번길 63,['개발'],"['DBA(Database Admin.)', '소프트웨어 개발', '웹개발']", 학력 대졸 이상 전공 컴퓨터공학과 소프트웨어과 등 경력자인 경우 프로젝트 진행이 가능한 개발언어JAVACCPython 능력 보유자 프론트엔드 및 백엔드 등 웹개발 경험 네트워크 구축 및 시스템 구축 신재생에너지 및 장비제어 관련 경력자 공공기관 프로젝트 경험,43
(주)레드버튼,정규직,"['QA', 'python', '유지보수', '프로젝트매니저', 'js', '프로젝트 기획', 'Android 개발', 'iOS 개발', 'RDB', '클라우드시스템']","레드버튼은 보드게임카페 전용 어플리케이션 개발과 영상 설명을 통해 기존 보드게임카페의 한계성을 해결하였고, 차별화된 인테리어, 보드게임 카페 수준을 넘어서는 메뉴 퀄리티를 통해
자타공인 업계 1위로 수많은 고객분들께 사랑 받아 왔습니다.

무궁무진한 가능성을 가지고 성장하고 있는 레드버튼에서 최고의 능력을 발휘해 줄 당신을 기다립니다.", 신규 개발 프로젝트 기획 및 설계 신규 개발 프로젝트 개발 진행 관리 빌드 점검시연 QA 론칭 BtoC 라이브 서비스 유지보수 관리 서버클라이언트 개발 및 운영 관리 형상 관리 통합빌드 배포 소스품질 관리 외부 개발업체 발굴 평가 개발진행관리,"• Cloud Server 개발 및 운영 경험
• (AWS-EC2, Auto Scale, Cloud front, S3 등)
• 프로젝트 PL,PM 등 수행 및 업무 시스템 구축 경험
• 테크니컬 분석/설계 역량
• Android/IOS 개발 경험
• 네이티브, 플러터, 리액트 네이티브 등 모바일 크로스 플랫폼 관련 경험 서브 능력
• Python, JS, RDB 개발 경험
• Flask, Django, Vue.js, MariaDB(MySQL) 사용, 혹은 관련 겅험",• 관련 경력자,"
• 포트폴리오 제출 필수
• 경력기술서 제출 필수
• 해외여행에 결격사유가 없는 분","• 연 1회 인센티브
• 복지포인트 지급
• 1시간 단위 연차 사용
• 시차출퇴근제 운영
• 운동지원금
• 보드게임카페 지원금
• 생일 반차 및 선물 지급","경기 안양시 동안구 동편로13번길 65, 303호 302호, 303호(관양동, 넥스트아이빌딩)",['개발'],"['iOS 개발', '안드로이드 개발', '웹개발']", Cloud Server 개발 및 운영 경험 AWSEC2 Auto Scale Cloud front S3 등 프로젝트 PLPM 등 수행 및 업무 시스템 구축 경험 테크니컬 분석설계 역량 AndroidIOS 개발 경험 네이티브 플러터 리액트 네이티브 등 모바일 크로스 플랫폼 관련 경험 서브 능력 Python JS RDB 개발 경험 Flask Django Vuejs MariaDBMySQL 사용 혹은 관련 겅험 관련 경력자,93
(주)더리얼마케팅,정규직,"['java', '인공지능', '웹개발', '안드로이드 개발', '머신러닝', '솔루션개발', 'iOS 개발']","빅데이터 마케팅 및 핀테크 기업의 선두주자 더리얼마케팅! 당사는 국내 최초로 모바일 영수증 사업 및 핀테크 결제 중계사업을 시작하였습니다. 번거롭던 종이 영수증을 대체하는 모바일 영수증을 기반으로 소비패턴 분석이 가능해지면서 가계부 서비스, 헬스케어 서비스뿐만 아니라 금융 맞춤상품 개발까지 가능하며 다각도로 사업확장이 하고 있습니다. 당사는 소비자의 구매 편리성을 높여주며 빅데이터 마케팅 및 핀테크 기업의 선두주자인 회사입니다.", 전자영수증 솔루션 고도화 빅데이터AI 연구 개발사용 기술Java Spring   jQuery  JavaScript  Flutter    React Native  BigData  AI인공지능  Apache Tomcat,"• JAVA, 안드로이드, IOS 앱개발, 웹개발, 프로토콜 설계 등 분야별 능통자","• 핀테크, 빅데이터/AI 분야 업계 종사 경력, 앱 및 웹 개발 경력","[채용절차]
• 서류전형 → 1차 인터뷰 → 2차 인터뷰 → 처우 협의 → 최종합격
※절차는 변경될 수 있습니다.

[지원 시 주의사항]
• 3개월의 수습 기간이 있습니다.(수습 기간 동일 급여와 복리후생 보장)

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다.","
• 150만원이상의 건강검진 및 의료비지원
• Refresh휴가
• 장기근속 포상
• 각종 경조사휴가 및 경조사비 지원
• 헬스비지원
• 명절선물 및 생일선물 지급
• 간식제공 등",서울 강남구 도산대로 506,['개발'],"['iOS 개발', '안드로이드 개발', '웹개발']", JAVA 안드로이드 IOS 앱개발 웹개발 프로토콜 설계 등 분야별 능통자 핀테크 빅데이터AI 분야 업계 종사 경력 앱 및 웹 개발 경력,97
아이엔지스토리(주),정규직,"['C#', '앱개발', 'github', 'Flutter']","아이엔지스토리는 스터디카페/독서실 관리 솔루션 `픽코파트너스`로 시작하여 2021년 프레임워크 구조로 전환하면서 모듈형 SaaS로 성장하였고, 이제는 국내에서 손꼽히는 무인 공간 테크기업이자, 스터디카페/독서실/공유오피스/공유창고/헬스장 등 국내 최대 공간 공유 경제 서비스이며, 전국 2,000여개 매장에 SaaS + Kiosk를 도입하여 연간거래액 1,400억원에 달하는 국내 최대 규모의 온오프라인  광고플랫폼으로 성장해 나가고 있습니다.

우리 회사의 경쟁력은 온라인 소프트웨어가 오프라인에 녹아들어서 융합하는데 있습니다. 오프라인 공간에서 고객과 직접 부딪히는 경험을 통해 누구보다 고객의 니즈를 빠르게 파악하여 소프트웨어에 적용할 수 있다는 점이 한정된 고객 경험을 토대로 소프트웨어를 개발해야 하는 회사는 따라올 수 없는 우리만의 경쟁력이 되는 것입니다.

INGSTORY의 여정에 함께하실 앱 개발자님을 찾습니다:)", Flutter 기반 네이티브 앱 개발 윈도우 어플리케이션 개발 Google Play Store Apple 앱 스토어 등록심사 관리,"• C#, CPP, Flutter 언어 중 최소 2개 개발 경력 5년 이상

• Native 어플리케이션 개발 경험

• Json 기반 Socket 데이터 통신 이해 가능한 분

• GitHub, GitLab, BitBucket등 분산 버전 관리 환경에서 개발 익숙하신 분","• 키오스크 분야 개발 경험 보유자

• Serial, TCP/IP 통신 기반 장치제어 어플리케이션 경험자

• 스타트업 경험자 및 진취적 열정을 가진 사람

• 데이터 통신 프로토콜에 대한 이해도가 높은 사람",,"1. 라이프스타일

• 메이저 종합건강검진기관 연 1회 건강검진 지원

• 생일자 오전근무 후 퇴근제도

• 격월로 오전근무 후 오후에 회사 지원금으로 문화생활 지원

• 자녀 출산시 생후 12개월까지 월 최대 20만원 기저귀 비용 지원

• 자녀 대학 입학시 입학축하금 지원

• 직무관련 자기계발비 지원

2. 명절/기념일

• 추석/설날 명절 상여금 및 선물 지급

• 각종 경조사 지원

• 장기근속자 포상 (3년/6년/9년)

• 연말 인당 30만원 백화점 상품권을 제공하여 즐기는 쇼핑데이

3. 사내 시설 및 지원

• 회의실, 소파 라운지, 카페테리아

• 공기청정기, 코웨이 방향제

• 각종 음료가 구비된 양심냉장고

• 출출한 배를 채울 수 있는 라면스테이션

• 커피원두 무제한

4. 경비지원

• 점심 식대 사용가능한 연 200만원의 복지카드 제공

• 야근식대, 미팅식대, 미팅음료비 제공

• 차량사용시 유류대 제공 (개인차량 사용시 감가상각 고려)

• 지방출장시 숙박비 제공","서울시 강남구 테헤란로111, 5층 (역삼동, 대건빌딩)",['개발'],"['iOS 개발', '안드로이드 개발', '웹개발']", C CPP Flutter 언어 중 최소 2개 개발 경력 5년 이상 Native 어플리케이션 개발 경험 Json 기반 Socket 데이터 통신 이해 가능한 분 GitHub GitLab BitBucket등 분산 버전 관리 환경에서 개발 익숙하신 분 키오스크 분야 개발 경험 보유자 Serial TCPIP 통신 기반 장치제어 어플리케이션 경험자 스타트업 경험자 및 진취적 열정을 가진 사람 데이터 통신 프로토콜에 대한 이해도가 높은 사람,129
(주)스마일서브,정규직,"['프로젝트관리', '유지보수', '웹개발', '정보보안', 'react', 'git', '기술지원', 'SVN', 'restful api', 'DB설계']","'클라우드 전문 기업' 스마일서브
스마일서브는 인터넷데이터센터(IDC)를 보유한 클라우드(IaaS) 전문 기업입니다.
Cloud, Hosting, Security&Network 분야의 전문가들이 모여 한국형 클라우드를 개발하고 Management 하는
스마일서브에서 함께할 인재를 모집합니다.", 자사 호스팅클라우드 웹 서비스 개발 및 유지보수PHP 웹 서비스고도화PHP 프로젝트 관리,"- 경력 3년 ~7년
- Modern PHP / PSR 개발
- Laravel framework 개발
- React 자바스크립트 개발
- RESTful API 설계 및 개발
- SVN / Git 운영
- DB 설계 및 관리
- SW 개발 보안(시큐어 코딩) 경험
- 조직관리 경험자","- 관련 학과 전공 또는 교육 이수자
- 호스팅 . 클라우드 / 컨테이너 시스템 이해 및 경험자
- CI / CD 운영 또는 구축 경험자
- ISMS / CSAP 등 인증관련 경험자
- OS(Linux) / Network 시스템 이해 및 경험자

초대졸 이상 또는 졸업예정자
해외여행에 결격사유가 없는 자","서류전형-면접-인적성검사-최종합격

•이력서 및 자기소개서 (자유양식 또는 채용사이트 양식, 사진 첨부 필수, 지원 부문 반드시 기재)
•경력직 지원자는 현재 연봉, 희망연봉 기재하여 접수

- 면접 후 면접 수당을 지급합니다.
- 지원서 및 제출서류가 허위인 경우 합격 취소됩니다.
- 제출된 서류는 반환하지 않으며 합격자를 제외하고 즉시 보안 처리합니다.","제주도 여행 숙박/차량 지원
국내 및 해외여행 지원
생일 상품권 지급
명절 선물세트 지급

정시출근 정시퇴근
자유로운 연차사용
출산/육아휴직
도서구매 지원
자격증 수당 지급
멘토링 및 직무교육
동호회 활동 지원
부식 제공
경조금, 휴가, 화환
자율 복장
능력개발비 지급
높은 접근성","경기 성남시 분당구 대왕판교로644번길 86, 3층",['개발'],"['기술지원', '네트워크/보안/운영', '웹개발']", 경력 3년 7년 Modern PHP  PSR 개발 Laravel framework 개발 React 자바스크립트 개발 RESTful API 설계 및 개발 SVN  Git 운영 DB 설계 및 관리 SW 개발 보안시큐어 코딩 경험 조직관리 경험자 관련 학과 전공 또는 교육 이수자 호스팅  클라우드  컨테이너 시스템 이해 및 경험자 CI  CD 운영 또는 구축 경험자 ISMS  CSAP 등 인증관련 경험자 OSLinux  Network 시스템 이해 및 경험자초대졸 이상 또는 졸업예정자해외여행에 결격사유가 없는 자,1426
(주)레인보우로보틱스,정규직,"['웹개발', '교육운영', '기술지원', '프로그램 개발', '로봇제어', '정부과제수행', 'slam', '제품 테스트']","레인보우로보틱스는 한국과학기술원 교원창업기업으로 설립되어 대한민국 최초이자 전세계에서 두번째 이족보행로봇인 HUBO(휴보) 연구개발에 참여해 로봇 기술력을 인정받은 기업입니다.

미국방위고등연구계획국(DARPA)에서 주관하는 재난로봇대회인 DARPA Robotics Challenge에 Team-KAIST 로 한국과학기술원(KAIST)와 팀을 이뤄 출전하여 최종 우승하는 성과를 거둔바 있으며, 당사가 보유한 로봇의 요소기술을 이용하여 이족보행로봇, 협동로봇, 족형로봇을 비롯하여 천문마운트 시스템 등 로봇개발에 있어서 우리나라를 대표하는 로봇전문 기업입니다.

우리가 가진 로봇기술로 인간과 로봇이 공존하며 삶을 이롭게 하려는 가치와 신념으로 매년 성장해 나가고 있으며, 로봇산업에서의 No.1 Player를 목표로 함께 성장할 인재를 찾고 있으니 많은 지원 부탁드립니다.", SLAMNAVIGATIONFMS 프로그램 개발 및 고도화 로봇 태스크 프로그램 개발 및 고도화 로봇 운영 및 테스트서빙로봇 AMR 등  로봇 사용 교육 및 업체 기술 지원 정부과제 수행 오더피킹 로봇,"• SW, 로봇공학, 로봇제어 관련 학과 석사 이상","• SLAM/Navigation/FMS 프로그램 직접 개발 이력 보유
• Web SW 개발 경험 보유",,"• 성과급 제도
• 복리후생 
   - 중식제공,
   - 복지카드 지급(1년근속 시)
   - 사내동호회 지원
   - 경조사 지원(경조물품 및 경조사비, 경조휴가)
   - 법인가입 리조트 이용 시 숙박비 지원 등",대전 유성구 엑스포로339번길 10-19,['개발'],"['기술지원', '소프트웨어 개발', '웹개발']", SW 로봇공학 로봇제어 관련 학과 석사 이상 SLAMNavigationFMS 프로그램 직접 개발 이력 보유 Web SW 개발 경험 보유,1430
(주)레드캡투어,정규직,"['개발', 'PI']","Since 1977, 투어 46년, 렌터카 26년_Always Ready, redcap!
레드캡투어는 1977년 설립된 코스닥 상장사로 여행 사업과 렌터카 사업을 영위하고 있습니다.
더 높은 성장을 위해 레드캡의 조직문화를 느끼며 함께 성장해 나갈 인재를 모집합니다.",시스템 구축을 기반한 업무 프로세스 개선 및 시스템 기획설계운영현장 업무 환경 및 프로세스 분석을 통한 개선안 도출 효율화표준화최적화고객 서비스 프로세스 여행렌터카 기획 및 고도화내부 임직원 또는 외부 고객의 시스템 요구 사항에 대한 업무 프로세스 작성,"ㆍ경력 : 3년 이상
ㆍ시스템 PI관련 업무 또는 개발 경력","ㆍ대내외 고객 및 개발 직군과의 원활한 의사소통 능력 보유자
ㆍ사내외 컨설팅 유경험자
ㆍ프론트/백엔드 웹 서비스 개발 및 운영 유경험자","서류 > 1차면접 > 처우산정 > 최종합격
*상황에 따라 2차면접 진행","[HEALTH]
• 단체 상해 보험 지원 

[FAMILY LIFE]
• 생활안정자금 지원(근속 1년 이상자, 500만원 한도 내 대출)
• 자녀 학자금 지원(대학교 학자금 지원)
• 상조 지원
• 경조휴가 및 경조금 지원 

[COMPANY LIFE]
• 자유로운 연차 휴가 사용
• 반반차 휴가제도 운영
• 장기근속 포상
• 명절(추석,구정)/창립기념일/근로자의날 복지포인트 지급(연 60만원씩)

[CULTURE]
• 휴양시설 운영(콘도)","서울 중구 을지로 100, B동 19층",['개발'],"['기술지원', '웹개발']",경력  3년 이상시스템 PI관련 업무 또는 개발 경력대내외 고객 및 개발 직군과의 원활한 의사소통 능력 보유자사내외 컨설팅 유경험자프론트백엔드 웹 서비스 개발 및 운영 유경험자,1444
(주)패스트뷰,정규직,"['kotlin', 'python', 'aws', 'Php', 'react', 'spring boot', 'node', 'github']","오늘 당신이 소비한, 바로 그 콘텐츠를 유통하고 제작한 회사. 

‘콘텐츠 종합 기업’ 패스트뷰의 현주소이자 비전입니다. 이를 위해 당사는 콘텐츠 유통창구 개설, 직접 유통, 제작 등을 총망라하는 콘텐츠 사업을 진행하고 있습니다. 현재 버즈빌/캐시슬라이드/카카오/네이버/매일경제/ 줌인터넷 등 국내 유수의 프리미엄 퍼블리셔 네트워크를 확보했으며 매년 평균 270%에 이르는 매출 성장 또한 거듭하고 있습니다. 

“크리에이터와 유통사, 파트너사, 소비자가 상생할 수 있는 건강한 콘텐츠 생태계 조성하기”
패스트뷰는 이 목표에 도달하고자 모두에게 이익이 되는 다양한 ‘콘텐츠 비즈니스 모델’을 출시하고 있습니다. 

＜패스트뷰에서는 이렇게 일하고 있습니다!＞
• ‘Give It All & Reward Now’ 정책

패스트뷰는 내가 한 일에 대한 보상을 즉각 확인할 수 있는 게 가장 현실적인 ‘복지’라고 생각합니다. 그래서 먼 훗날을 기약하는 비전식 리워드가 아니고 월별, 분기별로 파격적인 인센티브 정책을 운영하고 있습니다. ex) 해외여행, 애플워치, 아이패드 등 즉각적인 보상 

• 교육 무상 지원 제도 
업계 최고 수준의 복지와 혜택을 제공하고자, 팀원들의 성장을 위한 다양한 교육(직무, 어학 등)을 무상으로 적극 지원하고 있습니다.

• 능력 위주 채용 및 평가
패스트뷰에서는 눈치보지 않고 자신의 역량을 발휘할 수 있도록 나이·경험보다는 능력 위주로 평가 및 채용을 진행합니다. 주변 사람들을 이끌며 함께 성장한 직원에게는 파격적인 기회 또한 주어집니다. 덕분에 20대 초중반의 나이에 벌써 리더급 자리까지 오른 팀원들도 있습니다.

패스트뷰와 함께 ‘Next Leap’를 뛰어넘을 동료를 찾습니다!
저희와 함께 도전하세요!

[ 언론속의 패스트뷰 ]
• 연평균 270% 성장 : https://vo.la/j1c1dr
• 기술신용평가 ‘우수’ 획득 : https://vo.la/5TDMPx
• 시리즈A 투자유치 : https://vo.la/mCvfus
• '아기유니콘’ 선정 : https://vo.la/Ogk5wx

[ 패스트뷰 인터뷰 ]
• CEO 하영님 인터뷰 : https://vo.la/J9uvND",미디어커넥트팀은 콘텐츠의 유통 라인 전반에 기여하는 조직으로써 인프라 엔지니어의 업무는 크게 아래의 track으로 나뉩니다  자사 사이트 워드프레스bitnami beanstalk ec2코프링 AWS 기반의 서비스 인프라 운영 및 고도화 인프라 아키텍처 관련 문제 해결속도 개선 자원 사용 최적화비용 감소 인프라 및 애플리케이션 모니터링 및 알림 개선저희는 다음과 같은 언어 및 기술 베이스로 일하고 있습니다 CICD AWS Github 언어 및 ,"• AWS 기반 인프라 설계 및 운영 경험을 보유하신 분 (최소 3년 이상)
• bitnami 워드프레스 (또는 php기반 웹 서비스) 운영 경험 보유자
• 스크립트 코딩 역량 보유 (Shell script, Python 등)","• AWS 환경에서 다양한 서비스를 처음부터 끝까지 구축하고 운영한 경험이 있으신 분
• CloudWatch, Datadog 등 Observability 플랫폼 구축 및 운영 경험이 있으신 분
• Cloud Formation Terraform 등 IaC 경험이 있으신 분
• 기존 사용 기술의 문제점과 대체 도구 발견 또는 개발에 능숙하신 분",,"""패스트뷰는 매년 트렌디한 인사제도와 혜택을 업데이트하고 있습니다.""

1. 우리는 파격적으로 보상해요.
• 공정하고 투명한 평가로 매월 KPI 달성에 따른 팀원들에게 상당한 인센티브를 지급해요.
• 매월 팀별 우수평가사원 MVP를 선정해 상여금을 지급해요.
• 개인의 빠른 역량 성장을 반영하여 6개월마다 연봉 인상을 검토하고, 
   업계 최고의 연봉으로 보상해요.
• 성과에 기여한 개인의 헌신과 노력을 보상하기 위해 특별 스톡옵션을 제공해요.
• 리더급들은 평가를 통해 급여 외에 특별 인센티브 수당을 지급해요. 
• 믿고 같이가는 지인 추천 인센티브로 500만원까지 지원해요.

2. 우리는 균형있게 일해요.
• 팀바이팀으로 유연/선택 근무제도를 시행하고 있어요.
• 균형있는 삶을 위해 연차 외에 리프레시 휴가를 해마다 제공해요.
 *1년 근무 : 유급휴가 1일
 *2년 근무 : 유급휴가 2일
 *3년 근무 : 유급휴가 3일 + 50만원
 *4년 근무 : 유급휴가 4일
 *5년 근무 : 유급휴가 5일 + 100만원
• 각종 경조사비와 경조휴가를 든든하게 제공해요.
• 이유불문 연차는 물론 반차, 반반차 등 자유롭게 사용이 가능해요.

3. 우리는 일할맛나게 즐겁게 일해요.
• 강남역 주변 다양한 맛집에서 할인을 받아요.
• 회사와 제휴되어 있는 각종 운동, 여행/레저/숙박, 자기개발/취미, 생활 서비스를 즐길 수 있어요.
• 내 생일만큼은 일찍(반반차) 나가서 오후부터 만끽할 수 있어요.
• 명절 연휴 전 날에는 무조건 점심 먹고 바로 집에 가요.(홈커밍 티켓 일찍 예매하세요!)
• 명절 선물로 연간 백화점 상품권 40만원을 지급해요.
• 출산 시에는 다양한 축하 선물이 준비돼있어요.
• 전사 공모전(네이밍 공모전, 로고 공모전, 퀴즈대회 등)을 개최해서 투표로 500만원 이상의 
   상금을 지급해요.
• 매월 소정의 상품을 타갈 수 있는 사내 미니 이벤트도 있고, 분기마다 쏟아지는 선물과 함께 
   메이저 이벤트도 준비돼있어요.

4. 우리는 최고의 대우를 해드려요.
• 에스프레소 머신, 고급 원두, 편의점급 무료 스넥룸을 무제한으로 제공해요.
  (당 충전을 위해 과일컵, 라면, 컵밥, 과자, 음료, 아이스크림 등)
• 묻지도 따지지도 않는 팀별 활동비 지급으로 팀원간 소통을 지향해요.
  (맛집탐방, 단체 마사지, 단체 관람 등)
• 업무 필요에 따라 법인 스마트폰 및 통신비를 지원해요.
• 자기계발 및 업무 관련 도서와 온라인 교육비를 지원해요.
• 직무 관련 컨퍼런스와 외부 강의, 세미나 등 참여를 지원해요.
• 청년중소기업 소득세 감면제도를 시행해요.
• 청년내일채움공제를 지원해드리고 있어요. 

5. 우리는 일할맛나는 환경을 갖췄어요.
• 강남역 4번 출구 도보 4초 거리의 패스트파이브 강남2호점에 두개층을 사용해요.
• 22년 최신 사양의 MacBook Pro 혹은 LG그램/삼성갤럭시북, 듀얼모니터(세로포함) 등 아낌없이 지원해요.
• 카페같은 라운지, 소파 휴식 공간, 프라이빗한 폰부스, 다양한 회의실 등 사용 가능해요.
• 직급을 간소화하고 “님”자 호칭 사용으로 수평적인 커뮤니케이션 문화를 운영해요.
• 자유로운 근무 복장으로 편하게 일해요.","서울 강남구 강남대로 364, 12층",['개발'],"['기술지원', '웹개발']", AWS 기반 인프라 설계 및 운영 경험을 보유하신 분 최소 3년 이상 bitnami 워드프레스 또는 php기반 웹 서비스 운영 경험 보유자 스크립트 코딩 역량 보유 Shell script Python 등 AWS 환경에서 다양한 서비스를 처음부터 끝까지 구축하고 운영한 경험이 있으신 분 CloudWatch Datadog 등 Observability 플랫폼 구축 및 운영 경험이 있으신 분 Cloud Formation Terraform 등 IaC 경험이 있으신 분 기존 사용 기술의 문제점과 대체 도구 발견 또는 개발에 능숙하신 분,1456
(주)스마일서브,정규직,"['프로젝트관리', '유지보수', '웹개발', '정보보안', 'react', 'git', '기술지원', 'SVN', 'restful api', 'DB설계']","'클라우드 전문 기업' 스마일서브
스마일서브는 인터넷데이터센터(IDC)를 보유한 클라우드(IaaS) 전문 기업입니다.
Cloud, Hosting, Security&Network 분야의 전문가들이 모여 한국형 클라우드를 개발하고 Management 하는
스마일서브에서 함께할 인재를 모집합니다.", 자사 호스팅클라우드 웹 서비스 개발 및 유지보수PHP 웹 서비스고도화PHP 프로젝트 관리,"- 경력 3년 ~7년
- Modern PHP / PSR 개발
- Laravel framework 개발
- React 자바스크립트 개발
- RESTful API 설계 및 개발
- SVN / Git 운영
- DB 설계 및 관리
- SW 개발 보안(시큐어 코딩) 경험
- 조직관리 경험자","- 관련 학과 전공 또는 교육 이수자
- 호스팅 . 클라우드 / 컨테이너 시스템 이해 및 경험자
- CI / CD 운영 또는 구축 경험자
- ISMS / CSAP 등 인증관련 경험자
- OS(Linux) / Network 시스템 이해 및 경험자

초대졸 이상 또는 졸업예정자
해외여행에 결격사유가 없는 자","서류전형-면접-인적성검사-최종합격

•이력서 및 자기소개서 (자유양식 또는 채용사이트 양식, 사진 첨부 필수, 지원 부문 반드시 기재)
•경력직 지원자는 현재 연봉, 희망연봉 기재하여 접수

- 면접 후 면접 수당을 지급합니다.
- 지원서 및 제출서류가 허위인 경우 합격 취소됩니다.
- 제출된 서류는 반환하지 않으며 합격자를 제외하고 즉시 보안 처리합니다.","제주도 여행 숙박/차량 지원
국내 및 해외여행 지원
생일 상품권 지급
명절 선물세트 지급

정시출근 정시퇴근
자유로운 연차사용
출산/육아휴직
도서구매 지원
자격증 수당 지급
멘토링 및 직무교육
동호회 활동 지원
부식 제공
경조금, 휴가, 화환
자율 복장
능력개발비 지급
높은 접근성","경기 성남시 분당구 대왕판교로644번길 86, 3층",['개발'],"['기술지원', '네트워크/보안/운영', '웹개발']", 경력 3년 7년 Modern PHP  PSR 개발 Laravel framework 개발 React 자바스크립트 개발 RESTful API 설계 및 개발 SVN  Git 운영 DB 설계 및 관리 SW 개발 보안시큐어 코딩 경험 조직관리 경험자 관련 학과 전공 또는 교육 이수자 호스팅  클라우드  컨테이너 시스템 이해 및 경험자 CI  CD 운영 또는 구축 경험자 ISMS  CSAP 등 인증관련 경험자 OSLinux  Network 시스템 이해 및 경험자초대졸 이상 또는 졸업예정자해외여행에 결격사유가 없는 자,1518
(주)인텍에프에이,정규직,"['java', 'c', 'C++', 'python', '웹개발', '네트워크 구축', '프론트엔드 개발', '백엔드 개발']","인텍에프에이는 전력전자기술, 통신기술, 제어기술, 공진제어기술, 신재생에너지 분야의 다양한 기술과 제품(ESS시스템, 클린룸시스템, PCS, 인버터류, 제동유닛, 회생유닛 등)을 확보하고 있으며 이러한 기술을 토대로 고객사의 새로운 가치를 창출하는 협력개발에도 적극 참여하여 많은 성과를 이루고 있는 전력전자 전문기업 입니다.
또한, LG전자, LS일렉트릭, 삼성전자, 현대엘리베이터, 메타워터(日) 등 국내외 유수 대기업에 산업용 전력변환장비 및 시스템의 안정된 공급과 수출을 통하여 신뢰성을 인정받고 있으며 급변하는 환경 속에서 고객의 가치를 극대화하기 위하여 끊임없는 연구개발을 진행하고 있습니다. 이러한 전기전자통신 iot 융합기술을 기반하여 보다 효율적이고 행복한 사회구현에 이바지하는 기업을 이루겠습니다.",사용 기술 Python SW C  C Network java 산업용 장비 SW 통신 네트워크 구축 및 시스템 구축,"• 학력: 대졸 이상
• 전공: 컴퓨터공학과, 소프트웨어과 등
• 경력자인 경우
- 프로젝트 진행이 가능한 개발언어(JAVA/C/C++/Python) 능력 보유자
- 프론트엔드 및 백엔드 등 웹개발 경험
- 네트워크 구축 및 시스템 구축","• 신재생에너지 및 장비제어 관련 경력자
• 공공기관 프로젝트 경험",,"
• PS 성과급 지급
• 휴가: 주5일제, 연차, 정기휴가, 경조휴가, 리프레쉬 휴가
• 복리후생
- 4대보험 외 근로자재해보험 별도 가입
- 회사식당 운영(조,중,석식 무료제공)
- 기숙사 운영
- 복지포인트 지급
• 교육: 계층/직무 교육, 어학교육 기회 제공",경기 용인시 기흥구 탑실로 35번길 63,['개발'],"['네트워크/보안/운영', '소프트웨어 개발', '웹개발']", 학력 대졸 이상 전공 컴퓨터공학과 소프트웨어과 등 경력자인 경우 프로젝트 진행이 가능한 개발언어JAVACCPython 능력 보유자 프론트엔드 및 백엔드 등 웹개발 경험 네트워크 구축 및 시스템 구축 신재생에너지 및 장비제어 관련 경력자 공공기관 프로젝트 경험,1530
