회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
(주)삼영에스앤씨,정규직,"['cad', 'Autocad', 'Firmware', '전기설계', '정부과제수행', '모듈']","(주)삼영에스앤씨에서 역량있는 인재를 모집합니다.
당사와 미래를 함께 할 유능한 인재들의 많은 관심과 지원을 기다립니다.
(주)삼영S&C는 녹색성장의 근간인 환경, 에너지, 건강과 관련된 센서와 그 응용제품을 생산하는 회사로서, 기초소자를 만드는 반도체 공정에서부터 모듈패키징, 트랜스미터 완제품에 이르는 일괄 공정을 수행 할 수 있는 핵심 인력과 기술, 설비를 한 지붕 아래 갖추고 있습니다.
1993년 국내 최초로 저항형 습도센서 개발을 시작으로 정전용량식 온습도센서, 먼지센서 등 IAQ(실내공기질)와 관련한 센서의 핵심 원천기술과 공정 및 양산기술을 오랜 기간 축적하여 이 분야에서 세계적인 전문 기업으로 도약하고 있습니다",연구소 원천기술 개발 실무초음파 센서 모듈 개발정부과제 프로젝트 운영 실무센서 모듈 설계 및 개발스킬AutoCAD CAD Firmware,"핵심역량
・성실성, 성취지향성, 꼼꼼함, 적응성, 창의성, 계획성, 스트레스관리, 윤리의식, 자존감, 협동심, 메타인지, 성장지향성


학력 : 대졸이상
경력 : 5 ~ 15년
・전기/전자 관련 학과","정부과제 수행 경험자 우대
프로젝트 운영, 기획 경험자 우대
H/W F/W 설계 경력 우대",,,경기 성남시 중원구 상대원1동 150,['연구개발'],"['기계', '전기', '전자/반도체']",핵심역량성실성 성취지향성 꼼꼼함 적응성 창의성 계획성 스트레스관리 윤리의식 자존감 협동심 메타인지 성장지향성학력  대졸이상경력  5  15년전기전자 관련 학과정부과제 수행 경험자 우대프로젝트 운영 기획 경험자 우대HW FW 설계 경력 우대,1269
(주)어스빌리지,정규직,"['전기', '전기설비', 'it개발']","어스빌리지는 1인가구에게 보다 나은 주거서비스와 생활을
제공하기 위해 ""주거""라는 기본 레이아웃 안에 공간컨텐츠와
온라인 컨테츠를 공유하는 주거 플랫폼 서비스를 제공하고 있습니다.",건축개발전기설비지점별 개발 검토지점별 유지보수 업무 지원지점별 리뉴얼 공사 외주 및 관리시설물 개선공사 관리협력업체 발주 및 관리도급 기성 원가관리 현장 품질관리시공개선 방안 기획 및 실행IT 개발기존 서비스 유지보수Spring boot ReactNextjs php신규 서비스 개발개발 일정 관리,"ㆍ건축개발(전기,설비) 관련 업무 경력자
ㆍ웹 운영 경력 7년 이상 또는 그에 준한 경험
ㆍ해당 업무 관련 전공자","ㆍAuto CAD, Excel 등 필수프로그램 사용이 능숙한 분
ㆍ제품 초기 기획부터 참여하여  웹 서비스 런칭 경험이 있는 분
ㆍ결제 모듈 관련해서 설계 및 도입 해보신 분(토스, 아임포트 등)
ㆍAWS를 다양하게 이용해 보신 분","1차 서류심사
2차 면접
3차 합격",,"서울 강남구 언주로 736, 4층","['엔지니어링', '연구개발', '개발']","['웹개발', '유지/수리/정비', '전기']",건축개발전기설비 관련 업무 경력자웹 운영 경력 7년 이상 또는 그에 준한 경험해당 업무 관련 전공자Auto CAD Excel 등 필수프로그램 사용이 능숙한 분제품 초기 기획부터 참여하여  웹 서비스 런칭 경험이 있는 분결제 모듈 관련해서 설계 및 도입 해보신 분토스 아임포트 등AWS를 다양하게 이용해 보신 분,4517
(주)어스빌리지,정규직,"['전기', '전기설비', 'it개발']","어스빌리지는 1인가구에게 보다 나은 주거서비스와 생활을
제공하기 위해 ""주거""라는 기본 레이아웃 안에 공간컨텐츠와
온라인 컨테츠를 공유하는 주거 플랫폼 서비스를 제공하고 있습니다.",건축개발전기설비지점별 개발 검토지점별 유지보수 업무 지원지점별 리뉴얼 공사 외주 및 관리시설물 개선공사 관리협력업체 발주 및 관리도급 기성 원가관리 현장 품질관리시공개선 방안 기획 및 실행IT 개발기존 서비스 유지보수Spring boot ReactNextjs php신규 서비스 개발개발 일정 관리,"ㆍ건축개발(전기,설비) 관련 업무 경력자
ㆍ웹 운영 경력 7년 이상 또는 그에 준한 경험
ㆍ해당 업무 관련 전공자","ㆍAuto CAD, Excel 등 필수프로그램 사용이 능숙한 분
ㆍ제품 초기 기획부터 참여하여  웹 서비스 런칭 경험이 있는 분
ㆍ결제 모듈 관련해서 설계 및 도입 해보신 분(토스, 아임포트 등)
ㆍAWS를 다양하게 이용해 보신 분","1차 서류심사
2차 면접
3차 합격",,"서울 강남구 언주로 736, 4층","['엔지니어링', '연구개발', '개발']","['웹개발', '유지/수리/정비', '전기']",건축개발전기설비 관련 업무 경력자웹 운영 경력 7년 이상 또는 그에 준한 경험해당 업무 관련 전공자Auto CAD Excel 등 필수프로그램 사용이 능숙한 분제품 초기 기획부터 참여하여  웹 서비스 런칭 경험이 있는 분결제 모듈 관련해서 설계 및 도입 해보신 분토스 아임포트 등AWS를 다양하게 이용해 보신 분,4628
(주)삼영에스앤씨,정규직,"['cad', 'Autocad', 'Firmware', '전기설계', '정부과제수행', '모듈']","(주)삼영에스앤씨에서 역량있는 인재를 모집합니다.
당사와 미래를 함께 할 유능한 인재들의 많은 관심과 지원을 기다립니다.
(주)삼영S&C는 녹색성장의 근간인 환경, 에너지, 건강과 관련된 센서와 그 응용제품을 생산하는 회사로서, 기초소자를 만드는 반도체 공정에서부터 모듈패키징, 트랜스미터 완제품에 이르는 일괄 공정을 수행 할 수 있는 핵심 인력과 기술, 설비를 한 지붕 아래 갖추고 있습니다.
1993년 국내 최초로 저항형 습도센서 개발을 시작으로 정전용량식 온습도센서, 먼지센서 등 IAQ(실내공기질)와 관련한 센서의 핵심 원천기술과 공정 및 양산기술을 오랜 기간 축적하여 이 분야에서 세계적인 전문 기업으로 도약하고 있습니다",연구소 원천기술 개발 실무초음파 센서 모듈 개발정부과제 프로젝트 운영 실무센서 모듈 설계 및 개발스킬AutoCAD CAD Firmware,"핵심역량
・성실성, 성취지향성, 꼼꼼함, 적응성, 창의성, 계획성, 스트레스관리, 윤리의식, 자존감, 협동심, 메타인지, 성장지향성


학력 : 대졸이상
경력 : 5 ~ 15년
・전기/전자 관련 학과","정부과제 수행 경험자 우대
프로젝트 운영, 기획 경험자 우대
H/W F/W 설계 경력 우대",,,경기 성남시 중원구 상대원1동 150,['연구개발'],"['기계', '전기', '전자/반도체']",핵심역량성실성 성취지향성 꼼꼼함 적응성 창의성 계획성 스트레스관리 윤리의식 자존감 협동심 메타인지 성장지향성학력  대졸이상경력  5  15년전기전자 관련 학과정부과제 수행 경험자 우대프로젝트 운영 기획 경험자 우대HW FW 설계 경력 우대,4786
(주)밀텍아이엔씨,정규직,['전자'],"밀텍아이엔씨는 방위산업, 철도, 발전소, 통신, 의료, 산업 등의 분야에
전원, 모션, 임베디드 시스템 솔루션을 제공하는 회사로 최상의 종합 솔루션을 제공하고 있습니다.",기술 지원 ,학력 무관,"A.	전기,전자 공학계열 전공자
B.	FAE 경험자
C.	영어 가능자
D.	운전 가능자

",1차 면접 -> 합격 통보,,"경기 용인시 기흥구 흥덕중앙로 120, 1013호",['연구개발'],"['전기', '전자/반도체']",학력 무관A전기전자 공학계열 전공자BFAE 경험자C영어 가능자D운전 가능자,4787
(주)에어스메디컬,정규직,"['연구개발', 'MRI']","에어스메디컬은 헬스케어 시장의 패러다임을 바꾸는 의료AI 솔루션을 개발, 공급하는 스타트업입니다. 접근성과 생산성이 낮은 의료서비스들을 중심으로 누구나 필요로 하고 원할 때 의료서비스를 누릴 수 있도록 정체된 시장에 인공지능을 활용한 기술혁신으로 새 활력을 불어넣고 있습니다.
에어스메디컬에는 각 분야 최고 수준의 역량과 열정을 겸비한 인재들이 모여 상호 신뢰를 바탕으로 자유롭게 하지만 책임감 있게 일하고 있습니다. 사회에 파급력 있는 난제를 최고의 동료들과 함께 풀어가는 그 자체가 설레고 성장동력이 되는 동료들을 기다립니다.
보다 상세한 사항은 회사 홈페이지 및 노션 페이지 참고 바랍니다.
• 홈페이지: www.airsmed.com
• 노션 페이지: https://airsmedical.notion.site/AIRS-Medical-b785f77eafc746f89c10309b906e3048",담당하게 될 업무입니다 연구팀 최전선에서 실제 유저에게 배포될 SwiftMR 딥러닝 알고리즘 python 코드 업데이트 딥러닝 알고리즘 성능 향상을 위한 아이디어 제시와 제품 반영의 전 과정에 참여 세계 각지 고객의 제품 알고리즘 데모 요청 대응,"🔍업무 수행에 필요한 자질입니다

• 업무 완성도에 대한 집착적으로 높은 기준
• 수학적 사고력 (복잡한 수학적 코드를 보고 이해할 수 있는 능력)
• 주어진 업무에 대해 빠르게 맥락을 파악하고 커뮤니케이션 하는 능력
• 혼자 일하지 않고 다른 사람과 함께 일하며 더 시너지를 낼 수 있는 능력","📸이런 분이면 더욱 좋습니다

• python 코드 관리 경험이 있으신 분 (필수 아님)
• 코딩 혹은 딥러닝 경험이 적더라도 '빠르게 배워서 금방 잘 할 수 있다'는 긍정적인 마인드를 가지고 계신 분
• 딥러닝 코드 관리 및 세계 각지의 고객 요청을 가장 가까이서 접하고 큰 그림 배우고 싶으신 분
• 컴퓨터공학 및 전기전자공학 전공자 우대","🚀에어스메디컬 채용 절차

• 서류 접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 평판 조회 > 최종합격 및 온보딩

• 서류 접수
   • 자유양식의 이력서(국문, 영문 무관, 2장 이내)
• 직무 인터뷰
• 문화적합성 인터뷰
• 평판 조회(Specter)
• 최종합격 및 온보딩","🍒혜택 및 복지

• 자유로운 유연근무제
• 개발 인원: 재량근로시간제 또는 선택적근로시간제
• 비개발 인원: 6am-10pm 사이 자유롭게 출퇴근하는 선택적근로시간제 (월단위 정산)
• 원할때 승인없이 쓸 수 있는 휴가 (단, 근속 1년 미만자의 경우, 1개월 만근 시 월차 1개 생성됨. 근속 1년 후부터 20개 연차 생성됨)
• 원하는 간식과 커피 제공","서울 강남구 테헤란로 223, 13층, 14층",['연구개발'],['전기'],업무 수행에 필요한 자질입니다 업무 완성도에 대한 집착적으로 높은 기준 수학적 사고력 복잡한 수학적 코드를 보고 이해할 수 있는 능력 주어진 업무에 대해 빠르게 맥락을 파악하고 커뮤니케이션 하는 능력 혼자 일하지 않고 다른 사람과 함께 일하며 더 시너지를 낼 수 있는 능력이런 분이면 더욱 좋습니다 python 코드 관리 경험이 있으신 분 필수 아님 코딩 혹은 딥러닝 경험이 적더라도 빠르게 배워서 금방 잘 할 수 있다는 긍정적인 마인드를 가지고 계신 분 딥러닝 코드 관리 및 세계 각지의 고객 요청을 가장 가까이서 접하고 큰 그림 배우고 싶으신 분 컴퓨터공학 및 전기전자공학 전공자 우대,4788
(주)에어스메디컬,정규직,"['연구개발', 'MRI']","에어스메디컬은 헬스케어 시장의 패러다임을 바꾸는 의료AI 솔루션을 개발, 공급하는 스타트업입니다. 접근성과 생산성이 낮은 의료서비스들을 중심으로 누구나 필요로 하고 원할 때 의료서비스를 누릴 수 있도록 정체된 시장에 인공지능을 활용한 기술혁신으로 새 활력을 불어넣고 있습니다.
에어스메디컬에는 각 분야 최고 수준의 역량과 열정을 겸비한 인재들이 모여 상호 신뢰를 바탕으로 자유롭게 하지만 책임감 있게 일하고 있습니다. 사회에 파급력 있는 난제를 최고의 동료들과 함께 풀어가는 그 자체가 설레고 성장동력이 되는 동료들을 기다립니다.
보다 상세한 사항은 회사 홈페이지 및 노션 페이지 참고 바랍니다.
• 홈페이지: www.airsmed.com
• 노션 페이지: https://airsmedical.notion.site/AIRS-Medical-b785f77eafc746f89c10309b906e3048",담당하게 될 업무입니다 의료 영상 도메인 지식을 기반으로 영상 품질을 최적화하는 연구 상급 병원 등 주요 고객의 제품 가치 극대화를 위한 기술 지원 글로벌 파트너십 및 국내외 에어스 구성원 대상 제품 원리 및 응용 교육,"🔍업무 수행에 필요한 자질입니다

• 끊임 없이 탐구하여 이해하고자 하는 집요함
• 이론에 대한 이해를 바탕으로 응용하는 능력
• 이해한 것을 바탕으로 논리적인 커뮤니케이션을 수행하는 능력","📸이런 분이면 더욱 좋습니다

• 의공학 혹은 이공계열 최고 인재들의 문제해결방식을 배우는데 흥미가 있으신 분
• 글로벌 파트너십과 영어로 소통하며 비즈니스 커뮤니케이션 감각을 익히고 싶은 분
• 학습한 것을 바로 바로 적용하여 결과를 만들어 내는 것에 성취감을 느끼시는 분","🚀에어스메디컬 채용 절차

• 서류 접수 > 커피챗 > 직무 인터뷰 > 문화적합성 인터뷰 > 평판 조회 > 최종합격 및 온보딩

• 서류 접수
   • 자유양식의 이력서(국문, 영문 무관, 2장 이내)
• 커피챗
   • 직무설명 및 Q&A
• 직무 인터뷰
• 문화적합성 인터뷰
• 평판 조회(Specter)
• 최종합격 및 온보딩","🍒혜택 및 복지

• 자유로운 유연근무제
• 개발 인원: 재량근로시간제 또는 선택적근로시간제
• 비개발 인원: 6am-10pm 사이 자유롭게 출퇴근하는 선택적근로시간제 (월단위 정산)
• 원할때 승인없이 쓸 수 있는 휴가 (단, 근속 1년 미만자의 경우, 1개월 만근 시 월차 1개 생성됨. 근속 1년 후부터 20개 연차 생성됨)
• 원하는 간식과 커피 제공","서울 강남구 테헤란로 223, 13층, 14층",['연구개발'],['전기'],업무 수행에 필요한 자질입니다 끊임 없이 탐구하여 이해하고자 하는 집요함 이론에 대한 이해를 바탕으로 응용하는 능력 이해한 것을 바탕으로 논리적인 커뮤니케이션을 수행하는 능력이런 분이면 더욱 좋습니다 의공학 혹은 이공계열 최고 인재들의 문제해결방식을 배우는데 흥미가 있으신 분 글로벌 파트너십과 영어로 소통하며 비즈니스 커뮤니케이션 감각을 익히고 싶은 분 학습한 것을 바로 바로 적용하여 결과를 만들어 내는 것에 성취감을 느끼시는 분,4789
(주)한국그린데이터,정규직,"['설계', 'cad', '전기', '전기기사', '회로설계', '전력전자']","에너지 사용의 새로운 습관 한국그린데이터입니다. 
지속가능한 에너지효율화에 대한 인간의 의식전환과 행동변화를 수반하는 효과적인 인사이트를 
제공하는 플랫폼으로 비전문가도 활용 가능한 에너지효율화에 대한 의사결정을 지원하고 
단순히 데이터를 전달하고 보여주는 것이 아닌 에너지데이터로 세상을 바꾸는 계기를 만들어갑니다.
", 고객사빌딩 호텔 리조트 도면 분석 전력계통 Tree 작성 데이터 기반 에너지효율화플랫폼EMS 구축  당사 솔루션 각 지점별 데이터 취득을 위한 통신 시스템 구축 기 구축된 Legacy system과의 연동 전기 가스 수도 등 에너지 사용량 원격계측을 위한 시스템 구축,"- 학력 무관
- 전기 기사 또는 관련 자격증 소지자 
- 운전면허 소지자
- 업무에 대한 적극적인 태도","- 전기관련 자격증
- 공조 설비, 네트워크 설비 구성에 대한 경험
- 개발자와의 협업 경험
- AUTOCAD 등 관련 S/W 스킬 보유자
- 원격검침시스템 이해",">서류 검토(개별역량이 나타나는 포트폴리오 제출 필요하며, 기존에 보유한 결과물로 가급적 제출 부탁드립니다.)
> 1차 실무면접
> 2차 인성 및 대표면접&연봉협상
> 입사확정
- 수습기간 : 입사 후 3개월의 수습기간이 있으며, 수습기간에 대한 급여조정 없음","  💻 고사양 업무 장비 지급
  🎁 업무 시 필요한 주변기기 및 사무용품 제공
  🍚 점심식비 제공(회사 인근 식당 자율 선택)
  🥠 간식 무한 제공
  📚 직무 도서비 지원
  🏕️ 생일에는 원하는 기프티콘
  🎆 매주 마지막주 금요일 불금DAY 오전근무 퇴근 
  🏩 매년 건강검진, 예방접종 무료 지원
  🙋‍♂️ 출근은 내 맘대로 (8-10시 선택출근제) 
  😎 연차 사용은 자유롭게 
  💑 최고의 복지는 최고의 팀원(자부합니다)","서울 서초구 강남대로69길 8, 10층 128호 ㅣ 경기도 분당구 정자일로 177, 309호",['연구개발'],['전기'], 학력 무관 전기 기사 또는 관련 자격증 소지자  운전면허 소지자 업무에 대한 적극적인 태도 전기관련 자격증 공조 설비 네트워크 설비 구성에 대한 경험 개발자와의 협업 경험 AUTOCAD 등 관련 SW 스킬 보유자 원격검침시스템 이해,4790
(주)한국그린데이터,정규직,"['설계', 'cad', '전기', '전기기사', '회로설계', '전력전자']","에너지 사용의 새로운 습관 한국그린데이터입니다. 
지속가능한 에너지효율화에 대한 인간의 의식전환과 행동변화를 수반하는 효과적인 인사이트를 
제공하는 플랫폼으로 비전문가도 활용 가능한 에너지효율화에 대한 의사결정을 지원하고 
단순히 데이터를 전달하고 보여주는 것이 아닌 에너지데이터로 세상을 바꾸는 계기를 만들어갑니다.
", 고객사빌딩 호텔 리조트 도면 분석 전력계통 Tree 작성 데이터 기반 에너지효율화플랫폼EMS 구축  당사 솔루션 각 지점별 데이터 취득을 위한 통신 시스템 구축 기 구축된 Legacy system과의 연동 전기 가스 수도 등 에너지 사용량 원격계측을 위한 시스템 구축,"- 관련 전공자 학사 이상  
- 관련 경력 5년 이상 
- 운전면허 소지자
- 업무에 대한 적극적인 태도","- 전기관련 자격증
- 공조 설비, 네트워크 설비 구성에 대한 경험
- 개발자와의 협업 경험
- AUTOCAD 등 관련 S/W 스킬 보유자
- 원격검침시스템 이해",">서류 검토(개별역량이 나타나는 포트폴리오 제출 필요하며, 기존에 보유한 결과물로 가급적 제출 부탁드립니다.)
> 1차 실무면접
> 2차 인성 및 대표면접&연봉협상
> 입사확정
- 수습기간 : 입사 후 3개월의 수습기간이 있으며, 수습기간에 대한 급여조정 없음","  💻 고사양 업무 장비 지급
  🎁 업무 시 필요한 주변기기 및 사무용품 제공
  🍚 점심식비 제공(회사 인근 식당 자율 선택)
  🥠 간식 무한 제공
  📚 직무 도서비 지원
  🏕️ 생일에는 원하는 기프티콘
  🎆 매주 마지막주 금요일 불금DAY 오전근무 퇴근 
  🏩 매년 건강검진, 예방접종 무료 지원
  🙋‍♂️ 출근은 내 맘대로 (8-10시 선택출근제) 
  😎 연차 사용은 자유롭게 
  💑 최고의 복지는 최고의 팀원(자부합니다)","서울 서초구 강남대로69길 8, 10층 128호 ㅣ 경기도 분당구 정자일로 177, 309호",['연구개발'],['전기'], 관련 전공자 학사 이상   관련 경력 5년 이상  운전면허 소지자 업무에 대한 적극적인 태도 전기관련 자격증 공조 설비 네트워크 설비 구성에 대한 경험 개발자와의 협업 경험 AUTOCAD 등 관련 SW 스킬 보유자 원격검침시스템 이해,4791
(주)어스빌리지,정규직,"['전기', '전기설비', 'it개발']","어스빌리지는 1인가구에게 보다 나은 주거서비스와 생활을
제공하기 위해 ""주거""라는 기본 레이아웃 안에 공간컨텐츠와
온라인 컨테츠를 공유하는 주거 플랫폼 서비스를 제공하고 있습니다.",건축개발전기설비지점별 개발 검토지점별 유지보수 업무 지원지점별 리뉴얼 공사 외주 및 관리시설물 개선공사 관리협력업체 발주 및 관리도급 기성 원가관리 현장 품질관리시공개선 방안 기획 및 실행IT 개발기존 서비스 유지보수Spring boot ReactNextjs php신규 서비스 개발개발 일정 관리,"ㆍ건축개발(전기,설비) 관련 업무 경력자
ㆍ웹 운영 경력 7년 이상 또는 그에 준한 경험
ㆍ해당 업무 관련 전공자","ㆍAuto CAD, Excel 등 필수프로그램 사용이 능숙한 분
ㆍ제품 초기 기획부터 참여하여  웹 서비스 런칭 경험이 있는 분
ㆍ결제 모듈 관련해서 설계 및 도입 해보신 분(토스, 아임포트 등)
ㆍAWS를 다양하게 이용해 보신 분","1차 서류심사
2차 면접
3차 합격",,"서울 강남구 언주로 736, 4층","['엔지니어링', '연구개발', '개발']","['웹개발', '유지/수리/정비', '전기']",건축개발전기설비 관련 업무 경력자웹 운영 경력 7년 이상 또는 그에 준한 경험해당 업무 관련 전공자Auto CAD Excel 등 필수프로그램 사용이 능숙한 분제품 초기 기획부터 참여하여  웹 서비스 런칭 경험이 있는 분결제 모듈 관련해서 설계 및 도입 해보신 분토스 아임포트 등AWS를 다양하게 이용해 보신 분,4792
