회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
(주)비케이브,정규직,"['QC', '디자인', '포토샵', '그래픽디자인', '의류디자인', '시장조사', '패션', '패션디자인', '원자재관리', '트렌드조사']","[회사소개]

어제보다 오늘 더 성장하는 비케이브 와 함께해요.
비케이브는 법인 8년차 의류 전문 회사입니다.

19년도 총매출액 590억, 20년도 총매출액 800억, 21년도 1600억,  22년 2000억 돌파로 매년 높은 성장을 하고 있으며,

총 9개의 브랜드(커버낫, 와릿이즌, Lee, Wrangler, 이벳필드, 팔렛, 토니호크, 스티븐알란,네이머클로딩)를 운영하고 있습니다.

이처럼 짧은 시간 폭발적인 성장을 한 비케이브는 국내를 넘어
글로벌 캐주얼 회사로 거듭나고자,

양질의 컨텐츠(브랜드)를 옴니채널의 환경에서 다수의 고객(내부/글로벌)에게
입는 즐거움이라는 가치를 전달하고자 합니다.
비케이브의 끊임없는 도전과 비전을 공유할 인재를 초대합니다.

늦기 전에 합류하세요.

[조직문화]

비케이브는 매우 젊은 회사입니다.

역동적이고 에너제틱한 의미를 포함하여 실제로 임직원의 평균 연령이 20~30대로 젊습니다.
조직의 수직화, 경직화를 경계하며 직급 구분 없이 의견을 자유롭게 개진하는 조직문화를 지향하고 도입화 하여 진행 중입니다.",입사하시면 담당하실 업무입니다  시즌 그래픽 및 아트윅 개발 시장조사 및 트렌드 조사  본사 컨펌 준비 및 품평 업무 업체 핸들링 및 유관부서 협업 담당 디자인 핸들링 및 제품 QC 진행,"[해당되신다면 지원 가능합니다]

• 학력: 대졸 이상 (패션 OR 시각) 디자인학과

• 경력: 1년 이상 ~

• 포트폴리오 제출 필수","[해당되신다면 더욱 좋습니다]

• 전공자 우대

• 의류브랜드 재직경험이 있는 자(스트릿, 도메스틱, 디자이너브랜드)

• 그래픽 툴 (포토샵, 일러스트) 상급

• 패션 분야 트렌드 및 다양한 브랜드에 대한 이해도가 있는 자
",,"• [WORK LIFE] 근무환경&휴게환경 지속적인 개선/ 조식 및 프리드링크 지원/
                   자유롭고 개성적인 근무복장 존중

• [PRESENT&EVENT] 자기개발비(BECAVE Refresh with Family)/장기근속 포상제도/
                           자사상품 할인구매/ 명절선물/ 법인 콘도(제주도 리조트)운영/
                           경조사 지원, 웰컴키트/복지포인트/

• [CULTURE] 조기퇴근의 날/ 샌드위치 데이/회식/ 사내동호회/리더십교육/
                 법정의무교육/회사생활 교육","서울 마포구 잔다리로 24, 5층",['디자인'],"['패션/섬유디자인', '그래픽디자인']",해당되신다면 지원 가능합니다 학력 대졸 이상 패션 OR 시각 디자인학과 경력 1년 이상  포트폴리오 제출 필수해당되신다면 더욱 좋습니다 전공자 우대 의류브랜드 재직경험이 있는 자스트릿 도메스틱 디자이너브랜드 그래픽 툴 포토샵 일러스트 상급 패션 분야 트렌드 및 다양한 브랜드에 대한 이해도가 있는 자,1248
(주)엔젤로보틱스,정규직,"['자재구매', 'adobe', '샘플제작', '시제품제작', '아웃도어']",, 웨어러블 로봇의 착용부 샘플 핸들링 보호구 시제품 디자인 및 샘플제작 샘플원단 자재 소싱,"- 학력 : 전문학사 이상
- 경력 : 2년이상~ 6년 미만
- 아웃도어,가방(case), 액세서리 등 패션잡화 생산 경력 2년이상 (다이마루. 기타 관련자지원가능)
- adobe tool (일러스트,포토샵) 사용 가능자
- 샘플 개발 QC 경험자
- 프로모션 디자인실 영업 및 생산경력자
- 생산공장, 원부자재 업체관리 경험자","- 패턴 CAD 사용 가능자
- 의류 생산 유경험자
- 운전가능자",,,"서울 성동구 성수이로22길 37, 1405호,1406호,1407호 (성수동2가,아크밸리)",['디자인'],['패션/섬유디자인'], 학력  전문학사 이상 경력  2년이상 6년 미만 아웃도어가방case 액세서리 등 패션잡화 생산 경력 2년이상 다이마루 기타 관련자지원가능 adobe tool 일러스트포토샵 사용 가능자 샘플 개발 QC 경험자 프로모션 디자인실 영업 및 생산경력자 생산공장 원부자재 업체관리 경험자 패턴 CAD 사용 가능자 의류 생산 유경험자 운전가능자,5255
(주)비케이브,정규직,"['디자인', '그래픽디자인', '상품기획', 'adobe photoshop', '품질관리 QC']","어제보다 오늘 더 성장하는 비케이브 와 함께해요.
비케이브는 법인 9년차 의류 전문 회사입니다.

19년도 총매출액 590억, 20년도 총매출액 800억, 21년도 1600억, 22년 2000억 돌파로 매년 높은 성장을 하고 있으며,
총 9개의 브랜드(커버낫, 와릿이즌, Lee, Wrangler, 이벳필드, 팔렛, 토니호크, 스티븐알란,네이머클로딩)를 운영하고 있습니다.

이처럼 짧은 시간 폭발적인 성장을 한 비케이브는 국내를 넘어
글로벌 캐주얼 회사로 거듭나고자,

양질의 컨텐츠(브랜드)를 옴니채널의 환경에서 다수의 고객(내부/글로벌)에게
입는 즐거움이라는 가치를 전달하고자 합니다.

비케이브의 끊임없는 도전과 비전을 공유할 인재를 초대합니다.
늦기 전에 합류해주세요
__________________________________________________
[조직문화]

비케이브는 매우 젊은 회사입니다.

역동적이고 에너제틱한 의미를 포함하여 실제로 임직원의 평균 연령이 20~30대로 젊습니다.

조직의 수직화, 경직화를 경계하며 직급 구분 없이 의견을 자유롭게 개진하는 조직문화를 지향하고 도입화 하여 진행 중입니다.",1 커버낫 니트 디자인 담당2 시즌 니트 아이템 기획 및 개발3 시즌 품평 및 QC진행 메인 핸들링,"1) 학력무관
2) 경력 3년~8년차 이하 (주임말~대리급)","1) 복종 무관하나, 여성복 니트 경력자 우대
2) 커버낫 브랜드에 대한 이해도가 있으신 분
3) 변화에 대응이 빠르고 긍정적이신 분
4) 유관 부서 및 협력 업체와의 커뮤니케이션이 능숙하신 분
5) 그래픽 툴 활용에 능숙하신 분",,"• [WORK LIFE] 근무환경&휴게환경 지속적인 개선/ 조식 및 프리드링크 지원/
                   자유롭고 개성적인 근무복장 존중

• [PRESENT&EVENT] 자기개발비(BECAVE Refresh with Family)/장기근속 포상제도/
                           자사상품 할인구매/ 명절선물/ 법인 콘도(제주도 리조트)운영/
                           경조사 지원, 웰컴키트/복지포인트

• [CULTURE] 조기퇴근의 날/ 샌드위치 데이/회식/ 사내동호회/리더십교육/
                 법정의무교육/회사생활 교육","서울 마포구 잔다리로 24, 5층",['디자인'],['패션/섬유디자인'],1 학력무관2 경력 3년8년차 이하 주임말대리급1 복종 무관하나 여성복 니트 경력자 우대2 커버낫 브랜드에 대한 이해도가 있으신 분3 변화에 대응이 빠르고 긍정적이신 분4 유관 부서 및 협력 업체와의 커뮤니케이션이 능숙하신 분5 그래픽 툴 활용에 능숙하신 분,5256
신성통상(주),정규직,"['디자인', '의류디자인', '패션', '패션디자인']",, 남성복 니트다이마루 티셔츠 디자인 관련 업무 담당브랜드  OLZEN,"• 학력 : 전문학사이상
• 경력 : 7년-12년
• 직급 :  과장-차장급
• 백화점 유통 중심의 남성신사 / 남성캐주얼 / 골프 브랜드 근무 경험자
니트 프로모션 및 컨설팅 회사 근무 경험자
Adobe Program 관련 3D Graphic관련, Pattern Cad 관련 숙련자","• 남성복 니트류 개발 디자이너 경력 우대
• FABRIC 개발에서 GARMENTS DESIGN은 물론 KNIT류 관련
• 생산/원가 개념을 겸비한 자 특별 우대
","서류전형 > 인적성 검사 > 1-2차 면접 > 채용 확정

- 서류 합격여부에 상관없이 전형결과는 개별 연락 드릴 예정입니다.
- 인적성 검사는 서류 합격자에 한해 시행 예정입니다.
- 인적성 검사는 마이크/카메라 세팅이 필요없이 30분 내외로 소요됩니다.","1. 아침/음료는 신성에서!
2. 신성통상 자율주차
3. 다양한 교육기회 부여/사내 도서관
4. 자사브랜드 할인
5. 신성 한우데이!
6. 정시퇴근보장! 셧다운제",서울 강동구 풍성로63길 84,['디자인'],['패션/섬유디자인'], 학력  전문학사이상 경력  7년12년 직급   과장차장급 백화점 유통 중심의 남성신사  남성캐주얼  골프 브랜드 근무 경험자니트 프로모션 및 컨설팅 회사 근무 경험자Adobe Program 관련 3D Graphic관련 Pattern Cad 관련 숙련자 남성복 니트류 개발 디자이너 경력 우대 FABRIC 개발에서 GARMENTS DESIGN은 물론 KNIT류 관련 생산원가 개념을 겸비한 자 특별 우대,5257
신성통상(주),정규직,"['기획', '디자인', '의류디자인', '패션디자인', '악세사리']",, 가방 모자 양말 벨트 등 기타 악세사리 담당 시장조사 및 아이템 분석 디자인 소재  컬러 구성 작업지시서 작성  FIT 보정 담당브랜드  TOPTEN,"• 학력 : 학사이상
• 경력 : 4년 이상 8년 이하
• 직급 : 대리급","• 동종업계 직무 경력자 우대
• ACC 디자인 관련 직무 경험자
• ACC에 관심이 많고 이해도가 높은자","서류전형 > 인적성 검사 > 1-2차 면접 > 채용 확정

- 서류 합격여부에 상관없이 전형결과는 개별 연락 드릴 예정입니다.
- 인적성 검사는 서류 합격자에 한해 시행 예정입니다.
- 인적성 검사는 마이크/카메라 세팅이 필요없이 30분 내외로 소요됩니다.","1. 아침/음료는 신성에서!
2. 신성통상 자율주차
3. 다양한 교육기회 부여/사내 도서관
4. 자사브랜드 할인
5. 신성 한우데이!
6. 정시퇴근보장! 셧다운제",서울 강동구 풍성로63길 84,['디자인'],['패션/섬유디자인'], 학력  학사이상 경력  4년 이상 8년 이하 직급  대리급 동종업계 직무 경력자 우대 ACC 디자인 관련 직무 경험자 ACC에 관심이 많고 이해도가 높은자,5258
(주)더캐리,정규직,"['디자인', '의류디자인', '시장조사', '패션', '패션디자인']","(주)더캐리와 함께 할 인재를 모집합니다.
많은 지원 부탁드립니다.", 시장 트렌드 분석 및 서치 브랜드 시즌 기획 및 디자인 브랜드 시즌 패턴 의뢰 및  샘플 제작 브랜드 시즌 그래픽 개발 및 소재 개발 브랜드  시즌 품평회 준비 및 진행 브랜드 시즌 메인작업지시서 작성 및 QC 진행,"- 대졸이상
- 유관업무 경력자(팀장급)",- 키즈 및 주니어 패션 경력자 우대 ,서류전형 > 면접전형 > 인적성검사 > 입사,"• 임직원 건강 지원
중식 식권 제휴 & 석식 지원
사내 카페테리아 운영
(바리스타 상주)
사내 헬스키퍼실 운영
종합건강검진(임직원) 지원
종합건강검진(가족) 지원
의료비 지원
독감예방접종 지원


• 마음 편한 육아 지원
자사제품 할인
임신기 근로시간 단축
육아휴직/육아기 근로시간 단축 
임산부 정기건강진단 시간 지원 
임신/육아기 근로형태 코디 운영

• 일/가정 양립 지원
theKARY DAY
(명절연휴 전 4시간 조기퇴근)
생일 반차 제공
명절 선물 제공
Family DAY(월 1회, 조기 퇴근)
야근 없는 날(매주 수요일)


• 더캐리 배테랑 양성
직책수당 지급
장기근속자 리프레시 휴가(매 3년, 휴가 및 휴가비 지급)
장기근속자 포상(매 5년마다 포상) 
장기근속자 안식월 (매 7년마다 부여)

• 근무여건
한강진역 도보 7분 기본 09:30~18:30 (시차출근제 운영)
각 층별 라운지 운영 (음료 및 다과제공) 
개인 노트북 지급 (직무별 일부 상이)

• 경조사 지원
경조휴가 및 경조사비 지원


",서울특별시 용산구 이태원로 241,['디자인'],['패션/섬유디자인'], 대졸이상 유관업무 경력자팀장급 키즈 및 주니어 패션 경력자 우대 ,5259
(주)비케이브,정규직,"['QC', '디자인', '포토샵', '그래픽디자인', '의류디자인', '시장조사', '패션', '패션디자인', '원자재관리', '트렌드조사']","[회사소개]

어제보다 오늘 더 성장하는 비케이브 와 함께해요.
비케이브는 법인 8년차 의류 전문 회사입니다.

19년도 총매출액 590억, 20년도 총매출액 800억, 21년도 1600억,  22년 2000억 돌파로 매년 높은 성장을 하고 있으며,

총 9개의 브랜드(커버낫, 와릿이즌, Lee, Wrangler, 이벳필드, 팔렛, 토니호크, 스티븐알란,네이머클로딩)를 운영하고 있습니다.

이처럼 짧은 시간 폭발적인 성장을 한 비케이브는 국내를 넘어
글로벌 캐주얼 회사로 거듭나고자,

양질의 컨텐츠(브랜드)를 옴니채널의 환경에서 다수의 고객(내부/글로벌)에게
입는 즐거움이라는 가치를 전달하고자 합니다.
비케이브의 끊임없는 도전과 비전을 공유할 인재를 초대합니다.

늦기 전에 합류하세요.

[조직문화]

비케이브는 매우 젊은 회사입니다.

역동적이고 에너제틱한 의미를 포함하여 실제로 임직원의 평균 연령이 20~30대로 젊습니다.
조직의 수직화, 경직화를 경계하며 직급 구분 없이 의견을 자유롭게 개진하는 조직문화를 지향하고 도입화 하여 진행 중입니다.",입사하시면 담당하실 업무입니다  시즌 그래픽 및 아트윅 개발 시장조사 및 트렌드 조사  본사 컨펌 준비 및 품평 업무 업체 핸들링 및 유관부서 협업 담당 디자인 핸들링 및 제품 QC 진행,"[해당되신다면 지원 가능합니다]

• 학력: 대졸 이상 (패션 OR 시각) 디자인학과

• 경력: 1년 이상 ~

• 포트폴리오 제출 필수","[해당되신다면 더욱 좋습니다]

• 전공자 우대

• 의류브랜드 재직경험이 있는 자(스트릿, 도메스틱, 디자이너브랜드)

• 그래픽 툴 (포토샵, 일러스트) 상급

• 패션 분야 트렌드 및 다양한 브랜드에 대한 이해도가 있는 자
",,"• [WORK LIFE] 근무환경&휴게환경 지속적인 개선/ 조식 및 프리드링크 지원/
                   자유롭고 개성적인 근무복장 존중

• [PRESENT&EVENT] 자기개발비(BECAVE Refresh with Family)/장기근속 포상제도/
                           자사상품 할인구매/ 명절선물/ 법인 콘도(제주도 리조트)운영/
                           경조사 지원, 웰컴키트/복지포인트/

• [CULTURE] 조기퇴근의 날/ 샌드위치 데이/회식/ 사내동호회/리더십교육/
                 법정의무교육/회사생활 교육","서울 마포구 잔다리로 24, 5층",['디자인'],"['패션/섬유디자인', '그래픽디자인']",해당되신다면 지원 가능합니다 학력 대졸 이상 패션 OR 시각 디자인학과 경력 1년 이상  포트폴리오 제출 필수해당되신다면 더욱 좋습니다 전공자 우대 의류브랜드 재직경험이 있는 자스트릿 도메스틱 디자이너브랜드 그래픽 툴 포토샵 일러스트 상급 패션 분야 트렌드 및 다양한 브랜드에 대한 이해도가 있는 자,5260
(주)비케이브,정규직,"['디자인', '포토샵', '일러스트', '시장조사', 'Q.C', '스타일링', '패션디자이너', '트렌드조사', '여성복디자이너']","[회사소개]

어제보다 오늘 더 성장하는 비케이브 와 함께해요.
비케이브는 법인 8년차 의류 전문 회사입니다.

19년도 총매출액 590억, 20년도 총매출액 800억, 21년도 1600억, 22년도 2000억대로 매년 높은 성장을 하고 있으며,

총 9개의 브랜드(커버낫, 와릿이즌, Lee, Wrangler, 이벳필드, 팔렛, 토니호크, 스티븐알란,네이머클로딩)를 운영하고 있습니다.

이처럼 짧은 시간 폭발적인 성장을 한 비케이브는 국내를 넘어
글로벌 캐주얼 회사로 거듭나고자,

양질의 컨텐츠(브랜드)를 옴니채널의 환경에서 다수의 고객(내부/글로벌)에게
입는 즐거움이라는 가치를 전달하고자 합니다.
비케이브의 끊임없는 도전과 비전을 공유할 인재를 초대합니다.

늦기 전에 합류하세요.

[조직문화]

비케이브는 매우 젊은 회사입니다.

역동적이고 에너제틱한 의미를 포함하여 실제로 임직원의 평균 연령이 20~30대로 젊습니다.
조직의 수직화, 경직화를 경계하며 직급 구분 없이 의견을 자유롭게 개진하는 조직문화를 지향하고 도입화 하여 진행 중입니다.",입사하시면 담당하실 업무입니다 시즌 컬렉션 디자인 기획스케줄 관리시즌 품평 진행 담당 아이템 QC  시장조사 및 트렌드 조사 시즌 룩북 컨셉 기획 및 스타일링,"[해당되신다면 지원 가능합니다]

•학력: 대졸 이상 
•경력: 3년~ 10년
•포트폴리오 제출 필수","[해당되신다면 더욱 좋습니다]

• 다양한 복종 경험자
• 여성복 브랜드 OR 컨템포러리 브랜드 경험자 
• 브랜드 타겟 및 아이덴티티에 맞게 디자인이 가능하신 분
• 타 직군 및 이해관계자간의 유연한 커뮤니케이션이 원활하신 분",,"[WORK LIFE] 

- 시차출퇴근/재택근무/야근에 의한 유연출퇴근 등 근무환경&휴게환경 지속적인 개선
- 샌드위치, 과일, 쿠키 등 얼리버드 조식 및 프리드링크 지원 
- 자유롭고 개성적인 근무복장 존중 
- 비케이브인의 건강을 위한 종합검진 지원 

• [PRESENT&EVENT] 

- 복지포인트 지급(기본 30만원부터 요건에 따라 차등지급) 
- 근속연수에 따른 안식 휴가 지원 
- 기쁜 일은 두배, 슬픈일은 반으로 함께 나누는 경조사 지원
- 자사상품 50% 할인 구매 지원
- 명절맞이 선물 지급(1년 2회)
- 입사 환영 웰컴키트 제공 

• [CULTURE]

- 법정의무교육, 리더십교육, 회사생활 교육 제공
- 단축근무(매월 마지막주 금요일 4시간 근무) 및 샌드위치 데이 운영
- 법인 리조트 운영 및 지원
- 사내동호회 운영 및 지원","서울 마포구 잔다리로 24, 5층",['디자인'],['패션/섬유디자인'],해당되신다면 지원 가능합니다학력 대졸 이상 경력 3년 10년포트폴리오 제출 필수해당되신다면 더욱 좋습니다 다양한 복종 경험자 여성복 브랜드 OR 컨템포러리 브랜드 경험자  브랜드 타겟 및 아이덴티티에 맞게 디자인이 가능하신 분 타 직군 및 이해관계자간의 유연한 커뮤니케이션이 원활하신 분,5261
(주)워즈코퍼레이션,정규직,"['디자인', '포토샵', '의류디자인', '일러스트', '패션디자인']","워즈코퍼레이션은 2020년 미국 명문 사립대학 예일대학교의 시그니처 패션을 선보인 브랜드 YALE을 시작으로Phyps, Tim Comix, Larry Clark 등 다양한 카테고리의 패션 브랜드를 운영하고 있습니다.

""변하지 않는 옷의 기본 역할에 집중하고, 더 나아가 사람들의 자아실현을 돕기 위한 현대적 가치, 사회적 가치를 만든다""는 vision으로 고객과 끊임없이 소통하며 브랜드 입지를 넓혀가고 있으며, 22년 전년 대비 200%의 성장률을 기록했습니다. 

새로운 기회에 대한 아이디어는 누구나 제시하고 참여할 수 있으며, 
우리 모두가 자신 분야에서 권한과 책임을 가진 리더입니다. 

워즈코퍼레이션과 함께 새로운 문화를 선도할 동료를 찾습니다. 

** 브랜드 인스타그램 :  https://www.instagram.com/damnlarryclark/", 우븐 다이마루 어페럴 디자인 온오프라인 리서치 시즌 및 스팟 제품 디자인 작업지시서 작성,"- 경력 : 4년 이상
- 캐주얼브랜드 디자인 실무 경험 (* 포트폴리오 제출 必)
- 언더그라운드, 락 문화에 관심이 있으신 분
- Adobe Photoshop, Illustrator 등 디자인 툴 활용에 능숙하신 분
** 포트폴리오 제출 필수","- 트랜드에 대한 스터디가 습관화 되어 있으신 분
- 패션 트랜드 및 패션 브랜드의 이해도가 높으신 분 
- 자사 브랜드에 관심이 많으신 분","• 서류심사 ＞ 1차면접 ＞ 처우협의 ＞ 최종합격
• 서류 : 이력서, 포트폴리오 必","[ 근무환경 ]

• 시차출퇴근제
• 수평적 조직문화
• 자유로운 근무복장
• 리프레쉬 데이 (매월 마지막 주 금요일 2시 퇴근)


[ 복지 ]

• 자사몰 50% 할인 
• 반려견 복지 비용 지원
• 문화생활비 지원
• 사내 스낵바 운영
• 인센티브
• 회식비, 간식비 지원
• 생일축하금
• 야근 교통비, 식비지원
",서울특별시 성동구 성수일로12가길 22,['디자인'],['패션/섬유디자인'], 경력  4년 이상 캐주얼브랜드 디자인 실무 경험  포트폴리오 제출 必 언더그라운드 락 문화에 관심이 있으신 분 Adobe Photoshop Illustrator 등 디자인 툴 활용에 능숙하신 분 포트폴리오 제출 필수 트랜드에 대한 스터디가 습관화 되어 있으신 분 패션 트랜드 및 패션 브랜드의 이해도가 높으신 분  자사 브랜드에 관심이 많으신 분,5262
(주)워즈코퍼레이션,정규직,"['UI', '3d', 'sketch', 'adobe photoshop', 'Adobe Illustrator']","워즈코퍼레이션은 2020년 미국 명문 사립대학 예일대학교의 시그니처 패션을 선보인 브랜드 YALE을 시작으로 Phyps, Tim Comix, Larry Clark 등 다양한 카테고리의 패션 브랜드를 운영하고 있습니다. 

""변하지 않는 옷의 기본 역할에 집중하고, 더 나아가 사람들의 자아실현을 돕기 위한 현대적 가치, 사회적 가치를 만든다""는 VISION으로 고객과 끊임없이 소통하며 브랜드 입지를 넓혀나가고 있으며, 2022년 전년 대비 200% 성장률을 기록했습니다. 

새로운 기회에 대한 아이디어는 누구나 제시하고 참여할 수 있으며,
우리 모두가 자신의 분야에서 권한과 책임을 가진 리더입니다. 
 
피지컬 에듀케이션 디파트먼트(Phyps)와 함께 NEW LINE 출시를 준비하며
새로운 문화를 선도할 동료를 찾습니다.

** 브랜드 룩북 : https://www.musinsa.com/mz/magazine/view/brandlookbook/89255
", 우븐 디자인 온오프라인 리서치 시즌 및 스팟 제품 디자인 작업지시서 작성,"- 경력 : 3년 이상
- 캐주얼브랜드 디자인 실무 경험 (* 포트폴리오 제출 必)
- 스포츠 브랜드, 오피스룩 브랜드 실무 경험자 우대
- Adobe Photoshop, Illustrator 등 디자인 툴 활용에 능숙하신 분","- 트랜드에 대한 스터디가 습관화 되어 있으신 분
- 패션 트랜드 및 패션 브랜드의 이해도가 높으신 분
- 자사 브랜드에 관심이 많으신 분","• 서류심사 ＞ 1차면접 ＞ 처우협의 ＞ 최종합격
• 서류 : 이력서, 포트폴리오 必","[ 근무환경 ]

• 시차출퇴근제
• 수평적 조직문화
• 자유로운 근무복장
• 리프레쉬 데이 (매월 마지막 주 금요일 2시 퇴근)


[ 복지 ]

• 자사몰 50% 할인 
• 반려견 복지 비용 지원
• 문화생활비 지원
• 사내 스낵바 운영
• 인센티브
• 팀별 회식비 제공
• 간식비 제공
• 생일축하금",서울특별시 성동구 성수일로12가길 22,['디자인'],['패션/섬유디자인'], 경력  3년 이상 캐주얼브랜드 디자인 실무 경험  포트폴리오 제출 必 스포츠 브랜드 오피스룩 브랜드 실무 경험자 우대 Adobe Photoshop Illustrator 등 디자인 툴 활용에 능숙하신 분 트랜드에 대한 스터디가 습관화 되어 있으신 분 패션 트랜드 및 패션 브랜드의 이해도가 높으신 분 자사 브랜드에 관심이 많으신 분,5263
