회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
삼지전자(주),정규직,"['품질관리', '생산기술', 'SW QA', '테스트엔지니어', 'MS Office', 'sw test', '중계기']","업력 42년의 중견기업이자 코스닥 상장사인 삼지전자에서 다음과 같이 유능하고 역량있는 인재를 모집합니다. 당사와 함께 미래를 이끌어 나갈 분들의 많은 지원 바랍니다
",신제품 및 양산품 SW 설계 검증 시험 4MPKG변경 시 SW 설계 검증 시험 abnormal 시험을 통한 사전 오류 및 이상동작 검출,"경력: 신입/경력 5년 미만
LTE, 5G NR 중계기 등 시스템 설계
검증 경험자(S/W 기능 검증)
동종업계 생산기술 혹은 검증부서
유관업무 경험자
학력 : 초대졸 이상
전공: 공학계열 전공자 (전자, 정보통신 관련)","자기주도적 업무수행 가능자
오피스 문서 작업 능숙자
품질업무 열정을 가진 자","서류전형-실무면접-최종합격

제출서류 : 이력서, 경력기술서 (신입사원 지원자의 경우 성적증명서 제출 必)","기념일 상품권 지급
퇴직연금, 경영성과급
자녀 대학 학자금지원
종합건강검진 지원(배우자 포함)
기숙사 지원 (1인 1실)
동호회 운영 (산악, 축구동호회)
조식, 중식, 석식 무료제공",경기 화성시 금곡로 63-27,['생산관리/품질관리'],"['생산/품질기획', '품질관리', '품질보증']",경력 신입경력 5년 미만LTE 5G NR 중계기 등 시스템 설계검증 경험자SW 기능 검증동종업계 생산기술 혹은 검증부서유관업무 경험자학력  초대졸 이상전공 공학계열 전공자 전자 정보통신 관련자기주도적 업무수행 가능자오피스 문서 작업 능숙자품질업무 열정을 가진 자,3144
삼지전자(주),정규직,"['품질관리', '생산기술', 'SW QA', '테스트엔지니어', 'MS Office', 'sw test', '중계기']","업력 42년의 중견기업이자 코스닥 상장사인 삼지전자에서 다음과 같이 유능하고 역량있는 인재를 모집합니다. 당사와 함께 미래를 이끌어 나갈 분들의 많은 지원 바랍니다
",신제품 및 양산품 SW 설계 검증 시험 4MPKG변경 시 SW 설계 검증 시험 abnormal 시험을 통한 사전 오류 및 이상동작 검출,"경력: 신입/경력 5년 미만
LTE, 5G NR 중계기 등 시스템 설계
검증 경험자(S/W 기능 검증)
동종업계 생산기술 혹은 검증부서
유관업무 경험자
학력 : 초대졸 이상
전공: 공학계열 전공자 (전자, 정보통신 관련)","자기주도적 업무수행 가능자
오피스 문서 작업 능숙자
품질업무 열정을 가진 자","서류전형-실무면접-최종합격

제출서류 : 이력서, 경력기술서 (신입사원 지원자의 경우 성적증명서 제출 必)","기념일 상품권 지급
퇴직연금, 경영성과급
자녀 대학 학자금지원
종합건강검진 지원(배우자 포함)
기숙사 지원 (1인 1실)
동호회 운영 (산악, 축구동호회)
조식, 중식, 석식 무료제공",경기 화성시 금곡로 63-27,['생산관리/품질관리'],"['생산/품질기획', '품질관리', '품질보증']",경력 신입경력 5년 미만LTE 5G NR 중계기 등 시스템 설계검증 경험자SW 기능 검증동종업계 생산기술 혹은 검증부서유관업무 경험자학력  초대졸 이상전공 공학계열 전공자 전자 정보통신 관련자기주도적 업무수행 가능자오피스 문서 작업 능숙자품질업무 열정을 가진 자,5274
(주)에스엠플라텍,정규직,"['QC', '품질관리', '운전면허', '품질검사', '계측', '부품검사', '성적서 작성']",,각종 기계 가공공정 계측 등 품질관리압출기 품질검사 및 각종 부품에 대한   품질 검사성적서 관리 포함,"ㆍ학력 : 고졸 이상
ㆍ경력 : 신입/경력 5년 이하(사원~주임급)","ㆍ운전가능자, 차량소지자",서류전형-면접전형-최종합격,"지원금/보험 각종 경조사 지원
급여제도 퇴직연금, 상여금, 우수사원포상, 성과급, 휴일(특근)수당, 연차수당, 직책수당, 장기근속수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 크리스마스 선물
교육/생활 창립일행사, 교육비 지원, 점심식사 제공, 사내동호회 운영, 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 공기청정기
조직문화 수평적 조직문화, 야근강요 안함, 자유로운 연차사용, 칼퇴근 보장
출퇴근 주 52시간제 준수",경기 안산시 단원구 첨단로181번길 29,['생산관리/품질관리'],"['품질관리', '품질보증']",학력  고졸 이상경력  신입경력 5년 이하사원주임급운전가능자 차량소지자,5276
(주)세나테크코리아,정규직,"['QA', 'QC', '품질관리', '품질보증', '인도', '외국어(영어)']","세계로 나아가는 세나테크코리아는
Mobile, Display, Mobility 분야의 어플리케이션 제품구현의 선구자로서 관련 금형기술과 축적된 노하우를 바탕으로
최고의 솔루션을 개발하여 최상의 품질을 제공하기 위하여 끊임없이 노력하고 있습니다.
글로벌 시장변화에 대하여 지속적으로 기술력을 혁신하고 고객에게는 신뢰를 제품에는 믿음을 드리는 기업
세나테크 코리아에 많은 지원 바랍니다.",인도법인 품질관리 및 보증,"ㆍ학력 : 대졸 이상 (2,3년)
ㆍ경력 : 경력 5년 ~ 8년(과장, 대리, 차장급)
ㆍ기타 필수 사항
   - 해당직무 근무경험","ㆍ인근거주자
ㆍ야간근무 가능자",서류전형-1차 면접-최종합격,"교육/생활 창립일행사, 점심식사 제공
급여제도 퇴직연금, 상여금, 장기근속자 포상, 4대 보험
선물 명절선물/귀향비, 생일선물/파티
근무 환경 휴게실, 전용 사옥","경기 안산시 단원구 해안로213번길 45, 반월공단",['생산관리/품질관리'],"['품질관리', '품질보증']",학력  대졸 이상 23년경력  경력 5년  8년과장 대리 차장급기타 필수 사항    해당직무 근무경험인근거주자야간근무 가능자,5277
(주)제노스,정규직,"['인허가', '기술문서', '인허가업무']","Vision 1 최고의 제품과 서비스
매년 매출의 약 20%를 R&D에 투자, 우수한 국내외 연구진 확보와 신제품 개발로
세계 최고의 제품을 준비하고 있습니다.

Vision 2 인류의 건강 증진
‘좋은 제품이 널리 쓰이게’하여 더 많은 수의 사람들이 제노스를 통해
건강을 유지할 수 있도록 세상에 기여합니다.

Vision 3 세계 최고의 의료기기 회사
많은 사람들의 ‘건강한 삶’을 도우며 세계 최고의 의료기기 제조사로 성장하겠습니다.",심혈관 제품스텐트카테터 등 국내해외 인허가CV 임상연구 및 보험등재 기술문서 작성HA필러 Dantal제품 등 해외 인허가 대응인허가 변경갱신재평가 등 허가증 관리,"ㆍ경력 : 심혈관/덴탈 1년이상(해당직무경력必)
ㆍ학력 : 학사 졸 이상
ㆍ중국어or영어 활용가능자 (회화/작문)","ㆍ화학/바이오/산업공학 관련 전공자 우대
ㆍ국내/외 심사 등 대응 유경험자 (CE MDR, ISO, GMP, FDA, CFDA)
ㆍ시스템 구축 및 Setup 유경험자 (QMS, ERP, BOM, 밸리데이션)
ㆍPPT,엑셀 등 보고문서 활용우수자",서류전형-인성검사-실무면접-최종합격,"건강검진, 경조사지원
장기근속포상, 명절선물 및 상여, 월인센티브, 반기/연말성과급지급
신사옥, 주차장, 구내식당 및 카페테리아, 피트니스센터, 탁구장, 풋살장, 사내도서관, 근무복지급
경조휴가, 배우자출산휴가, 연차 외 유급 하계휴가
영업직 식대지원 및 차량유류대 법인카드 지급",경기도 수원시 영통구 창룡대로 256번길76(이의동)  덴티움 지식산업센터 12층(16229) ,['생산관리/품질관리'],"['품질관리', '품질보증']",경력  심혈관덴탈 1년이상해당직무경력必학력  학사 졸 이상중국어or영어 활용가능자 회화작문화학바이오산업공학 관련 전공자 우대국내외 심사 등 대응 유경험자 CE MDR ISO GMP FDA CFDA시스템 구축 및 Setup 유경험자 QMS ERP BOM 밸리데이션PPT엑셀 등 보고문서 활용우수자,5281
(주)교원,정규직,"['품질관리', '품질', '품질보증']",,신뢰성 개선  생활가전 제품 품질보증신뢰성 검증  신제품 개발 단계별 신뢰성 검증   전기기계적 안정성 내구성 평가 및 문제점 도출  신규 부품변경품 심뢰성 검증  신제품 필드 불량 고장 분석 지원, - 3년 이상 10년 미만 경력," - 생활가전제품 신뢰성 검증 업무 유경험자

 - 신뢰성 분석 전문기관 근무 유경험자

 - 전자/전기공학 전공자",지원서 지원 → 서류전형 → 면접전형(1차/2차/3차) → 채용검진 → 최종합격,,서울 중구 을지로 51,['생산관리/품질관리'],"['품질관리', '품질보증']",  3년 이상 10년 미만 경력  생활가전제품 신뢰성 검증 업무 유경험자  신뢰성 분석 전문기관 근무 유경험자  전자전기공학 전공자,5299
삼지전자(주),정규직,"['품질관리', '생산기술', 'SW QA', '테스트엔지니어', 'MS Office', 'sw test', '중계기']","업력 42년의 중견기업이자 코스닥 상장사인 삼지전자에서 다음과 같이 유능하고 역량있는 인재를 모집합니다. 당사와 함께 미래를 이끌어 나갈 분들의 많은 지원 바랍니다
",신제품 및 양산품 SW 설계 검증 시험 4MPKG변경 시 SW 설계 검증 시험 abnormal 시험을 통한 사전 오류 및 이상동작 검출,"경력: 신입/경력 5년 미만
LTE, 5G NR 중계기 등 시스템 설계
검증 경험자(S/W 기능 검증)
동종업계 생산기술 혹은 검증부서
유관업무 경험자
학력 : 초대졸 이상
전공: 공학계열 전공자 (전자, 정보통신 관련)","자기주도적 업무수행 가능자
오피스 문서 작업 능숙자
품질업무 열정을 가진 자","서류전형-실무면접-최종합격

제출서류 : 이력서, 경력기술서 (신입사원 지원자의 경우 성적증명서 제출 必)","기념일 상품권 지급
퇴직연금, 경영성과급
자녀 대학 학자금지원
종합건강검진 지원(배우자 포함)
기숙사 지원 (1인 1실)
동호회 운영 (산악, 축구동호회)
조식, 중식, 석식 무료제공",경기 화성시 금곡로 63-27,['생산관리/품질관리'],"['생산/품질기획', '품질관리', '품질보증']",경력 신입경력 5년 미만LTE 5G NR 중계기 등 시스템 설계검증 경험자SW 기능 검증동종업계 생산기술 혹은 검증부서유관업무 경험자학력  초대졸 이상전공 공학계열 전공자 전자 정보통신 관련자기주도적 업무수행 가능자오피스 문서 작업 능숙자품질업무 열정을 가진 자,5308
(주)에스엠플라텍,정규직,"['QC', '품질관리', '운전면허', '품질검사', '계측', '부품검사', '성적서 작성']",,각종 기계 가공공정 계측 등 품질관리압출기 품질검사 및 각종 부품에 대한   품질 검사성적서 관리 포함,"ㆍ학력 : 고졸 이상
ㆍ경력 : 신입/경력 5년 이하(사원~주임급)","ㆍ운전가능자, 차량소지자",서류전형-면접전형-최종합격,"지원금/보험 각종 경조사 지원
급여제도 퇴직연금, 상여금, 우수사원포상, 성과급, 휴일(특근)수당, 연차수당, 직책수당, 장기근속수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 크리스마스 선물
교육/생활 창립일행사, 교육비 지원, 점심식사 제공, 사내동호회 운영, 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 공기청정기
조직문화 수평적 조직문화, 야근강요 안함, 자유로운 연차사용, 칼퇴근 보장
출퇴근 주 52시간제 준수",경기 안산시 단원구 첨단로181번길 29,['생산관리/품질관리'],"['품질관리', '품질보증']",학력  고졸 이상경력  신입경력 5년 이하사원주임급운전가능자 차량소지자,5309
(주)세나테크코리아,정규직,"['QA', 'QC', '품질관리', '품질보증', '인도', '외국어(영어)']","세계로 나아가는 세나테크코리아는
Mobile, Display, Mobility 분야의 어플리케이션 제품구현의 선구자로서 관련 금형기술과 축적된 노하우를 바탕으로
최고의 솔루션을 개발하여 최상의 품질을 제공하기 위하여 끊임없이 노력하고 있습니다.
글로벌 시장변화에 대하여 지속적으로 기술력을 혁신하고 고객에게는 신뢰를 제품에는 믿음을 드리는 기업
세나테크 코리아에 많은 지원 바랍니다.",인도법인 품질관리 및 보증,"ㆍ학력 : 대졸 이상 (2,3년)
ㆍ경력 : 경력 5년 ~ 8년(과장, 대리, 차장급)
ㆍ기타 필수 사항
   - 해당직무 근무경험","ㆍ인근거주자
ㆍ야간근무 가능자",서류전형-1차 면접-최종합격,"교육/생활 창립일행사, 점심식사 제공
급여제도 퇴직연금, 상여금, 장기근속자 포상, 4대 보험
선물 명절선물/귀향비, 생일선물/파티
근무 환경 휴게실, 전용 사옥","경기 안산시 단원구 해안로213번길 45, 반월공단",['생산관리/품질관리'],"['품질관리', '품질보증']",학력  대졸 이상 23년경력  경력 5년  8년과장 대리 차장급기타 필수 사항    해당직무 근무경험인근거주자야간근무 가능자,5310
(주)토모큐브,정규직,"['QA', 'QC', '품질관리', '엑셀', '품질', '품질보증', '밸리데이션', 'GMP', 'RA', '품질관리 품질보증']","토모큐브(Tomocube)는 살아있는 세포를 관찰하는 모든 분야에 혁신을 일으키고자 2015 년 설립된 회사입니다.
토모큐브가 개발하는 홀로토모그래피 이미징 시스템은 세포의 살아있는 모습 그 자체의 3 차원 형상 정보를 획득하여 개별세포의 부피, 무게 등 정량 정보를 분석하며, 세포 내 소기관 정보를 표지 없이 분석하여 다양한 세포의 고유 특성을 영상 기반으로 파악할 수 있습니다.

토모큐브는 광학 기술의 혁신성과 제품 개발의 전문성을 인정받아 창업 이후 총 442 억 원의 투자를 유치했으며, 정밀 이미징 시스템인 HT 시리즈를 비롯하여 고성능 홀로토모그래피 이미징 시스템인 HTX시리즈를 출시하여 세계 시장에 진출하였습니다.
토모큐브가 보유한 독보적인 광학 이미징 기술을 더욱 발전시키고 영상 분석 및 인공지능 기술을 함께 개발하며 차세대 연구 및 의료 현장에 혁신을 이끌어나갈 열정 넘치는 인력을 모집하오니 적극 지원해 주시기 바랍니다.",ISO 13485 GMP 품질시스템 수립ISO 9001 유지관리 심사 대응 포함제품 관련 규제 및 가이드라인 모니터링문서 제개정 및 관리 위험관리 변경관리설비 적격성 평가 및 교정프로세스 밸리데이션연구용기기의료기기 제품 검사 기준 수립 및 검사 업무품질 이슈 대응 분석 개선방안 도출,"ㆍ경력 : 무관 (신입도 지원 가능)(팀원급)
[신입] 학사 이상, 영문 독해 가능자
[경력] 경력연수 무관, 영문 독해 및 작문 가능자, 문서 작성 우수자","ㆍ관련 업종 경험자
ㆍ전자, 기계공학 또는 생명공학관련 전공자
ㆍ비즈니스 영어 가능자",서류전형 > 1차 면접 > 2차 면접 > 최종합격,"○ 휴가 지원
- 연말 Office Closing
- 자유로운 휴가 사용(연차/반차)
- 법정 휴가 및 기타 휴가 (출산전후휴가, 배우자 출산휴가, 대체휴가, 각종 경조휴가 등)
- 야근 및 휴일 근무 시 식대 및 교통비 지원, 대체휴가제 시행 (* 야근 선호하지 않음)

○ 휴게
- 커피 및 간식 제공
- 안마의자, 인바디, 혈압기 등 제공
- 야근 시 저녁 식사 지원

○ 근무 형태
- 시차 출근 신청 가능
- 자율 복장

○ 보상
- 명절 상여금 지급
- 명절 / 생일 선물 지급
- 중소기업청년 소득세 감면 지원
- 청년내일채움공제 가입
- 각종 경조금 지원
- 스톡 옵션
- 장기근속 포상
- 자기계발 교육비 및 도서 구입 비용 지원, 세미나 참가비 지원","대전 유성구 신성로 155, 4층",['생산관리/품질관리'],['품질보증'],경력  무관 신입도 지원 가능팀원급신입 학사 이상 영문 독해 가능자경력 경력연수 무관 영문 독해 및 작문 가능자 문서 작성 우수자관련 업종 경험자전자 기계공학 또는 생명공학관련 전공자비즈니스 영어 가능자,5311
